aggregate_id,paper_id,aggregation_set_id,rubric_version,n_ratings,n_distinct_judges,primary_mode,primary_mode_count,primary_mode_share,secondary_labels_observed,adjudicated_primary,adjudication_status,notes
agg_pilot_seed_codex_only:A0001:classification,A0001,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Causal mechanism,1,1,Descriptive ontology,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0002:classification,A0002,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Severe test of a theory,1,1,Causal mechanism; Intervention result,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:classification,A0003,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Intervention result,1,1,Causal mechanism; Severe test of a theory,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:classification,A0004,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Descriptive ontology,1,1,Severe test of a theory,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:classification,B0001,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Descriptive ontology,1,1,Causal mechanism,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:classification,B0002,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Intervention result,1,1,Causal mechanism; Severe test of a theory,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0003:classification,B0003,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Causal mechanism,1,1,Intervention result,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0004:classification,B0004,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Descriptive ontology,1,1,Causal mechanism,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:C0001:classification,C0001,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Tool or infrastructure,1,1,Statistical regularity,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:C0002:classification,C0002,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Descriptive ontology,1,1,Statistical regularity; Tool or infrastructure,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:C0003:classification,C0003,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Descriptive ontology,1,1,Statistical regularity; Tool or infrastructure,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:C0004:classification,C0004,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Descriptive ontology,1,1,Statistical regularity,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:D0001:classification,D0001,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Tool or infrastructure,1,1,Statistical regularity,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:D0002:classification,D0002,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Tool or infrastructure,1,1,Intervention result; Statistical regularity,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:D0003:classification,D0003,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Tool or infrastructure,1,1,Descriptive ontology,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:D0004:classification,D0004,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Statistical regularity,1,1,Tool or infrastructure,,not_adjudicated,Diagnostic only.
