aggregate_id,paper_id,instrument,dimension,aggregation_set_id,rubric_version,n_ratings,n_distinct_judges,n_human_judges,n_ai_judges,n_ai_models,n_ai_replicates,mean,median,sd,min,max,aggregation_policy,adjudicated_value,adjudication_status,notes
agg_pilot_seed_codex_only:A0001:causal_abstraction:abstraction_discipline,A0001,causal_abstraction,abstraction_discipline,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0001:causal_abstraction:causal_relation,A0001,causal_abstraction,causal_relation,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0001:causal_abstraction:entity_specification,A0001,causal_abstraction,entity_specification,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0001:causal_abstraction:intervention_relevance,A0001,causal_abstraction,intervention_relevance,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0001:causal_abstraction:invariance,A0001,causal_abstraction,invariance,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0001:causal_abstraction:measurement_model,A0001,causal_abstraction,measurement_model,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0001:causal_abstraction:mechanism,A0001,causal_abstraction,mechanism,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0001:causal_abstraction:rival_explanations,A0001,causal_abstraction,rival_explanations,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0001:causal_abstraction:severe_test,A0001,causal_abstraction,severe_test,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0001:causal_abstraction:total,A0001,causal_abstraction,total,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,13,13,,13,13,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0001:statistical_inductivist_dependence:flexible_pipeline,A0001,statistical_inductivist_dependence,flexible_pipeline,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0001:statistical_inductivist_dependence:high_dimensional_search,A0001,statistical_inductivist_dependence,high_dimensional_search,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0001:statistical_inductivist_dependence:limited_intervention,A0001,statistical_inductivist_dependence,limited_intervention,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0001:statistical_inductivist_dependence:local_validation,A0001,statistical_inductivist_dependence,local_validation,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0001:statistical_inductivist_dependence:prediction_dependence,A0001,statistical_inductivist_dependence,prediction_dependence,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0001:statistical_inductivist_dependence:significance_dependence,A0001,statistical_inductivist_dependence,significance_dependence,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0001:statistical_inductivist_dependence:total,A0001,statistical_inductivist_dependence,total,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0001:statistical_inductivist_dependence:weak_mechanism,A0001,statistical_inductivist_dependence,weak_mechanism,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0002:causal_abstraction:abstraction_discipline,A0002,causal_abstraction,abstraction_discipline,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0002:causal_abstraction:causal_relation,A0002,causal_abstraction,causal_relation,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0002:causal_abstraction:entity_specification,A0002,causal_abstraction,entity_specification,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
