paper_id,source_type,source_url,access_status,download_status,local_path,checked_date,notes
A0001,Oregon State Special Collections archive images,https://scarc.library.oregonstate.edu/coll/pauling/dna/papers/corr68.11-reprint-19530425.html,public_archive_copy_found,assembled_from_public_archive_images,corpus/pdfs/molecular_cell_biology/A0001.pdf,2026-06-19,Two public page images combined into a PDF; text OCRed from the images.
A0002,Europe PMC rendered PDF,https://europepmc.org/articles/PMC528642?pdf=render,oa_pdf_url_found,downloaded_verified_pdf,corpus/pdfs/molecular_cell_biology/A0002.pdf,2026-06-19,Verified PDF.
A0003,Internet Archive copy of UMass Medical PDF,https://web.archive.org/web/20061102223642/http://www.umassmed.edu/administration/uploads/Fire_and_Mello_Nature_1998.pdf,public_archive_pdf_found,downloaded_verified_pdf,corpus/pdfs/molecular_cell_biology/A0003.pdf,2026-06-19,Verified PDF.
A0004,APS harvest endpoint,https://harvest.aps.org/v2/journals/articles/10.1103/PhysRevLett.53.1951/fulltext,oa_pdf_url_found,downloaded_verified_pdf,corpus/pdfs/condensed_matter_physics/A0004.pdf,2026-06-19,Verified PDF.
B0001,Europe PMC rendered PDF,https://europepmc.org/articles/PMC1063734?pdf=render,oa_pdf_url_found,downloaded_verified_pdf,corpus/pdfs/molecular_cell_biology/B0001.pdf,2026-06-19,Verified PDF.
B0002,Europe PMC rendered PDF,https://europepmc.org/articles/PMC528395?pdf=render,oa_pdf_url_found,downloaded_verified_pdf,corpus/pdfs/molecular_cell_biology/B0002.pdf,2026-06-19,Verified PDF.
B0003,User-provided local PDF,"/Users/marcus/Downloads/Guo & Kemphues, Cell 1995.pdf",user_provided_pdf,user_provided_verified_pdf,corpus/pdfs/molecular_cell_biology/B0003.pdf,2026-06-19,"Copied from Downloads, verified as PDF, and text extracted. Earlier Cell/ScienceDirect routes returned 403; Elsevier API exposed metadata only."
B0004,APS harvest endpoint,https://harvest.aps.org/v2/journals/articles/10.1103/PhysRevLett.53.2477/fulltext,oa_pdf_url_found,downloaded_verified_pdf,corpus/pdfs/condensed_matter_physics/B0004.pdf,2026-06-19,Verified PDF.
C0001,Nature direct PDF,https://www.nature.com/articles/s41586-021-03819-2.pdf,oa_pdf_url_found,downloaded_verified_pdf,corpus/pdfs/computational_biology/C0001.pdf,2026-06-19,Verified PDF.
C0002,NCBI PMC full-text XML,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=9812260&retmode=xml,oa_full_text_xml_found,generated_pdf_from_pmc_xml,corpus/pdfs/computational_biology/C0002.pdf,2026-06-19,Native PDF route returned HTML/challenge; generated review PDF from public XML.
C0003,NCBI PMC full-text XML,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=6642641&retmode=xml,oa_full_text_xml_found,generated_pdf_from_pmc_xml,corpus/pdfs/computational_biology/C0003.pdf,2026-06-19,Native PDF route unavailable in this environment; generated review PDF from public XML.
C0004,Nature Medicine direct PDF,https://www.nature.com/articles/s41591-020-0944-y.pdf,oa_pdf_url_found,downloaded_verified_pdf,corpus/pdfs/computational_biology/C0004.pdf,2026-06-19,Verified PDF.
D0001,Europe PMC rendered PDF,https://europepmc.org/articles/PMC1239896?pdf=render,oa_pdf_url_found,downloaded_verified_pdf,corpus/pdfs/computational_biology/D0001.pdf,2026-06-19,Verified PDF.
D0002,User-provided local PDF,"/Users/marcus/Downloads/Lamb et al., Science 2006 Connectivity Map.pdf",user_provided_pdf,user_provided_verified_pdf,corpus/pdfs/computational_biology/D0002.pdf,2026-06-19,"Copied from Downloads, verified as PDF, and text extracted. Earlier public/publisher routes did not produce a verified PDF."
D0003,NCBI PMC full-text XML,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=4481139&retmode=xml,oa_full_text_xml_found,generated_pdf_from_pmc_xml,corpus/pdfs/computational_biology/D0003.pdf,2026-06-19,Cell/ScienceDirect native PDF routes returned 403; generated review PDF from public XML.
D0004,Harvard DASH bitstream,https://dash.harvard.edu/server/api/core/bitstreams/7312037d-ef91-6bd4-e053-0100007fdf3b/content,repository_pdf_found,downloaded_verified_pdf,corpus/pdfs/computational_biology/D0004.pdf,2026-06-19,Verified PDF.
