aggregate_id,paper_id,aggregation_set_id,rubric_version,n_ratings,n_distinct_judges,primary_mode,primary_mode_count,primary_mode_share,secondary_labels_observed,adjudicated_primary,adjudication_status,notes
agg_pilot_seed_codex_only:P0001:classification,P0001,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Causal mechanism,1,1,Intervention result,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:P0002:classification,P0002,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Intervention result,1,1,Causal mechanism; Severe test of a theory,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:P0003:classification,P0003,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Tool or infrastructure,1,1,Descriptive ontology,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:P0004:classification,P0004,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Causal mechanism,1,1,Descriptive ontology,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:P0005:classification,P0005,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Descriptive ontology,1,1,Causal mechanism,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:P0006:classification,P0006,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Tool or infrastructure,1,1,Intervention result; Statistical regularity,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:P0007:classification,P0007,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Tool or infrastructure,1,1,Statistical regularity,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:P0008:classification,P0008,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Descriptive ontology,1,1,Severe test of a theory,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:P0009:classification,P0009,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Tool or infrastructure,1,1,Statistical regularity,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:P0010:classification,P0010,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Descriptive ontology,1,1,Statistical regularity; Tool or infrastructure,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:P0011:classification,P0011,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Descriptive ontology,1,1,Statistical regularity,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:P0012:classification,P0012,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Descriptive ontology,1,1,Statistical regularity; Tool or infrastructure,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:P0013:classification,P0013,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Severe test of a theory,1,1,Causal mechanism; Intervention result,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:P0014:classification,P0014,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Statistical regularity,1,1,Tool or infrastructure,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:P0015:classification,P0015,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Descriptive ontology,1,1,Causal mechanism,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:P0016:classification,P0016,agg_pilot_seed_codex_only,v0.1-pilot,1,1,Intervention result,1,1,Causal mechanism; Severe test of a theory,,not_adjudicated,Diagnostic only.
