source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
Astronomy and Astrophysics,astronomy_astrophysics_v365_i3,2001,365,3,10.1051/0004-6361:20000557,,https://openalex.org/W2040626000,The obscured mid-infrared continuum of NGC 4418: A dust- and ice-enshrouded AGN,H. W. W. Spoon; J. V. Keane; A. G. G. M. Tielens; D. Lutz; A. F. M. Moorwood,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/03/aacl162.pdf,https://www.aanda.org/articles/aa/pdf/2001/03/aacl162.pdf,https://doi.org/10.1051/0004-6361:20000557
Astronomy and Astrophysics,astronomy_astrophysics_v365_i3,2001,365,3,10.1051/0004-6361:20000474,,https://openalex.org/W1976563513,Object classification in astronomical multi-color surveys,C. Wolf; K. Meisenheimer; H.-J. Röser,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/03/aads9808.pdf,https://www.aanda.org/articles/aa/pdf/2001/03/aads9808.pdf,https://doi.org/10.1051/0004-6361:20000474
Astronomy and Astrophysics,astronomy_astrophysics_v366_i1,2001,366,1,10.1051/0004-6361:20000350,,https://openalex.org/W2083578986,Lifting cosmic degeneracy within a single quasar survey,Boudewijn F. Roukema; G. A. Mamon,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/04/aah2494.pdf,https://www.aanda.org/articles/aa/pdf/2001/04/aah2494.pdf,https://doi.org/10.1051/0004-6361:20000350
Astronomy and Astrophysics,astronomy_astrophysics_v366_i1,2001,366,1,10.1051/0004-6361:20000223,,https://openalex.org/W1967997926,A similarity model for supernovae light curve calculations,Frederick J. Mayer; John R. Reitz,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/04/aa10142.pdf,https://www.aanda.org/articles/aa/pdf/2001/04/aa10142.pdf,https://doi.org/10.1051/0004-6361:20000223
Astronomy and Astrophysics,astronomy_astrophysics_v366_i2,2001,366,2,10.1051/0004-6361:20010010,,https://openalex.org/W2036515951,Detection of non-random patterns in cosmological gravitational clustering,R. Valdarnini,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/05/aa9641.pdf,https://www.aanda.org/articles/aa/pdf/2001/05/aa9641.pdf,https://doi.org/10.1051/0004-6361:20010010
Astronomy and Astrophysics,astronomy_astrophysics_v366_i3,2001,366,3,10.1051/0004-6361:20010013,,https://openalex.org/W2044710075,How accurately can we measure weak gravitational shear?,T. Erben; L. Van Waerbeke; E. Bertin; Y. Mellier; P. Schneider,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/06/aah2239.pdf,https://www.aanda.org/articles/aa/pdf/2001/06/aah2239.pdf,https://doi.org/10.1051/0004-6361:20010013
Astronomy and Astrophysics,astronomy_astrophysics_v367_i1,2001,367,1,10.1051/0004-6361:20000357,,https://openalex.org/W2030249495,The mass of a halo,M. White,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/07/aah2421.pdf,https://www.aanda.org/articles/aa/pdf/2001/07/aah2421.pdf,https://doi.org/10.1051/0004-6361:20000357
Astronomy and Astrophysics,astronomy_astrophysics_v367_i1,2001,367,1,10.1051/0004-6361:20000403,,https://openalex.org/W2037400789,Secondary CMB anisotropies from the kinetic SZ effect,P. Valageas; A. Balbi; J. Silk,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/07/aa10156.pdf,https://www.aanda.org/articles/aa/pdf/2001/07/aa10156.pdf,https://doi.org/10.1051/0004-6361:20000403
Astronomy and Astrophysics,astronomy_astrophysics_v367_i1,2001,367,1,10.1051/0004-6361:20000406,,https://openalex.org/W1987766875,Two-point correlation functions on the light cone: Testing theoretical predictions against $\vec N$-body simulations,T. Hamana; S. Colombi; Y. Suto,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/07/aa10074.pdf,https://www.aanda.org/articles/aa/pdf/2001/07/aa10074.pdf,https://doi.org/10.1051/0004-6361:20000406
Astronomy and Astrophysics,astronomy_astrophysics_v367_i2,2001,367,2,10.1051/0004-6361:20000449,,https://openalex.org/W2027452836,Relativistic corrections to fractal analyses of the galaxy distribution,M.-N. Célérier; R. Thieberger,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/08/aa10064.pdf,https://www.aanda.org/articles/aa/pdf/2001/08/aa10064.pdf,https://doi.org/10.1051/0004-6361:20000449
Astronomy and Astrophysics,astronomy_astrophysics_v367_i3,2001,367,3,10.1051/0004-6361:20000466,,https://openalex.org/W1987594846,The luminosity function of field galaxies and its evolution since $\vec{z=1}$,J. W. Fried et al.,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/09/aa10202.pdf,https://www.aanda.org/articles/aa/pdf/2001/09/aa10202.pdf,https://doi.org/10.1051/0004-6361:20000466
Astronomy and Astrophysics,astronomy_astrophysics_v368_i1,2001,368,1,10.1051/0004-6361:20000542,,https://openalex.org/W2096682752,The ROSAT-ESO Flux-Limited X-Ray (REFLEX) galaxy cluster survey,P. Schuecker et al.,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/10/aah2282.pdf,https://www.aanda.org/articles/aa/pdf/2001/10/aah2282.pdf,https://doi.org/10.1051/0004-6361:20000542
Astronomy and Astrophysics,astronomy_astrophysics_v368_i1,2001,368,1,10.1051/0004-6361:20000522,,https://openalex.org/W2006154295,An X-ray and near-IR spectroscopic analysis of the ULIRG IRAS 05189-2524,P. Severgnini; G. Risaliti; A. Marconi; R. Maiolino; M. Salvati,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/10/aa10444.pdf,https://www.aanda.org/articles/aa/pdf/2001/10/aa10444.pdf,https://doi.org/10.1051/0004-6361:20000522
Astronomy and Astrophysics,astronomy_astrophysics_v368_i2,2001,368,2,10.1051/0004-6361:20010018,,https://openalex.org/W2038005836,Chaos in pseudo-Newtonian black holes with halos,E. Guéron; P. S. Letelier,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/11/aa10223.pdf,https://www.aanda.org/articles/aa/pdf/2001/11/aa10223.pdf,https://doi.org/10.1051/0004-6361:20010018
Astronomy and Astrophysics,astronomy_astrophysics_v369_i1,2001,369,1,10.1051/0004-6361:20010085,,https://openalex.org/W2033011260,"GAIA: Composition, formation and evolution of the Galaxy",M. A. C. Perryman et al.,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/13/aah2529.pdf,https://www.aanda.org/articles/aa/pdf/2001/13/aah2529.pdf,https://doi.org/10.1051/0004-6361:20010085
Astronomy and Astrophysics,astronomy_astrophysics_v369_i1,2001,369,1,10.1051/0004-6361:20010094,,https://openalex.org/W2030629294,The temperature-mass relation in magnetized galaxy clusters,K. Dolag; A. Evrard; M. Bartelmann,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/13/aah2260.pdf,https://www.aanda.org/articles/aa/pdf/2001/13/aah2260.pdf,https://doi.org/10.1051/0004-6361:20010094
Astronomy and Astrophysics,astronomy_astrophysics_v369_i2,2001,369,2,10.1051/0004-6361:20010046,,https://openalex.org/W2145641423,Origin and possible birthplace of the extreme runaway star HIP 60350,P. Tenjes; J. Einasto; H. M. Maitzen; H. Zinnecker,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/14/aa10312.pdf,https://www.aanda.org/articles/aa/pdf/2001/14/aa10312.pdf,https://doi.org/10.1051/0004-6361:20010046
Astronomy and Astrophysics,astronomy_astrophysics_v369_i3,2001,369,3,10.1051/0004-6361:20010174,,https://openalex.org/W2142037714,How to distinguish a nearly flat Universe from a flat Universe using the orientation independence of a comoving standard ruler,B. F. Roukema,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/15/aa10394.pdf,https://www.aanda.org/articles/aa/pdf/2001/15/aa10394.pdf,https://doi.org/10.1051/0004-6361:20010174
Astronomy and Astrophysics,astronomy_astrophysics_v370_i1,2001,370,1,10.1051/0004-6361:20000247,,https://openalex.org/W1965159983,Chemical yields from low- and intermediate-mass stars: Model predictions and basic observational constraints,P. Marigo,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/16/aah2446.pdf,https://www.aanda.org/articles/aa/pdf/2001/16/aah2446.pdf,https://doi.org/10.1051/0004-6361:20000247
Astronomy and Astrophysics,astronomy_astrophysics_v370_i2,2001,370,2,10.1051/0004-6361:20010251,,https://openalex.org/W2104512342,Standard cosmic ray energetics and light element production,B. D. Fields; K. A. Olive; M. Cassé; E. Vangioni-Flam,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/17/aa10333.pdf,https://www.aanda.org/articles/aa/pdf/2001/17/aa10333.pdf,https://doi.org/10.1051/0004-6361:20010251
Astronomy and Astrophysics,astronomy_astrophysics_v370_i3,2001,370,3,10.1051/0004-6361:20010322,,https://openalex.org/W2110154691,Lensing Sunyaev-Zel'dovich clusters,M. Bartelmann,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/18/aah2471.pdf,https://www.aanda.org/articles/aa/pdf/2001/18/aah2471.pdf,https://doi.org/10.1051/0004-6361:20010322
Astronomy and Astrophysics,astronomy_astrophysics_v371_i1,2001,371,1,10.1051/0004-6361:20010314,,https://openalex.org/W2161560814,Incompatibility of a comoving Ly<i>α</i>forest with supernova-Ia luminosity distances,Jens Thomas; Hartmut Schulz,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/19/aa10521.pdf,https://www.aanda.org/articles/aa/pdf/2001/19/aa10521.pdf,https://doi.org/10.1051/0004-6361:20010314
Astronomy and Astrophysics,astronomy_astrophysics_v372_i2,2001,372,2,10.1051/0004-6361:20010458,,https://openalex.org/W2155366912,Determining the cosmic equation of state using future gravitational wave detectors,Z.-H. Zhu; M.-K. Fujimoto; D. Tatsumi,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/23/aah2750.pdf,https://www.aanda.org/articles/aa/pdf/2001/23/aah2750.pdf,https://doi.org/10.1051/0004-6361:20010458
Astronomy and Astrophysics,astronomy_astrophysics_v372_i2,2001,372,2,10.1051/0004-6361:20010507,,https://openalex.org/W1987951123,Observational tests of the $\delta_{\mathsf{c}}{-}$ $\vec M$ $_{\mathsf{vir}}$ relation in hierarchical clustering models,L.-M. Cheng; X.-P. Wu,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/23/aah2755.pdf,https://www.aanda.org/articles/aa/pdf/2001/23/aah2755.pdf,https://doi.org/10.1051/0004-6361:20010507
Astronomy and Astrophysics,astronomy_astrophysics_v372_i3,2001,372,3,10.1051/0004-6361:20010606,,https://openalex.org/W2103036954,Detection of a redshift 3.04 filament,P. Møller; J. U. Fynbo,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/24/aadd171.pdf,https://www.aanda.org/articles/aa/pdf/2001/24/aadd171.pdf,https://doi.org/10.1051/0004-6361:20010606
Astronomy and Astrophysics,astronomy_astrophysics_v373_i2,2001,373,2,10.1051/0004-6361:20010636,,https://openalex.org/W2085047175,X-ray emission from the Sculptor galaxy NGC 300,A. M. Read; W. Pietsch,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/26/aa1176.pdf,https://www.aanda.org/articles/aa/pdf/2001/26/aa1176.pdf,https://doi.org/10.1051/0004-6361:20010636
Astronomy and Astrophysics,astronomy_astrophysics_v373_i2,2001,373,2,10.1051/0004-6361:20010637,,https://openalex.org/W2151484095,Cosmological constant and the fate of the DDM theory,M. M. Ćirković; S. Samurović,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/26/aa1363.pdf,https://www.aanda.org/articles/aa/pdf/2001/26/aa1363.pdf,https://doi.org/10.1051/0004-6361:20010637
Astronomy and Astrophysics,astronomy_astrophysics_v373_i3,2001,373,3,10.1051/0004-6361:20010658,,https://openalex.org/W2170417548,Unified model for quasar absorption line systems,S. Das; P. Khare; A. Samantray,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/27/aa1045.pdf,https://www.aanda.org/articles/aa/pdf/2001/27/aa1045.pdf,https://doi.org/10.1051/0004-6361:20010658
Astronomy and Astrophysics,astronomy_astrophysics_v374_i1,2001,374,1,10.1051/0004-6361:20010659,,https://openalex.org/W2099763391,How accurately can the SZ effect measure peculiar cluster velocities and bulk flows?,N. Aghanim; K. M. Górski; J.‐L. Puget,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/28/aa1081.pdf,https://www.aanda.org/articles/aa/pdf/2001/28/aa1081.pdf,https://doi.org/10.1051/0004-6361:20010659
Astronomy and Astrophysics,astronomy_astrophysics_v374_i1,2001,374,1,10.1051/0004-6361:20010649,,https://openalex.org/W2141141534,Discovery of an absorbed cluster of galaxies (XMMU J183225.4-103645) close to the Galactic plane with XMM-Newton,J. Nevalainen; D. Lumb; S. dos Santos; H. Siddiqui; G. Stewart; A. N. Parmar,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/28/aah2748.pdf,https://www.aanda.org/articles/aa/pdf/2001/28/aah2748.pdf,https://doi.org/10.1051/0004-6361:20010649
Astronomy and Astrophysics,astronomy_astrophysics_v374_i3,2001,374,3,10.1051/0004-6361:20010766,,https://openalex.org/W2096726611,Cosmic shear statistics and cosmology,L. Van Waerbeke et al.,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/30/aa1091.pdf,https://www.aanda.org/articles/aa/pdf/2001/30/aa1091.pdf,https://doi.org/10.1051/0004-6361:20010766
Astronomy and Astrophysics,astronomy_astrophysics_v374_i3,2001,374,3,10.1051/0004-6361:20010736,,https://openalex.org/W1977170361,Pseudo-Schwarzschild description of transonic spherical accretion onto compact objects,Tapas K. Das; A. Sarkar,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/30/aa1237.pdf,https://www.aanda.org/articles/aa/pdf/2001/30/aa1237.pdf,https://doi.org/10.1051/0004-6361:20010736
Astronomy and Astrophysics,astronomy_astrophysics_v376_i3,2001,376,3,10.1051/0004-6361:20011029,,https://openalex.org/W2018337298,"The spatial clustering of distant, $z\sim1$, early-type galaxies",E. Daddi; T. Broadhurst; G. Zamorani; A. Cimatti; H. Röttgering; A. Renzini,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/36/aah2820.pdf,https://www.aanda.org/articles/aa/pdf/2001/36/aah2820.pdf,https://doi.org/10.1051/0004-6361:20011029
Astronomy and Astrophysics,astronomy_astrophysics_v376_i3,2001,376,3,10.1051/0004-6361:20010861,,https://openalex.org/W1973587246,Deuterium at high redshift: Primordial or evolved?,N. Prantzos; Y. Ishimaru,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/36/aah2916.pdf,https://www.aanda.org/articles/aa/pdf/2001/36/aah2916.pdf,https://doi.org/10.1051/0004-6361:20010861
Astronomy and Astrophysics,astronomy_astrophysics_v378_i3,2001,378,3,10.1051/0004-6361:20011257,,https://openalex.org/W1843330202,The cold local Hubble flow as a signature of dark energy,Yu. V. Baryshev; A. D. Chernin; P. Teerikorpi,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/42/aah3040.pdf,https://www.aanda.org/articles/aa/pdf/2001/42/aah3040.pdf,https://doi.org/10.1051/0004-6361:20011257
Astronomy and Astrophysics,astronomy_astrophysics_v378_i3,2001,378,3,10.1051/0004-6361:20011296,,https://openalex.org/W2043730444,On high proper motion white dwarfs from photographic surveys,C. Reylé; A. C. Robin; M. Crézé,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/42/aadh136.pdf,https://www.aanda.org/articles/aa/pdf/2001/42/aadh136.pdf,https://doi.org/10.1051/0004-6361:20011296
Astronomy and Astrophysics,astronomy_astrophysics_v379_i1,2001,379,1,10.1051/0004-6361:20011283,,https://openalex.org/W1988938944,Cosmology from cosmic microwave background and galaxy clusters,M. Douspis; A. Blanchard; R. Sadat; J. G. Bartlett; M. Le Dour,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/43/aa1494.pdf,https://www.aanda.org/articles/aa/pdf/2001/43/aa1494.pdf,https://doi.org/10.1051/0004-6361:20011283
Astronomy and Astrophysics,astronomy_astrophysics_v379_i2,2001,379,2,10.1051/0004-6361:20011319,,https://openalex.org/W2047573990,The morphological and dynamical evolution of simulated galaxy clusters,C. Beisbart; R. Valdarnini; T. Buchert,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/44/aah2859.pdf,https://www.aanda.org/articles/aa/pdf/2001/44/aah2859.pdf,https://doi.org/10.1051/0004-6361:20011319
Astronomy and Astrophysics,astronomy_astrophysics_v379_i3,2001,379,3,10.1051/0004-6361:20011370,,https://openalex.org/W2157382714,"Energy, entropy and mass scaling relations for elliptical galaxies. Towards a physical understanding of their photometric properties",I. Márquez; G. B. Lima Neto; H. Capelato; F. Durret; B. Lanzoni; D. Gerbal,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/45/aa10611.pdf,https://www.aanda.org/articles/aa/pdf/2001/45/aa10611.pdf,https://doi.org/10.1051/0004-6361:20011370
Astronomy and Astrophysics,astronomy_astrophysics_v379_i3,2001,379,3,10.1051/0004-6361:20011373,,https://openalex.org/W2139392667,The distribution of exoplanet masses,A. Jorissen; M. Mayor; S. Udry,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/45/aa1489.pdf,https://www.aanda.org/articles/aa/pdf/2001/45/aa1489.pdf,https://doi.org/10.1051/0004-6361:20011373
Astronomy and Astrophysics,astronomy_astrophysics_v380_i1,2001,380,1,10.1051/0004-6361:20011398,,https://openalex.org/W2171647675,Supernovae and the nature of the dark energy,M. Goliath; R. Amanullah; P. Astier; A. Goobar; R. Pain,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/46/aah2780.pdf,https://www.aanda.org/articles/aa/pdf/2001/46/aah2780.pdf,https://doi.org/10.1051/0004-6361:20011398
Astronomy and Astrophysics,astronomy_astrophysics_v380_i1,2001,380,1,10.1051/0004-6361:20011284,,https://openalex.org/W2050084916,Bias in matter power spectra?,M. Douspis; A. Blanchard; J. Silk,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/46/aa1508.pdf,https://www.aanda.org/articles/aa/pdf/2001/46/aa1508.pdf,https://doi.org/10.1051/0004-6361:20011284
Astronomy and Astrophysics,astronomy_astrophysics_v380_i2,2001,380,2,10.1051/0004-6361:20011463,,https://openalex.org/W2028930359,The harmonic power spectrum of the soft X-ray background,W. Śliwa; A. M. Sołtan; M. J. Freyberg,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/47/aah2963.pdf,https://www.aanda.org/articles/aa/pdf/2001/47/aah2963.pdf,https://doi.org/10.1051/0004-6361:20011463
Astronomy and Astrophysics,astronomy_astrophysics_v380_i2,2001,380,2,10.1051/0004-6361:20011457,,https://openalex.org/W2064937625,On the nature of the EIS candidate clusters: Confirmation of $z\lesssim$ 0.6 candidates,L. F. Olsen et al.,article,bronze,https://www.aanda.org/articles/aa/pdf/2001/47/aah3126.pdf,https://www.aanda.org/articles/aa/pdf/2001/47/aah3126.pdf,https://doi.org/10.1051/0004-6361:20011457
Astronomy and Astrophysics,astronomy_astrophysics_v381_i3,2002,381,3,10.1051/0004-6361:20011698,,https://openalex.org/W2953001651,The cosmic microwave background radiation temperature at $\vec{z}_\mathsf{abs} = \mathsf{3.025}$ toward QSO 0347–3819,P. Molaro; S. A. Levshakov; M. Dessauges‐Zavadsky; S. D’Odorico,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/03/aadf051.pdf,https://www.aanda.org/articles/aa/pdf/2002/03/aadf051.pdf,https://doi.org/10.1051/0004-6361:20011698
Astronomy and Astrophysics,astronomy_astrophysics_v381_i3,2002,381,3,10.1051/0004-6361:20011568,,https://openalex.org/W2032081269,Environmental effects in galaxies,D. F. de Mello; M. A. G. Maia; T. Wiklind,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/03/aa1011.pdf,https://www.aanda.org/articles/aa/pdf/2002/03/aa1011.pdf,https://doi.org/10.1051/0004-6361:20011568
Astronomy and Astrophysics,astronomy_astrophysics_v382_i2,2002,382,2,10.1051/0004-6361:20011534,,https://openalex.org/W2084622682,The cosmological constant and quintessence from a correlation function comoving fine feature in the 2dF quasar redshift survey,B. F. Roukema; G. A. Mamon; S. Bajtlik,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/05/aah2951.pdf,https://www.aanda.org/articles/aa/pdf/2002/05/aah2951.pdf,https://doi.org/10.1051/0004-6361:20011534
Astronomy and Astrophysics,astronomy_astrophysics_v382_i3,2002,382,3,10.1051/0004-6361:20011653,,https://openalex.org/W1574101787,The Dyer-Roeder distance-redshift relation in inhomogeneous universes,E. Mörtsell,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/06/aah3185.pdf,https://www.aanda.org/articles/aa/pdf/2002/06/aah3185.pdf,https://doi.org/10.1051/0004-6361:20011653
Astronomy and Astrophysics,astronomy_astrophysics_v383_i1,2002,383,1,10.1051/0004-6361:20011731,,https://openalex.org/W1987182539,An optical time-delay for the lensed BAL quasar HE 2149-2745,I. Burud et al.,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/07/aa1536.pdf,https://www.aanda.org/articles/aa/pdf/2002/07/aa1536.pdf,https://doi.org/10.1051/0004-6361:20011731
Astronomy and Astrophysics,astronomy_astrophysics_v383_i3,2002,383,3,10.1051/0004-6361:20011795,,https://openalex.org/W1974772793,NGC 1399: A complex dynamical case,N. R. Napolitano; M. Arnaboldi; M. Capaccioli,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/09/aah3150.pdf,https://www.aanda.org/articles/aa/pdf/2002/09/aah3150.pdf,https://doi.org/10.1051/0004-6361:20011795
Astronomy and Astrophysics,astronomy_astrophysics_v384_i2,2002,384,2,10.1051/0004-6361:20011794,,https://openalex.org/W2123693144,Strongly decelerated expansion of SN 1979C,J. M. Marcaide et al.,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/11/aah3030.pdf,https://www.aanda.org/articles/aa/pdf/2002/11/aah3030.pdf,https://doi.org/10.1051/0004-6361:20011794
Astronomy and Astrophysics,astronomy_astrophysics_v385_i3,2002,385,3,10.1051/0004-6361:20020195,,https://openalex.org/W1969088606,Cosmic shear from STIS pure parallels,H. Hämmerle et al.,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/15/aah3216.pdf,https://www.aanda.org/articles/aa/pdf/2002/15/aah3216.pdf,https://doi.org/10.1051/0004-6361:20020195
Astronomy and Astrophysics,astronomy_astrophysics_v385_i3,2002,385,3,10.1051/0004-6361:20020151,,https://openalex.org/W2115883275,Intermittent behavior in the transition region and the low corona of the quiet Sun,S. Patsourakos; J. C. Vial,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/15/aah3367.pdf,https://www.aanda.org/articles/aa/pdf/2002/15/aah3367.pdf,https://doi.org/10.1051/0004-6361:20020151
Astronomy and Astrophysics,astronomy_astrophysics_v386_i2,2002,386,2,10.1051/0004-6361:20020259,,https://openalex.org/W2157389661,Photometric redshifts from evolutionary synthesis with PÉGASE: The code Z-PEG and the $z=0$ age constraint,D. Le Borgne; B. Rocca-Volmerange,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/17/aa2109.pdf,https://www.aanda.org/articles/aa/pdf/2002/17/aa2109.pdf,https://doi.org/10.1051/0004-6361:20020259
Astronomy and Astrophysics,astronomy_astrophysics_v386_i2,2002,386,2,10.1051/0004-6361:20020306,,https://openalex.org/W2054351860,Gravitational instability of polytropic spheres and generalized thermodynamics,P. H. Chavanis,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/17/aa1920.pdf,https://www.aanda.org/articles/aa/pdf/2002/17/aa1920.pdf,https://doi.org/10.1051/0004-6361:20020306
Astronomy and Astrophysics,astronomy_astrophysics_v386_i2,2002,386,2,10.1051/0004-6361:20020224,,https://openalex.org/W1987953858,HST observations rule out the association between Cir X-1 and SNR G321.9-0.3,R. P. Mignani; A. De Luca; P. A. Caraveo; I. F. Mirabel,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/17/aa2220.pdf,https://www.aanda.org/articles/aa/pdf/2002/17/aa2220.pdf,https://doi.org/10.1051/0004-6361:20020224
Astronomy and Astrophysics,astronomy_astrophysics_v386_i3,2002,386,3,10.1051/0004-6361:20020274,,https://openalex.org/W2099005389,Cosmological information from quasar-galaxy correlations induced by weak lensing,Brice Ménard; Matthias Bartelmann,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/18/aa2162.pdf,https://www.aanda.org/articles/aa/pdf/2002/18/aa2162.pdf,https://doi.org/10.1051/0004-6361:20020274
Astronomy and Astrophysics,astronomy_astrophysics_v386_i3,2002,386,3,10.1051/0004-6361:20020271,,https://openalex.org/W2140525326,Abundance and evolution of galaxy clusters in cosmological models with massive neutrino,N. A. Arhipova; T. Kahniashvili; V. N. Lukash,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/18/aa1774.pdf,https://www.aanda.org/articles/aa/pdf/2002/18/aa1774.pdf,https://doi.org/10.1051/0004-6361:20020271
Astronomy and Astrophysics,astronomy_astrophysics_v387_i2,2002,387,2,10.1051/0004-6361:20020303,,https://openalex.org/W2142314355,Numerical simulations of the cosmic star formation history,Y. Ascasibar; G. Yepes; S. Gottlöber; V. Müller,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/20/aah3291.pdf,https://www.aanda.org/articles/aa/pdf/2002/20/aah3291.pdf,https://doi.org/10.1051/0004-6361:20020303
Astronomy and Astrophysics,astronomy_astrophysics_v387_i2,2002,387,2,10.1051/0004-6361:20020371,,https://openalex.org/W1932025211,The Rees-Sciama effect and the primordial nucleosynthesis,A. Mészáros,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/20/aah3314.pdf,https://www.aanda.org/articles/aa/pdf/2002/20/aah3314.pdf,https://doi.org/10.1051/0004-6361:20020371
Astronomy and Astrophysics,astronomy_astrophysics_v387_i3,2002,387,3,10.1051/0004-6361:20020448,,https://openalex.org/W2079870410,Constraining the cosmological parameters using strong lensing,G. Golse; Jean‐Paul Kneib; G. Soucail,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/21/aa1282.pdf,https://www.aanda.org/articles/aa/pdf/2002/21/aa1282.pdf,https://doi.org/10.1051/0004-6361:20020448
Astronomy and Astrophysics,astronomy_astrophysics_v387_i3,2002,387,3,10.1051/0004-6361:20020339,,https://openalex.org/W2106584086,Spatial distribution of galactic halos and their merger histories,Stefan Gottlöber; M. Kerscher; Andrey V. Kravtsov; A. Faltenbacher; Anatoly Klypin; V. Müller,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/21/aah3512.pdf,https://www.aanda.org/articles/aa/pdf/2002/21/aah3512.pdf,https://doi.org/10.1051/0004-6361:20020339
Astronomy and Astrophysics,astronomy_astrophysics_v388_i1,2002,388,1,10.1051/0004-6361:20020423,,https://openalex.org/W2172062081,The truncation of stellar discs: The magnetic hypothesis,E. Battaner; E. Florido; J. Jiménez-Vicente,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/22/aah3537.pdf,https://www.aanda.org/articles/aa/pdf/2002/22/aah3537.pdf,https://doi.org/10.1051/0004-6361:20020423
Astronomy and Astrophysics,astronomy_astrophysics_v388_i2,2002,388,2,10.1051/0004-6361:20020313,,https://openalex.org/W2144949660,Antiprotons from primordial black holes,A. Barrau; G. Boudoul; F. Donato; D. Maurin; P. Salati; R. Taillet,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/23/aa2225.pdf,https://www.aanda.org/articles/aa/pdf/2002/23/aa2225.pdf,https://doi.org/10.1051/0004-6361:20020313
Astronomy and Astrophysics,astronomy_astrophysics_v388_i3,2002,388,3,10.1051/0004-6361:20020471,,https://openalex.org/W2120633069,The Phoenix galaxy: UGC 4203 re-birth from its ashes?,M. Guainazzi; G. Matt; F. Fiore; G. C. Perola,article,bronze,https://www.aanda.org/articles/aa/pdf/2002/24/aah3370.pdf,https://www.aanda.org/articles/aa/pdf/2002/24/aah3370.pdf,https://doi.org/10.1051/0004-6361:20020471
