source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
Astronomy and Astrophysics,astronomy_astrophysics_v365_i3,journal_issue,2001,365,3,2,
Astronomy and Astrophysics,astronomy_astrophysics_v366_i1,journal_issue,2001,366,1,2,
Astronomy and Astrophysics,astronomy_astrophysics_v366_i2,journal_issue,2001,366,2,1,
Astronomy and Astrophysics,astronomy_astrophysics_v366_i3,journal_issue,2001,366,3,1,
Astronomy and Astrophysics,astronomy_astrophysics_v367_i1,journal_issue,2001,367,1,3,
Astronomy and Astrophysics,astronomy_astrophysics_v367_i2,journal_issue,2001,367,2,1,
Astronomy and Astrophysics,astronomy_astrophysics_v367_i3,journal_issue,2001,367,3,1,
Astronomy and Astrophysics,astronomy_astrophysics_v368_i1,journal_issue,2001,368,1,2,
Astronomy and Astrophysics,astronomy_astrophysics_v368_i2,journal_issue,2001,368,2,1,
Astronomy and Astrophysics,astronomy_astrophysics_v369_i1,journal_issue,2001,369,1,2,
Astronomy and Astrophysics,astronomy_astrophysics_v369_i2,journal_issue,2001,369,2,1,
Astronomy and Astrophysics,astronomy_astrophysics_v369_i3,journal_issue,2001,369,3,1,
Astronomy and Astrophysics,astronomy_astrophysics_v370_i1,journal_issue,2001,370,1,1,
Astronomy and Astrophysics,astronomy_astrophysics_v370_i2,journal_issue,2001,370,2,1,
Astronomy and Astrophysics,astronomy_astrophysics_v370_i3,journal_issue,2001,370,3,1,
Astronomy and Astrophysics,astronomy_astrophysics_v371_i1,journal_issue,2001,371,1,1,
Astronomy and Astrophysics,astronomy_astrophysics_v372_i2,journal_issue,2001,372,2,2,
Astronomy and Astrophysics,astronomy_astrophysics_v372_i3,journal_issue,2001,372,3,1,
Astronomy and Astrophysics,astronomy_astrophysics_v373_i2,journal_issue,2001,373,2,2,
Astronomy and Astrophysics,astronomy_astrophysics_v373_i3,journal_issue,2001,373,3,1,
Astronomy and Astrophysics,astronomy_astrophysics_v374_i1,journal_issue,2001,374,1,2,
Astronomy and Astrophysics,astronomy_astrophysics_v374_i3,journal_issue,2001,374,3,2,
Astronomy and Astrophysics,astronomy_astrophysics_v376_i3,journal_issue,2001,376,3,2,
Astronomy and Astrophysics,astronomy_astrophysics_v378_i3,journal_issue,2001,378,3,2,
Astronomy and Astrophysics,astronomy_astrophysics_v379_i1,journal_issue,2001,379,1,1,
Astronomy and Astrophysics,astronomy_astrophysics_v379_i2,journal_issue,2001,379,2,1,
Astronomy and Astrophysics,astronomy_astrophysics_v379_i3,journal_issue,2001,379,3,2,
Astronomy and Astrophysics,astronomy_astrophysics_v380_i1,journal_issue,2001,380,1,2,
Astronomy and Astrophysics,astronomy_astrophysics_v380_i2,journal_issue,2001,380,2,2,
Astronomy and Astrophysics,astronomy_astrophysics_v381_i3,journal_issue,2002,381,3,2,
Astronomy and Astrophysics,astronomy_astrophysics_v382_i2,journal_issue,2002,382,2,1,
Astronomy and Astrophysics,astronomy_astrophysics_v382_i3,journal_issue,2002,382,3,1,
Astronomy and Astrophysics,astronomy_astrophysics_v383_i1,journal_issue,2002,383,1,1,
Astronomy and Astrophysics,astronomy_astrophysics_v383_i3,journal_issue,2002,383,3,1,
