source,unit_id,unit_type,year,unit_date,unit_label,unit_url,landing_page_url,source_url,title,summary,authors,oa_marker,pdf_url,doi,openalex_id,source_item_id,paper_type,venue_section,concepts,referenced_works_count,cited_by_count
Astronomy and Astrophysics,aanda_2005_01,official_journal_issue,2005,2005,Vol. 429 / 1 - January I 2005,https://www.aanda.org/articles/aa/abs/2005/01/contents/contents.html,https://www.aanda.org/articles/aa/abs/2005/01/aa1469/aa1469.html,https://www.aanda.org/articles/aa/abs/2005/01/contents/contents.html,Cosmological distances and fractal statistics of galaxy distribution,,M. B. Ribeiro,free_access_or_s2o_archive;publisher_pdf_available,https://www.aanda.org/articles/aa/pdf/2005/01/aa1469.pdf,10.1051/0004-6361:20041469,,10.1051/0004-6361:20041469,article,Cosmology (including clusters of galaxies),A&A cosmology section/title filter,,
Astronomy and Astrophysics,aanda_2005_01,official_journal_issue,2005,2005,Vol. 429 / 1 - January I 2005,https://www.aanda.org/articles/aa/abs/2005/01/contents/contents.html,https://www.aanda.org/articles/aa/abs/2005/01/aa1513/aa1513.html,https://www.aanda.org/articles/aa/abs/2005/01/contents/contents.html,Dealing with systematics in cosmic shear studies: New results from the VIRMOS-Descart survey,,L. Van Waerbeke; Y. Mellier; H. Hoekstra,free_access_or_s2o_archive;publisher_pdf_available,https://www.aanda.org/articles/aa/pdf/2005/01/aa1513.pdf,10.1051/0004-6361:20041513,,10.1051/0004-6361:20041513,article,Cosmology (including clusters of galaxies),A&A cosmology section/title filter,,
Astronomy and Astrophysics,aanda_2005_01,official_journal_issue,2005,2005,Vol. 429 / 1 - January I 2005,https://www.aanda.org/articles/aa/abs/2005/01/contents/contents.html,https://www.aanda.org/articles/aa/abs/2005/01/aa1322/aa1322.html,https://www.aanda.org/articles/aa/abs/2005/01/contents/contents.html,Large scale diffuse light in the Coma cluster: A multi-scale approach,,C. Adami; E. Slezak; F. Durret; C. J. Conselice; J. C. Cuillandre; et al.,free_access_or_s2o_archive;publisher_pdf_available,https://www.aanda.org/articles/aa/pdf/2005/01/aa1322.pdf,10.1051/0004-6361:20041322,,10.1051/0004-6361:20041322,article,Cosmology (including clusters of galaxies),A&A cosmology section/title filter,,
Astronomy and Astrophysics,aanda_2005_01,official_journal_issue,2005,2005,Vol. 429 / 1 - January I 2005,https://www.aanda.org/articles/aa/abs/2005/01/contents/contents.html,https://www.aanda.org/articles/aa/abs/2005/01/aa0426-04/aa0426-04.html,https://www.aanda.org/articles/aa/abs/2005/01/contents/contents.html,Some astrophysical implications of dark matter and gas profiles in a new galaxy cluster model,,V. F. Cardone; E. Piedipalumbo; C. Tortora,free_access_or_s2o_archive;publisher_pdf_available,https://www.aanda.org/articles/aa/pdf/2005/01/aa0426-04.pdf,10.1051/0004-6361:20040426,,10.1051/0004-6361:20040426,article,Cosmology (including clusters of galaxies),A&A cosmology section/title filter,,
Astronomy and Astrophysics,aanda_2005_01,official_journal_issue,2005,2005,Vol. 429 / 1 - January I 2005,https://www.aanda.org/articles/aa/abs/2005/01/contents/contents.html,https://www.aanda.org/articles/aa/abs/2005/01/aa1215/aa1215.html,https://www.aanda.org/articles/aa/abs/2005/01/contents/contents.html,The intermediate-redshift galaxy cluster CL 0048-2942 - Stellar populations,,M. Serote Roos; C. Lobo; F. Durret; A. Iovino; I. Márquez,free_access_or_s2o_archive;publisher_pdf_available,https://www.aanda.org/articles/aa/pdf/2005/01/aa1215.pdf,10.1051/0004-6361:20041215,,10.1051/0004-6361:20041215,article,Cosmology (including clusters of galaxies),A&A cosmology section/title filter,,
Astronomy and Astrophysics,aanda_2005_01,official_journal_issue,2005,2005,Vol. 429 / 1 - January I 2005,https://www.aanda.org/articles/aa/abs/2005/01/contents/contents.html,https://www.aanda.org/articles/aa/abs/2005/01/aa1296/aa1296.html,https://www.aanda.org/articles/aa/abs/2005/01/contents/contents.html,XMM-Newton study of the lensing cluster of galaxies CL 0024+17,,Y.-Y. Zhang; H. Böhringer; Y. Mellier; G. Soucail; W. Forman,free_access_or_s2o_archive;publisher_pdf_available,https://www.aanda.org/articles/aa/pdf/2005/01/aa1296.pdf,10.1051/0004-6361:20041296,,10.1051/0004-6361:20041296,article,Cosmology (including clusters of galaxies),A&A cosmology section/title filter,,
Astronomy and Astrophysics,aanda_2005_02,official_journal_issue,2005,2005,Vol. 429 / 2 - January II 2005,https://www.aanda.org/articles/aa/abs/2005/02/contents/contents.html,https://www.aanda.org/articles/aa/abs/2005/02/aa1291/aa1291.html,https://www.aanda.org/articles/aa/abs/2005/02/contents/contents.html,Heating groups and clusters of galaxies: The role of AGN jets,,C. Zanni; G. Murante; G. Bodo; S. Massaglia; P. Rossi; et al.,free_access_or_s2o_archive;publisher_pdf_available,https://www.aanda.org/articles/aa/pdf/2005/02/aa1291.pdf,10.1051/0004-6361:20041291,,10.1051/0004-6361:20041291,article,Cosmology (including clusters of galaxies),A&A cosmology section/title filter,,
Astronomy and Astrophysics,aanda_2005_02,official_journal_issue,2005,2005,Vol. 429 / 2 - January II 2005,https://www.aanda.org/articles/aa/abs/2005/02/contents/contents.html,https://www.aanda.org/articles/aa/abs/2005/02/aa1099/aa1099.html,https://www.aanda.org/articles/aa/abs/2005/02/contents/contents.html,Joint cosmological parameters forecast from CFHTLS-cosmic shear and CMB data,,I. Tereno; O. Doré; L. van Waerbeke; Y. Mellier,free_access_or_s2o_archive;publisher_pdf_available,https://www.aanda.org/articles/aa/pdf/2005/02/aa1099.pdf,10.1051/0004-6361:20041099,,10.1051/0004-6361:20041099,article,Cosmology (including clusters of galaxies),A&A cosmology section/title filter,,
Astronomy and Astrophysics,aanda_2005_02,official_journal_issue,2005,2005,Vol. 429 / 2 - January II 2005,https://www.aanda.org/articles/aa/abs/2005/02/contents/contents.html,https://www.aanda.org/articles/aa/abs/2005/02/aa1093/aa1093.html,https://www.aanda.org/articles/aa/abs/2005/02/contents/contents.html,The selection function of SZ cluster surveys,,J.-B. Melin; J. G. Bartlett; J. Delabrouille,free_access_or_s2o_archive;publisher_pdf_available,https://www.aanda.org/articles/aa/pdf/2005/02/aa1093.pdf,10.1051/0004-6361:20048093,,10.1051/0004-6361:20048093,article,Cosmology (including clusters of galaxies),A&A cosmology section/title filter,,
Astronomy and Astrophysics,aanda_2005_03,official_journal_issue,2005,2005,Vol. 429 / 3 - January III 2005,https://www.aanda.org/articles/aa/abs/2005/03/contents/contents.html,https://www.aanda.org/articles/aa/abs/2005/03/aa1168/aa1168.html,https://www.aanda.org/articles/aa/abs/2005/03/contents/contents.html,Cosmological parameters from supernova observations: A critical comparison of three data sets,,T. R. Choudhury; T. Padmanabhan,free_access_or_s2o_archive;publisher_pdf_available,https://www.aanda.org/articles/aa/pdf/2005/03/aa1168.pdf,10.1051/0004-6361:20041168,,10.1051/0004-6361:20041168,article,Cosmology (including clusters of galaxies),A&A cosmology section/title filter,,
