source,unit_id,unit_type,year,unit_date,unit_label,unit_url,landing_page_url,source_url,title,summary,authors,oa_marker,pdf_url,doi,openalex_id,source_item_id,paper_type,venue_section,concepts,referenced_works_count,cited_by_count
Astronomy and Astrophysics,astronomy_astrophysics_2015_v574,journal_issue_or_year,2015,2015-01-09,vol. 574,https://doi.org/10.1051/0004-6361/201323242,https://doi.org/10.1051/0004-6361/201323242,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS205231332%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26405456%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Reconstructing the projected gravitational potential of Abell 1689 from X-ray measurements,,Céline Tchernin; Charles L. Majer; Sven Meyer; Eleonora Sarli; Dominique Eckert; et al.,bronze;is_oa,https://www.aanda.org/articles/aa/pdf/2015/02/aa23242-13.pdf,10.1051/0004-6361/201323242,https://openalex.org/W1981310782,https://openalex.org/W1981310782,article,OpenAlex concept filter: Cosmology,Physics; Astrophysics; Observable; Cluster (spacecraft); Galaxy cluster; Galaxy; Astronomy; Gravitational potential; Galaxy groups and clusters; Gravitation; Abell 2744; Cosmology; Brightest cluster galaxy; Computational astrophysics; Red shift,47,11
Astronomy and Astrophysics,astronomy_astrophysics_2015_v575,journal_issue_or_year,2015,2015-01-13,vol. 575,https://doi.org/10.1051/0004-6361/201425016,https://doi.org/10.1051/0004-6361/201425016,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS205231332%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26405456%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,On the origin of intrinsic alignment in cosmic shear measurements: an analytic argument,,Giovanni Camelio; Marco Lombardi,bronze;is_oa,https://www.aanda.org/articles/aa/pdf/2015/03/aa25016-14.pdf,10.1051/0004-6361/201425016,https://openalex.org/W2036723339,https://openalex.org/W2036723339,article,OpenAlex concept filter: Cosmology,Physics; Astrophysics; Galaxy; COSMIC cancer database; Accretion (finance); Classical mechanics; Statistical physics; Galaxy formation and evolution; Tidal force; Simple (philosophy); Theoretical physics; Cosmology; Elliptical galaxy; Field (mathematics); Star formation; Shear (geology); Computational astrophysics; Structure formation; Active galactic nucleus; Mathematical model,43,17
Astronomy and Astrophysics,astronomy_astrophysics_2015_v574,journal_issue_or_year,2015,2015-01-26,vol. 574,https://doi.org/10.1051/0004-6361/201423915,https://doi.org/10.1051/0004-6361/201423915,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS205231332%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26405456%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Early-time light curves of Type Ib/c supernovae from the SDSS-II Supernova Survey,,F. Taddia; J. Sollerman; G. Leloudas; M. D. Stritzinger; S. Valenti; et al.,bronze;is_oa,https://www.aanda.org/articles/aa/pdf/2015/02/aa23915-14.pdf,10.1051/0004-6361/201423915,https://openalex.org/W2096382669,https://openalex.org/W2096382669,article,OpenAlex concept filter: Cosmology,Physics; Supernova; Light curve; Astrophysics; Homogeneous; Type (biology); Astronomy; Phase (matter); Type II supernova; Luminosity; Cosmology; Emission spectrum; Apparent magnitude,117,182
Astronomy and Astrophysics,astronomy_astrophysics_2015_v575,journal_issue_or_year,2015,2015-02-19,vol. 575,https://doi.org/10.1051/0004-6361/201425083,https://doi.org/10.1051/0004-6361/201425083,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS205231332%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26405456%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Missing cosmic metals revealed by X-ray absorption towards distant sources,,Sergio Campana; Ruben Salvaterra; Andrea Ferrara; Andrea Pallottini,bronze;is_oa,https://www.aanda.org/articles/aa/pdf/2015/03/aa25083-14.pdf,10.1051/0004-6361/201425083,https://openalex.org/W2015256995,https://openalex.org/W2015256995,article,OpenAlex concept filter: Cosmology,Physics; Astrophysics; Intergalactic travel; Galaxy; COSMIC cancer database; Absorption (acoustics); Cosmic ray; Stars; Astronomy; Cosmic infrared background; Quasar; Supernova; Space (punctuation); Thermal; Line (geometry); Intergalactic medium; Star formation; Milky Way; Structure formation; Cosmic microwave background; Photon; Reionization; Metal; Absorption spectroscopy; Galaxy formation and evolution; Cosmology; Background radiation; Universe,63,37
Astronomy and Astrophysics,astronomy_astrophysics_2015_v575,journal_issue_or_year,2015,2015-02-20,vol. 575,https://doi.org/10.1051/0004-6361/201525627,https://doi.org/10.1051/0004-6361/201525627,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS205231332%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26405456%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,High-redshift active galactic nuclei and H I reionisation: limits from the unresolved X-ray background,,Francesco Haardt; Ruben Salvaterra,bronze;is_oa,https://www.aanda.org/articles/aa/pdf/2015/03/aa25627-15.pdf,10.1051/0004-6361/201525627,https://openalex.org/W1896299884,https://openalex.org/W1896299884,article,OpenAlex concept filter: Cosmology,Physics; Astrophysics; Galaxy; Astronomy; Redshift; Quasar; Active galactic nucleus; Population; Background radiation; Stars; Ionizing radiation; X-ray background; Reionization; Flux (metallurgy); Milky Way; Star formation; Hubble Deep Field; Dark Ages; Galaxy formation and evolution; Dwarf galaxy; Equivalent width; Ultraviolet astronomy; Cosmology; Photometry (optics),49,33
Astronomy and Astrophysics,astronomy_astrophysics_2015_v576,journal_issue_or_year,2015,2015-02-20,vol. 576,https://doi.org/10.1051/0004-6361/201425341,https://doi.org/10.1051/0004-6361/201425341,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS205231332%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26405456%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Reflection nebulae in the Galactic center: soft X-ray imaging polarimetry,,F. Marin; F. Muleri; P. Soffitta; V. Karas; D. Kunneriath,bronze;is_oa,https://www.aanda.org/articles/aa/pdf/2015/04/aa25341-14.pdf,10.1051/0004-6361/201425341,https://openalex.org/W1664031728,https://openalex.org/W1664031728,article,OpenAlex concept filter: Cosmology,Physics; Astrophysics; Reflection nebula; Polarimetry; Supermassive black hole; Astronomy; Reflection (computer programming); Molecular cloud; Galaxy; Galactic nuclei; Active galactic nucleus; Polarization (electrochemistry); Planetary nebula; Quasar; Circular polarization; Black hole (networking); Cosmology; Galactic Center; Serpens; Compton scattering,42,16
Astronomy and Astrophysics,astronomy_astrophysics_2015_v576,journal_issue_or_year,2015,2015-02-23,vol. 576,https://doi.org/10.1051/0004-6361/201425251,https://doi.org/10.1051/0004-6361/201425251,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS205231332%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26405456%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,The enigmatic He-sdB pulsator LS IV-14°116: new insights from the VLT,,S. K. Randall; S. Bagnulo; E. Ziegerer; S. Geier; G. Fontaine,bronze;is_oa,https://www.aanda.org/articles/aa/pdf/2015/04/aa25251-14.pdf,10.1051/0004-6361/201425251,https://openalex.org/W2170237114,https://openalex.org/W2170237114,article,OpenAlex concept filter: Cosmology,Physics; Astrophysics; Subdwarf; Helium; Halo; Galactic halo; Surface gravity; Astronomy; Radial velocity; Opacity; Galactic Center; Magnetic field; Spectroscopy; Proper motion; Stars; Field (mathematics); Cosmology; Gravitational field; Rotation (mathematics); Orbit (dynamics); Kinematics; Spectral line; Horizontal branch; Circular orbit; Bent molecular geometry,40,33
Astronomy and Astrophysics,astronomy_astrophysics_2015_v577,journal_issue_or_year,2015,2015-02-23,vol. 577,https://doi.org/10.1051/0004-6361/201321230,https://doi.org/10.1051/0004-6361/201321230,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS205231332%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26405456%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Hopfield neural network deconvolution for weak lensing measurement,,G. Nurbaeva; M. Tewes; F. Courbin; G. Meylan,green;is_oa,https://doi.org/10.1051/0004-6361/201321230,10.1051/0004-6361/201321230,https://openalex.org/W1969895194,https://openalex.org/W1969895194,article,OpenAlex concept filter: Cosmology,Weak gravitational lensing; Deconvolution; Dark energy; Point spread function; Blind deconvolution; Physics; Algorithm; Multiplicative function; Galaxy; Statistical physics; Computer science; Mathematics; Optics; Mathematical analysis; Cosmology; Astrophysics; Redshift,27,4
Astronomy and Astrophysics,astronomy_astrophysics_2015_v576,journal_issue_or_year,2015,2015-02-27,vol. 576,https://doi.org/10.1051/0004-6361/201425555,https://doi.org/10.1051/0004-6361/201425555,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS205231332%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26405456%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Cosmological constraints from the observed angular cross-power spectrum between Sunyaev-Zel’dovich and X-ray surveys,,G. Hurier; M. Douspis; N. Aghanim; E. Pointecouteau; J. M. Diego; et al.,bronze;is_oa,https://www.aanda.org/articles/aa/pdf/2015/04/aa25555-14.pdf,10.1051/0004-6361/201425555,https://openalex.org/W1985120775,https://openalex.org/W1985120775,article,OpenAlex concept filter: Cosmology,Physics; Astrophysics; ROSAT; Spectral density; Halo; Amplitude; Range (aeronautics); Planck; Scaling; Cosmic microwave background; Sky; Angular diameter; Cosmic background radiation; COSMIC cancer database; Cosmology; Cosmic infrared background; Correlation; SIGNAL (programming language); Thermal; Systematic error; Computational physics; Energy (signal processing); Astronomy; Spectrum (functional analysis); Angular momentum; Correlation function (quantum field theory),72,24
Astronomy and Astrophysics,astronomy_astrophysics_2015_v577,journal_issue_or_year,2015,2015-03-03,vol. 577,https://doi.org/10.1051/0004-6361/201425224,https://doi.org/10.1051/0004-6361/201425224,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS205231332%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26405456%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,"Mass-metallicity relation of zCOSMOS galaxies at<i>z</i>≈ 0.7, its dependence on star formation rate, and the existence of massive low-metallicity galaxies",,C. Maier; B. L. Ziegler; S. J. Lilly; T. Contini; E. Pérez-Montero; et al.,bronze;is_oa,https://www.aanda.org/articles/aa/pdf/2015/05/aa25224-14.pdf,10.1051/0004-6361/201425224,https://openalex.org/W1480974962,https://openalex.org/W1480974962,article,OpenAlex concept filter: Cosmology,Physics; Galaxy; Astrophysics; Star formation; Galaxy formation and evolution; Astronomy; Relation (database); Star (game theory); Disc galaxy; Stellar evolution; Active galactic nucleus; Cosmology; Tully–Fisher relation; Luminous infrared galaxy; Quasar; Galaxy group; Galactic nuclei; Structure formation; Elliptical galaxy; Emission spectrum; Galaxias,59,37
