unit_id,unit_type,year,date,unit_label,unit_url
astronomy_astrophysics_2015_v574,journal_issue_or_year,2015,2015-01-09,vol. 574,https://doi.org/10.1051/0004-6361/201323242
astronomy_astrophysics_2015_v575,journal_issue_or_year,2015,2015-01-13,vol. 575,https://doi.org/10.1051/0004-6361/201425016
astronomy_astrophysics_2015_v576,journal_issue_or_year,2015,2015-02-20,vol. 576,https://doi.org/10.1051/0004-6361/201425341
astronomy_astrophysics_2015_v577,journal_issue_or_year,2015,2015-02-23,vol. 577,https://doi.org/10.1051/0004-6361/201321230
astronomy_astrophysics_2015_v578,journal_issue_or_year,2015,2015-03-25,vol. 578,https://doi.org/10.1051/0004-6361/201425204
astronomy_astrophysics_2015_v579,journal_issue_or_year,2015,2015-04-20,vol. 579,https://doi.org/10.1051/0004-6361/201424931
astronomy_astrophysics_2015_v580,journal_issue_or_year,2015,2015-07-02,vol. 580,https://doi.org/10.1051/0004-6361/201526288
astronomy_astrophysics_2015_v581,journal_issue_or_year,2015,2015-06-22,vol. 581,https://doi.org/10.1051/0004-6361/201525787
astronomy_astrophysics_2015_v582,journal_issue_or_year,2015,2015-08-13,vol. 582,https://doi.org/10.1051/0004-6361/201526731
astronomy_astrophysics_2015_v583,journal_issue_or_year,2015,2015-08-21,vol. 583,https://doi.org/10.1051/0004-6361/201526051
astronomy_astrophysics_2015_v584,journal_issue_or_year,2015,2015-09-21,vol. 584,https://doi.org/10.1051/0004-6361/201525752
astronomy_astrophysics_2015_v585,journal_issue_or_year,2015,2015-10-09,vol. 585,https://doi.org/10.1051/0004-6361/201526486
astronomy_astrophysics_2015_v586,journal_issue_or_year,2015,2015-11-02,vol. 586,https://doi.org/10.1051/0004-6361/201526993
astronomy_astrophysics_2015_v592,journal_issue_or_year,2015,2015-12-15,vol. 592,https://doi.org/10.1051/0004-6361/201526891
astronomy_astrophysics_2016_v586,journal_issue_or_year,2016,2016-01-05,vol. 586,https://doi.org/10.1051/0004-6361/201526095
