source,unit_id,unit_type,year,unit_date,unit_label,unit_url,landing_page_url,source_url,title,summary,authors,oa_marker,pdf_url,doi,openalex_id,source_item_id,paper_type,venue_section,concepts,referenced_works_count,cited_by_count
Behavior Research Methods,behavior_research_methods_2015_v47_i4,journal_issue_or_year,2015,2015-01-12,"vol. 47, issue 4",https://doi.org/10.3758/s13428-014-0532-5,https://doi.org/10.3758/s13428-014-0532-5,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137478622%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,The Chicago face database: A free stimulus set of faces and norming data,,S. Debbie; Joshua Correll; Bernd Wittenbrink,bronze;is_oa,https://link.springer.com/content/pdf/10.3758%2Fs13428-014-0532-5.pdf,10.3758/s13428-014-0532-5,https://openalex.org/W1964981411,https://openalex.org/W1964981411,article,OpenAlex concept filter: Cognitive psychology,Stimulus (psychology); Psychology; Database; Computer science; Artificial intelligence; Cognitive psychology,67,1831
Behavior Research Methods,behavior_research_methods_2015_v47_i4,journal_issue_or_year,2015,2015-01-12,"vol. 47, issue 4",https://doi.org/10.3758/s13428-014-0551-2,https://doi.org/10.3758/s13428-014-0551-2,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137478622%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Moral foundations vignettes: a standardized stimulus database of scenarios based on moral foundations theory,,Scott Clifford; V. Iyengar; Roberto Cabeza; Walter Sinnott‐Armstrong,bronze;is_oa,https://link.springer.com/content/pdf/10.3758/s13428-014-0551-2.pdf,10.3758/s13428-014-0551-2,https://openalex.org/W2070850637,https://openalex.org/W2070850637,article,OpenAlex concept filter: Cognitive psychology,Social cognitive theory of morality; Psychology; Moral disengagement; Morality; Moral reasoning; Moral development; Moral psychology; Vignette; Social intuitionism; Moral authority; Social psychology; Cognition; Set (abstract data type); Variety (cybernetics); Cognitive psychology; Epistemology; Neuroscience; Programming language; Computer science; Philosophy; Artificial intelligence,61,358
Behavior Research Methods,behavior_research_methods_2015_v47_i4,journal_issue_or_year,2015,2015-01-14,"vol. 47, issue 4",https://doi.org/10.3758/s13428-014-0552-1,https://doi.org/10.3758/s13428-014-0552-1,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137478622%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Nencki Affective Word List (NAWL): the cultural adaptation of the Berlin Affective Word List–Reloaded (BAWL-R) for Polish,,Monika Riegel; Małgorzata Wierzba; Marek Wypych; Łukasz Żurawski; Katarzyna Jednoróg; et al.,hybrid;is_oa,https://link.springer.com/content/pdf/10.3758/s13428-014-0552-1.pdf,10.3758/s13428-014-0552-1,https://openalex.org/W2003230417,https://openalex.org/W2003230417,article,OpenAlex concept filter: Cognitive psychology,Noun; Word list; German; Normative; Valence (chemistry); Psychology; Word (group theory); Adaptation (eye); Linguistics; Cognitive psychology; Class (philosophy); Computer science; Natural language processing; Artificial intelligence; Physics; Neuroscience; Epistemology; Philosophy; Quantum mechanics,84,107
Behavior Research Methods,behavior_research_methods_2015_v47_i4,journal_issue_or_year,2015,2015-01-14,"vol. 47, issue 4",https://doi.org/10.3758/s13428-014-0554-z,https://doi.org/10.3758/s13428-014-0554-z,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137478622%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Measurement of human rotation behavior for psychological and neuropsychological investigations,,Kaspar Leuenberger; Reto Hofmann; Peter Brugger; Roger Gassert,bronze;is_oa,https://link.springer.com/content/pdf/10.3758%2Fs13428-014-0554-z.pdf,10.3758/s13428-014-0554-z,https://openalex.org/W2036340514,https://openalex.org/W2036340514,article,OpenAlex concept filter: Cognitive psychology,Neuropsychology; Psychology; Rotation (mathematics); Mental rotation; Cognitive psychology; Neuropsychological testing; Computer science; Cognition; Artificial intelligence; Neuroscience,35,5
Behavior Research Methods,behavior_research_methods_2015_v48_i1,journal_issue_or_year,2015,2015-02-10,"vol. 48, issue 1",https://doi.org/10.3758/s13428-015-0566-3,https://doi.org/10.3758/s13428-015-0566-3,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137478622%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,The composite complex span: French validation of a short working memory task,,Corentin Gonthier; Noémylle Thomassin; Jean‐Luc Roulin,bronze;is_oa,https://link.springer.com/content/pdf/10.3758/s13428-015-0566-3.pdf,10.3758/s13428-015-0566-3,https://openalex.org/W2030890517,https://openalex.org/W2030890517,article,OpenAlex concept filter: Cognitive psychology,Memory span; Working memory; Span (engineering); Task (project management); Computer science; Cognitive psychology; Short-term memory; Psychology; Artificial intelligence; Cognition; Management; Civil engineering; Neuroscience; Economics; Engineering,34,30
Behavior Research Methods,behavior_research_methods_2015_v48_i1,journal_issue_or_year,2015,2015-02-12,"vol. 48, issue 1",https://doi.org/10.3758/s13428-015-0561-8,https://doi.org/10.3758/s13428-015-0561-8,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137478622%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,"The DalHouses: 100 new photographs of houses with ratings of typicality, familiarity, and degree of similarity to faces",,Jillian Filliter; Jacqueline M. Glover; Patricia A. McMullen; Joshua P. Salmon; Shannon A. Johnson,bronze;is_oa,https://link.springer.com/content/pdf/10.3758/s13428-015-0561-8.pdf,10.3758/s13428-015-0561-8,https://openalex.org/W2086532769,https://openalex.org/W2086532769,article,OpenAlex concept filter: Cognitive psychology,Degree (music); Similarity (geometry); Psychology; Communication; Cognitive psychology; Artificial intelligence; Pattern recognition (psychology); Computer science; Acoustics; Physics; Image (mathematics),26,25
Behavior Research Methods,behavior_research_methods_2015_v48_i1,journal_issue_or_year,2015,2015-02-20,"vol. 48, issue 1",https://doi.org/10.3758/s13428-015-0564-5,https://doi.org/10.3758/s13428-015-0564-5,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137478622%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Assessing perceptual change with an ambiguous figures task: Normative data for 40 standard picture sets,,Elisabeth Stöttinger; Nazanin Mohammadi Sepahvand; James Danckert; Britt Anderson,bronze;is_oa,https://link.springer.com/content/pdf/10.3758/s13428-015-0564-5.pdf,10.3758/s13428-015-0564-5,https://openalex.org/W2056379117,https://openalex.org/W2056379117,article,OpenAlex concept filter: Cognitive psychology,Perception; Normative; Ambiguity; Morphing; Computer science; Cognitive psychology; Object (grammar); Psychology; Artificial intelligence; Programming language; Neuroscience; Philosophy; Epistemology,47,41
Behavior Research Methods,behavior_research_methods_2015_v48_i1,journal_issue_or_year,2015,2015-02-20,"vol. 48, issue 1",https://doi.org/10.3758/s13428-015-0563-6,https://doi.org/10.3758/s13428-015-0563-6,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137478622%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,The impact of MRI scanner environment on perceptual decision-making,,Leendert van Maanen; Birte U. Forstmann; Max C. Keuken; Eric‐Jan Wagenmakers; Andrew Heathcote,hybrid;is_oa,https://link.springer.com/content/pdf/10.3758%2Fs13428-015-0563-6.pdf,10.3758/s13428-015-0563-6,https://openalex.org/W2054777821,https://openalex.org/W2054777821,article,OpenAlex concept filter: Cognitive psychology,Scanner; Functional magnetic resonance imaging; Computer science; Task (project management); Focus (optics); Perception; Balance (ability); Artificial intelligence; Psychology; Cognitive psychology; Computer vision; Neuroscience; Physics; Engineering; Optics; Systems engineering,76,58
Behavior Research Methods,behavior_research_methods_2015_v48_i1,journal_issue_or_year,2015,2015-02-20,"vol. 48, issue 1",https://doi.org/10.3758/s13428-015-0568-1,https://doi.org/10.3758/s13428-015-0568-1,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137478622%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Trying to separate the wheat from the chaff: Construct- and faking-related variance on the Implicit Association Test (IAT),,Jessica Röhner; Torsten Ewers,bronze;is_oa,https://link.springer.com/content/pdf/10.3758/s13428-015-0568-1.pdf,10.3758/s13428-015-0568-1,https://openalex.org/W2030763043,https://openalex.org/W2030763043,article,OpenAlex concept filter: Cognitive psychology,Psychology; Construct (python library); Implicit-association test; Variance (accounting); Social psychology; Common-method variance; Set (abstract data type); Test (biology); Cognitive psychology; Computer science; Accounting; Biology; Programming language; Business; Paleontology,66,34
Behavior Research Methods,behavior_research_methods_2015_v48_i1,journal_issue_or_year,2015,2015-02-20,"vol. 48, issue 1",https://doi.org/10.3758/s13428-015-0570-7,https://doi.org/10.3758/s13428-015-0570-7,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137478622%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,"Can you hear what I feel? A validated prosodic set of angry, happy, and neutral Italian pseudowords",,Emanuele Preti; Chiara Suttora; Juliette Richetin,bronze;is_oa,https://link.springer.com/content/pdf/10.3758/s13428-015-0570-7.pdf,10.3758/s13428-015-0570-7,https://openalex.org/W1970786474,https://openalex.org/W1970786474,article,OpenAlex concept filter: Cognitive psychology,Anger; Prosody; Psychology; Set (abstract data type); Tone (literature); Valence (chemistry); Perception; Emotional valence; Speech recognition; Cognitive psychology; Cognition; Linguistics; Computer science; Social psychology; Neuroscience; Physics; Philosophy; Programming language; Quantum mechanics,47,17
