unit_id,unit_type,year,date,unit_label,unit_url
behavior_research_methods_2015_v47_i4,journal_issue_or_year,2015,2015-01-12,"vol. 47, issue 4",https://doi.org/10.3758/s13428-014-0532-5
behavior_research_methods_2015_v48_i1,journal_issue_or_year,2015,2015-02-10,"vol. 48, issue 1",https://doi.org/10.3758/s13428-015-0566-3
behavior_research_methods_2015_v48_i2,journal_issue_or_year,2015,2015-04-11,"vol. 48, issue 2",https://doi.org/10.3758/s13428-015-0584-1
behavior_research_methods_2015_v48_i3,journal_issue_or_year,2015,2015-07-10,"vol. 48, issue 3",https://doi.org/10.3758/s13428-015-0625-9
behavior_research_methods_2015_v48_i4,journal_issue_or_year,2015,2015-08-14,"vol. 48, issue 4",https://doi.org/10.3758/s13428-015-0643-7
behavior_research_methods_2015_v49_i1,journal_issue_or_year,2015,2015-12-16,"vol. 49, issue 1",https://doi.org/10.3758/s13428-015-0686-9
behavior_research_methods_2016_v49_i1,journal_issue_or_year,2016,2016-01-28,"vol. 49, issue 1",https://doi.org/10.3758/s13428-015-0689-6
behavior_research_methods_2016_v49_i2,journal_issue_or_year,2016,2016-02-23,"vol. 49, issue 2",https://doi.org/10.3758/s13428-016-0715-3
behavior_research_methods_2016_v49_i3,journal_issue_or_year,2016,2016-05-18,"vol. 49, issue 3",https://doi.org/10.3758/s13428-016-0743-z
behavior_research_methods_2016_v49_i4,journal_issue_or_year,2016,2016-08-08,"vol. 49, issue 4",https://doi.org/10.3758/s13428-016-0784-3
behavior_research_methods_2016_v49_i5,journal_issue_or_year,2016,2016-10-14,"vol. 49, issue 5",https://doi.org/10.3758/s13428-016-0817-y
behavior_research_methods_2016_v49_i6,journal_issue_or_year,2016,2016-12-21,"vol. 49, issue 6",https://doi.org/10.3758/s13428-016-0843-9
behavior_research_methods_2017_v49_i6,journal_issue_or_year,2017,2017-01-26,"vol. 49, issue 6",https://doi.org/10.3758/s13428-016-0847-5
behavior_research_methods_2017_v50_i1,journal_issue_or_year,2017,2017-02-08,"vol. 50, issue 1",https://doi.org/10.3758/s13428-017-0857-y
behavior_research_methods_2017_v50_i2,journal_issue_or_year,2017,2017-04-07,"vol. 50, issue 2",https://doi.org/10.3758/s13428-017-0886-6
behavior_research_methods_2017_v50_i3,journal_issue_or_year,2017,2017-06-08,"vol. 50, issue 3",https://doi.org/10.3758/s13428-017-0912-8
behavior_research_methods_2017_v50_i4,journal_issue_or_year,2017,2017-09-21,"vol. 50, issue 4",https://doi.org/10.3758/s13428-017-0967-6
behavior_research_methods_2017_v50_i5,journal_issue_or_year,2017,2017-08-04,"vol. 50, issue 5",https://doi.org/10.3758/s13428-017-0948-9
behavior_research_methods_2017_v50_i6,journal_issue_or_year,2017,2017-11-09,"vol. 50, issue 6",https://doi.org/10.3758/s13428-017-0985-4
behavior_research_methods_2018_v50_i1,journal_issue_or_year,2018,2018-01-08,"vol. 50, issue 1",https://doi.org/10.3758/s13428-017-1006-3
behavior_research_methods_2018_v50_i4,journal_issue_or_year,2018,2018-02-12,"vol. 50, issue 4",https://doi.org/10.3758/s13428-018-1020-0
behavior_research_methods_2018_v50_i6,journal_issue_or_year,2018,2018-01-25,"vol. 50, issue 6",https://doi.org/10.3758/s13428-018-1016-9
behavior_research_methods_2018_v51_i1,journal_issue_or_year,2018,2018-05-16,"vol. 51, issue 1",https://doi.org/10.3758/s13428-018-1045-4
behavior_research_methods_2018_v51_i2,journal_issue_or_year,2018,2018-04-30,"vol. 51, issue 2",https://doi.org/10.3758/s13428-018-1048-1
behavior_research_methods_2018_v51_i3,journal_issue_or_year,2018,2018-05-29,"vol. 51, issue 3",https://doi.org/10.3758/s13428-018-1053-4
behavior_research_methods_2018_v51_i4,journal_issue_or_year,2018,2018-07-18,"vol. 51, issue 4",https://doi.org/10.3758/s13428-018-1071-2
behavior_research_methods_2018_v51_i5,journal_issue_or_year,2018,2018-08-20,"vol. 51, issue 5",https://doi.org/10.3758/s13428-018-1106-8
behavior_research_methods_2018_v51_i6,journal_issue_or_year,2018,2018-07-27,"vol. 51, issue 6",https://doi.org/10.3758/s13428-018-1094-8
behavior_research_methods_2019_v51_i1,journal_issue_or_year,2019,2019-02-01,"vol. 51, issue 1",https://doi.org/10.3758/s13428-019-01212-6
behavior_research_methods_2019_v51_i2,journal_issue_or_year,2019,2019-02-19,"vol. 51, issue 2",https://doi.org/10.3758/s13428-019-01200-w
behavior_research_methods_2019_v51_i3,journal_issue_or_year,2019,2019-02-13,"vol. 51, issue 3",https://doi.org/10.3758/s13428-018-01195-w
behavior_research_methods_2019_v51_i4,journal_issue_or_year,2019,2019-01-02,"vol. 51, issue 4",https://doi.org/10.3758/s13428-018-1175-8
