unit_id,unit_type,year,date,unit_label,unit_url
bmc_medicine_2024_06,official_month_article_batch,2024,2024-06-26,2024-06,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=31
bmc_medicine_2024_07,official_month_article_batch,2024,2024-07-29,2024-07,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=30
bmc_medicine_2024_08,official_month_article_batch,2024,2024-08-26,2024-08,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=29
bmc_medicine_2024_09,official_month_article_batch,2024,2024-09-30,2024-09,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=28
bmc_medicine_2024_10,official_month_article_batch,2024,2024-10-31,2024-10,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=26
bmc_medicine_2024_11,official_month_article_batch,2024,2024-11-28,2024-11,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=25
bmc_medicine_2024_12,official_month_article_batch,2024,2024-12-31,2024-12,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=24
bmc_medicine_2025_01,official_month_article_batch,2025,2025-01-29,2025-01,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=23
bmc_medicine_2025_02,official_month_article_batch,2025,2025-02-28,2025-02,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=21
bmc_medicine_2025_03,official_month_article_batch,2025,2025-03-31,2025-03,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=20
bmc_medicine_2025_04,official_month_article_batch,2025,2025-04-30,2025-04,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=19
bmc_medicine_2025_05,official_month_article_batch,2025,2025-05-30,2025-05,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=17
bmc_medicine_2025_06,official_month_article_batch,2025,2025-06-16,2025-06,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=17
bmc_medicine_2025_07,official_month_article_batch,2025,2025-07-31,2025-07,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=15
bmc_medicine_2025_08,official_month_article_batch,2025,2025-08-29,2025-08,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=14
bmc_medicine_2025_09,official_month_article_batch,2025,2025-09-30,2025-09,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=13
bmc_medicine_2025_10,official_month_article_batch,2025,2025-10-31,2025-10,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=12
bmc_medicine_2025_11,official_month_article_batch,2025,2025-11-29,2025-11,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=10
bmc_medicine_2025_12,official_month_article_batch,2025,2025-12-31,2025-12,https://link.springer.com/journal/12916/articles?searchType=journalSearch&sort=PubDate&page=9
