source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
The BMJ,bmj_v346_i,2017,346,,10.1136/bmj.j850,,https://openalex.org/W4241478501,Rosamund Snow,David Payne,article,bronze,https://www.bmj.com/content/bmj/346/bmj.j850.full.pdf,https://www.bmj.com/content/bmj/346/bmj.j850.full.pdf,https://doi.org/10.1136/bmj.j850
The BMJ,bmj_v349_ijan02 1,2015,349,jan02 1,10.1136/bmj.g7647,,https://openalex.org/W2169205464,Preferred reporting items for systematic review and meta-analysis protocols (PRISMA-P) 2015: elaboration and explanation,Larissa Shamseer et al.,article,hybrid,https://www.bmj.com/content/bmj/349/bmj.g7647.full.pdf,https://www.bmj.com/content/bmj/349/bmj.g7647.full.pdf,https://doi.org/10.1136/bmj.g7647
The BMJ,bmj_v350_i,2015,350,,10.1136/bmj.g7818,,https://openalex.org/W2154903785,Patient reported outcome measures in practice,Eugene C. Nelson; Elena Eftimovska; Cristin Lind; Andreas Häger; John H. Wasson; Staffan Lindblad,article,bronze,https://www.bmj.com/content/bmj/350/bmj.g7818.full.pdf,https://www.bmj.com/content/bmj/350/bmj.g7818.full.pdf,https://doi.org/10.1136/bmj.g7818
The BMJ,bmj_v350_i,2015,350,,10.1136/bmj.g7873,PMC4301191,https://openalex.org/W2096907419,High sensitivity cardiac troponin and the under-diagnosis of myocardial infarction in women: prospective cohort study,Anoop Shah et al.,article,hybrid,https://www.bmj.com/content/bmj/350/bmj.g7873.full.pdf,https://www.bmj.com/content/bmj/350/bmj.g7873.full.pdf,https://doi.org/10.1136/bmj.g7873
The BMJ,bmj_v350_i,2015,350,,10.1136/bmj.g7714,,https://openalex.org/W2055494518,Patients and staff as codesigners of healthcare services,Glenn Robert; Jocelyn Cornwell; Louise Locock; Arnie Purushotham; Gordon Sturmey; Melanie Gager,article,bronze,https://www.bmj.com/content/bmj/350/bmj.g7714.full.pdf,https://www.bmj.com/content/bmj/350/bmj.g7714.full.pdf,https://doi.org/10.1136/bmj.g7714
The BMJ,bmj_v350_i,2015,350,,10.1136/bmj.h1111,PMC4373600,https://openalex.org/W1964621949,The relation between past exposure to fine particulate air pollution and prevalent anxiety: observational cohort study,Melinda C. Power; Marianthi‐Anna Kioumourtzoglou; Jaime E. Hart; Olivia I. Okereke; Francine Laden; Marc G. Weisskopf,article,hybrid,https://www.bmj.com/content/bmj/350/bmj.h1111.full.pdf,https://www.bmj.com/content/bmj/350/bmj.h1111.full.pdf,https://doi.org/10.1136/bmj.h1111
The BMJ,bmj_v350_i,2015,350,,10.1136/bmj.g7624,PMC4707568,https://openalex.org/W2143883401,Decision aids that really promote shared decision making: the pace quickens,Thomas Agoritsas et al.,article,bronze,https://www.bmj.com/content/bmj/350/bmj.g7624.full.pdf,https://www.bmj.com/content/bmj/350/bmj.g7624.full.pdf,https://doi.org/10.1136/bmj.g7624
The BMJ,bmj_v350_i,2015,350,,10.1136/bmj.h181,,https://openalex.org/W2018197407,Delivering person centred care in long term conditions,Simon Eaton; Sue Roberts; Bridget Turner,article,bronze,https://www.bmj.com/content/bmj/350/bmj.h181.full.pdf,https://www.bmj.com/content/bmj/350/bmj.h181.full.pdf,https://doi.org/10.1136/bmj.h181
The BMJ,bmj_v350_i,2015,350,,10.1136/bmj.g7785,,https://openalex.org/W2083721082,US experience with doctors and patients sharing clinical notes,Jan Walker; Michael Meltsner; Tom Delbanco,article,bronze,https://www.bmj.com/content/bmj/350/bmj.g7785.full.pdf,https://www.bmj.com/content/bmj/350/bmj.g7785.full.pdf,https://doi.org/10.1136/bmj.g7785
The BMJ,bmj_v350_i,2015,350,,10.1136/bmj.h148,,https://openalex.org/W2098141081,From patient centred to people powered: autonomy on the rise,Dave deBronkart,article,bronze,https://www.bmj.com/content/bmj/350/bmj.h148.full.pdf,https://www.bmj.com/content/bmj/350/bmj.h148.full.pdf,https://doi.org/10.1136/bmj.h148
The BMJ,bmj_v350_i,2015,350,,10.1136/bmj.h160,,https://openalex.org/W1976426591,Commentary: Swedish initiative on person centred care,Inger Ekman; Håkan Hedman; Karl Swedberg; Catarina Wallengren,article,bronze,https://www.bmj.com/content/bmj/350/bmj.h160.full.pdf,https://www.bmj.com/content/bmj/350/bmj.h160.full.pdf,https://doi.org/10.1136/bmj.h160
The BMJ,bmj_v350_i,2015,350,,10.1136/bmj.h602,PMC6705347,https://openalex.org/W2037960870,Quality assurance of drugs used in clinical trials: proposal for adapting guidelines,Paul N. Newton et al.,article,hybrid,https://www.bmj.com/content/bmj/350/bmj.h602.full.pdf,https://www.bmj.com/content/bmj/350/bmj.h602.full.pdf,https://doi.org/10.1136/bmj.h602
The BMJ,bmj_v350_i,2015,350,,10.1136/bmj.h412,,https://openalex.org/W2006058606,BMJ roundtable debate: How can we get better at providing patient centred care?,Emma Parish,article,bronze,https://www.bmj.com/content/bmj/350/bmj.h412.full.pdf,https://www.bmj.com/content/bmj/350/bmj.h412.full.pdf,https://doi.org/10.1136/bmj.h412
The BMJ,bmj_v350_i,2015,350,,10.1136/bmj.g7582,,https://openalex.org/W2045095607,New South Wales mounts “patient based care” challenge,Karen Luxford; Stephanie Newell,article,bronze,https://www.bmj.com/content/bmj/350/bmj.g7582.full.pdf,https://www.bmj.com/content/bmj/350/bmj.g7582.full.pdf,https://doi.org/10.1136/bmj.g7582
