source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
The BMJ,bmj_v350_iapr09 23,journal_issue,2015,350,apr09 23,1,
The BMJ,bmj_v350_iapr14 9,journal_issue,2015,350,apr14 9,1,
The BMJ,bmj_v350_iapr16 1,journal_issue,2015,350,apr16 1,1,
The BMJ,bmj_v350_iapr16 13,journal_issue,2015,350,apr16 13,1,
The BMJ,bmj_v350_iapr16 26,journal_issue,2015,350,apr16 26,1,
The BMJ,bmj_v350_iapr17 3,journal_issue,2015,350,apr17 3,1,
The BMJ,bmj_v350_iapr30 10,journal_issue,2015,350,apr30 10,1,
The BMJ,bmj_v350_ifeb03 4,journal_issue,2015,350,feb03 4,1,
The BMJ,bmj_v350_ifeb05 19,journal_issue,2015,350,feb05 19,1,
The BMJ,bmj_v350_ifeb05 23,journal_issue,2015,350,feb05 23,1,
The BMJ,bmj_v350_ifeb05 9,journal_issue,2015,350,feb05 9,1,
The BMJ,bmj_v350_ifeb09 1,journal_issue,2015,350,feb09 1,1,
The BMJ,bmj_v350_ifeb10 1,journal_issue,2015,350,feb10 1,1,
The BMJ,bmj_v350_ifeb18 2,journal_issue,2015,350,feb18 2,1,
The BMJ,bmj_v350_ifeb18 32,journal_issue,2015,350,feb18 32,1,
The BMJ,bmj_v350_ifeb18 8,journal_issue,2015,350,feb18 8,1,
The BMJ,bmj_v350_ifeb19 2,journal_issue,2015,350,feb19 2,1,
The BMJ,bmj_v350_ifeb20 1,journal_issue,2015,350,feb20 1,1,
The BMJ,bmj_v350_ifeb20 7,journal_issue,2015,350,feb20 7,1,
The BMJ,bmj_v350_ifeb23 10,journal_issue,2015,350,feb23 10,1,
The BMJ,bmj_v350_ifeb26 5,journal_issue,2015,350,feb26 5,1,
The BMJ,bmj_v350_ijan09 2,journal_issue,2015,350,jan09 2,1,
The BMJ,bmj_v350_ijan20 1,journal_issue,2015,350,jan20 1,1,
The BMJ,bmj_v350_ijan27 6,journal_issue,2015,350,jan27 6,1,
The BMJ,bmj_v350_ijun02 1,journal_issue,2015,350,jun02 1,1,
The BMJ,bmj_v350_ijun02 2,journal_issue,2015,350,jun02 2,1,
The BMJ,bmj_v350_ijun09 5,journal_issue,2015,350,jun09 5,1,
The BMJ,bmj_v350_ijun19 1,journal_issue,2015,350,jun19 1,1,
