source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
The BMJ,bmj_v312_i7030,1996,312,7030,10.1136/bmj.312.7030.572,PMC2350327,https://openalex.org/W1558316554,Statistics Notes: Presentation of numerical data,Doug Altman; J M. Bland,article,bronze,https://www.bmj.com/content/bmj/312/7030/572.1.full.pdf,https://www.bmj.com/content/bmj/312/7030/572.1.full.pdf,https://doi.org/10.1136/bmj.312.7030.572
The BMJ,bmj_v312_i7033,1996,312,7033,10.1136/bmj.312.7033.770,PMC2350481,https://openalex.org/W2055250702,Statistics Notes: Transforming data,John M. Bland; Douglas G. Altman,article,bronze,https://www.bmj.com/content/bmj/312/7033/770.full.pdf,https://www.bmj.com/content/bmj/312/7033/770.full.pdf,https://doi.org/10.1136/bmj.312.7033.770
The BMJ,bmj_v312_i7038,1996,312,7038,10.1136/bmj.312.7038.1079,PMC2350916,https://openalex.org/W146893853,"Statistics notes: Transformations, means, and confidence intervals: Fig 1",John M. Bland; Douglas G Altman,article,bronze,https://www.bmj.com/content/bmj/312/7038/1079.full.pdf,https://www.bmj.com/content/bmj/312/7038/1079.full.pdf,https://doi.org/10.1136/bmj.312.7038.1079
The BMJ,bmj_v312_i7039,1996,312,7039,10.1136/bmj.312.7039.1153,PMC2350653,https://openalex.org/W1528229609,Statistics Notes: The use of transformation when comparing two means,John M. Bland; Douglas G. Altman,article,bronze,https://www.bmj.com/content/bmj/312/7039/1153.full.pdf,https://www.bmj.com/content/bmj/312/7039/1153.full.pdf,https://doi.org/10.1136/bmj.312.7039.1153
The BMJ,bmj_v312_i7044,1996,312,7044,10.1136/bmj.312.7044.1472,PMC2351202,https://openalex.org/W1583849730,Statistics Notes: Comparing several groups using analysis of variance,Doug Altman; Martin Bland,article,bronze,https://www.bmj.com/content/bmj/312/7044/1472.full.pdf,https://www.bmj.com/content/bmj/312/7044/1472.full.pdf,https://doi.org/10.1136/bmj.312.7044.1472
The BMJ,bmj_v313_i7049,1996,313,7049,10.1136/bmj.313.7049.106,PMC2351517,https://openalex.org/W141585252,Statistics Notes: Measurement error proportional to the mean,Martin Bland; Douglas G. Altman,article,bronze,https://www.bmj.com/content/bmj/313/7049/106.full.pdf,https://www.bmj.com/content/bmj/313/7049/106.full.pdf,https://doi.org/10.1136/bmj.313.7049.106
The BMJ,bmj_v313_i7055,1996,313,7055,10.1136/bmj.313.7055.486,PMC2351874,https://openalex.org/W2064844057,Statistics Notes: Interaction 1: heterogeneity of effects,D G Altman; J. N. S. Matthews,article,bronze,https://www.bmj.com/content/bmj/313/7055/486.full.pdf,https://www.bmj.com/content/bmj/313/7055/486.full.pdf,https://doi.org/10.1136/bmj.313.7055.486
The BMJ,bmj_v313_i7060,1996,313,7060,10.1136/bmj.313.7060.808,PMC2352195,https://openalex.org/W2025837572,Statistics Notes: Interaction 2: compare effect sizes not P values,J. N. S. Matthews; Douglas G. Altman,article,bronze,https://www.bmj.com/content/bmj/313/7060/808.full.pdf,https://www.bmj.com/content/bmj/313/7060/808.full.pdf,https://doi.org/10.1136/bmj.313.7060.808
The BMJ,bmj_v313_i7061,1996,313,7061,10.1136/bmj.313.7061.862,PMC2359064,https://openalex.org/W1886252892,Statistics notes: Interaction 3: How to examine heterogeneity: Table 1,J. N. S. Matthews; Douglas G. Altman,article,bronze,https://www.bmj.com/content/bmj/313/7061/862.full.pdf,https://www.bmj.com/content/bmj/313/7061/862.full.pdf,https://doi.org/10.1136/bmj.313.7061.862
The BMJ,bmj_v313_i7066,1996,313,7066,10.1136/bmj.313.7066.1200,PMC2352469,https://openalex.org/W1591259115,Statistics Notes: Detecting skewness from summary information: Table 1,Douglas G. Altman; Martin Bland,article,bronze,https://www.bmj.com/content/bmj/313/7066/1200.1.full.pdf,https://www.bmj.com/content/bmj/313/7066/1200.1.full.pdf,https://doi.org/10.1136/bmj.313.7066.1200
