source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
The BMJ,bmj_v312_i7030,journal_issue,1996,312,7030,1,
The BMJ,bmj_v312_i7033,journal_issue,1996,312,7033,1,
The BMJ,bmj_v312_i7038,journal_issue,1996,312,7038,1,
The BMJ,bmj_v312_i7039,journal_issue,1996,312,7039,1,
The BMJ,bmj_v312_i7044,journal_issue,1996,312,7044,1,
The BMJ,bmj_v313_i7049,journal_issue,1996,313,7049,1,
The BMJ,bmj_v313_i7055,journal_issue,1996,313,7055,1,
The BMJ,bmj_v313_i7060,journal_issue,1996,313,7060,1,
The BMJ,bmj_v313_i7061,journal_issue,1996,313,7061,1,
The BMJ,bmj_v313_i7066,journal_issue,1996,313,7066,1,
The BMJ,bmj_v314_i7080,journal_issue,1997,314,7080,1,
The BMJ,bmj_v316_i7124,journal_issue,1998,316,7124,6,
The BMJ,bmj_v316_i7125,journal_issue,1998,316,7125,5,
The BMJ,bmj_v316_i7126,journal_issue,1998,316,7126,9,
The BMJ,bmj_v316_i7127,journal_issue,1998,316,7127,10,
The BMJ,bmj_v316_i7128,journal_issue,1998,316,7128,6,
The BMJ,bmj_v316_i7129,journal_issue,1998,316,7129,10,
The BMJ,bmj_v316_i7130,journal_issue,1998,316,7130,6,
The BMJ,bmj_v316_i7131,journal_issue,1998,316,7131,8,
The BMJ,bmj_v316_i7132,journal_issue,1998,316,7132,10,
The BMJ,bmj_v316_i7133,journal_issue,1998,316,7133,6,
The BMJ,bmj_v316_i7134,journal_issue,1998,316,7134,9,
The BMJ,bmj_v316_i7135,journal_issue,1998,316,7135,7,
The BMJ,bmj_v316_i7136,journal_issue,1998,316,7136,4,
The BMJ,bmj_v316_i7137,journal_issue,1998,316,7137,7,
The BMJ,bmj_v316_i7138,journal_issue,1998,316,7138,5,
The BMJ,bmj_v316_i7139,journal_issue,1998,316,7139,7,
The BMJ,bmj_v316_i7140,journal_issue,1998,316,7140,4,
The BMJ,bmj_v316_i7141,journal_issue,1998,316,7141,7,
The BMJ,bmj_v316_i7142,journal_issue,1998,316,7142,8,
The BMJ,bmj_v316_i7143,journal_issue,1998,316,7143,10,
The BMJ,bmj_v316_i7144,journal_issue,1998,316,7144,4,
The BMJ,bmj_v316_i7145,journal_issue,1998,316,7145,7,
The BMJ,bmj_v316_i7146,journal_issue,1998,316,7146,10,
The BMJ,bmj_v316_i7147,journal_issue,1998,316,7147,6,
The BMJ,bmj_v316_i7148,journal_issue,1998,316,7148,8,
The BMJ,bmj_v316_i7149,journal_issue,1998,316,7149,8,
The BMJ,bmj_v317_i7150,journal_issue,1998,317,7150,6,
The BMJ,bmj_v317_i7151,journal_issue,1998,317,7151,8,
