unit_id,unit_type,year,date,unit_label,unit_url
chemical_science_2015,journal_issue_or_year,2015,2015-01-01,year 2015,https://www.escholar.manchester.ac.uk/uk-ac-man-scw:282809
chemical_science_2015_v6_i10,journal_issue_or_year,2015,2015-01-01,"vol. 6, issue 10",https://doi.org/10.1039/c5sc02185e
chemical_science_2015_v6_i11,journal_issue_or_year,2015,2015-01-01,"vol. 6, issue 11",https://doi.org/10.1039/c5sc02417j
chemical_science_2015_v6_i12,journal_issue_or_year,2015,2015-01-01,"vol. 6, issue 12",https://doi.org/10.1039/c5sc02050f
chemical_science_2015_v6_i3,journal_issue_or_year,2015,2015-01-01,"vol. 6, issue 3",https://doi.org/10.1039/c4sc03217a
chemical_science_2015_v6_i4,journal_issue_or_year,2015,2015-01-01,"vol. 6, issue 4",https://doi.org/10.1039/c4sc03372h
chemical_science_2015_v6_i5,journal_issue_or_year,2015,2015-01-01,"vol. 6, issue 5",https://doi.org/10.1039/c5sc00466g
chemical_science_2015_v6_i6,journal_issue_or_year,2015,2015-01-01,"vol. 6, issue 6",https://doi.org/10.1039/c5sc00961h
chemical_science_2015_v6_i7,journal_issue_or_year,2015,2015-01-01,"vol. 6, issue 7",https://doi.org/10.1039/c5sc00512d
chemical_science_2015_v6_i8,journal_issue_or_year,2015,2015-01-01,"vol. 6, issue 8",https://doi.org/10.1039/c5sc00253b
chemical_science_2015_v6_i9,journal_issue_or_year,2015,2015-01-01,"vol. 6, issue 9",https://doi.org/10.1039/c5sc00792e
chemical_science_2015_v7_i1,journal_issue_or_year,2015,2015-09-14,"vol. 7, issue 1",https://doi.org/10.1039/c5sc03187g
chemical_science_2015_v7_i2,journal_issue_or_year,2015,2015-06-05,"vol. 7, issue 2",https://doi.org/10.1039/c5sc01386k
chemical_science_2015_v7_i3,journal_issue_or_year,2015,2015-10-27,"vol. 7, issue 3",https://doi.org/10.1039/c5sc03234b
chemical_science_2015_v7_i4,journal_issue_or_year,2015,2015-12-15,"vol. 7, issue 4",https://doi.org/10.1039/c5sc03569d
chemical_science_2015_v8_i9,journal_issue_or_year,2015,2015-11-02,"vol. 8, issue 9",https://doi.org/10.1039/c5sc03739e
chemical_science_2016,journal_issue_or_year,2016,2016-06-28,year 2016,https://www.omicsonline.org/2150-3494/2150-3494.C1.002_005.pdf
chemical_science_2016_v7_i10,journal_issue_or_year,2016,2016-01-01,"vol. 7, issue 10",https://doi.org/10.1039/c6sc00836d
chemical_science_2016_v7_i11,journal_issue_or_year,2016,2016-01-01,"vol. 7, issue 11",https://doi.org/10.1039/c6sc03457h
chemical_science_2016_v7_i12,journal_issue_or_year,2016,2016-01-01,"vol. 7, issue 12",https://doi.org/10.1039/c6sc01438k
chemical_science_2016_v7_i3,journal_issue_or_year,2016,2016-01-01,"vol. 7, issue 3",https://doi.org/10.1039/c5sc04425a
chemical_science_2016_v7_i4,journal_issue_or_year,2016,2016-01-01,"vol. 7, issue 4",https://doi.org/10.1039/c5sc04015a
chemical_science_2016_v7_i5,journal_issue_or_year,2016,2016-01-01,"vol. 7, issue 5",https://doi.org/10.1039/c5sc04572j
chemical_science_2016_v7_i6,journal_issue_or_year,2016,2016-01-01,"vol. 7, issue 6",https://doi.org/10.1039/c5sc04826e
chemical_science_2016_v7_i7,journal_issue_or_year,2016,2016-01-01,"vol. 7, issue 7",https://doi.org/10.1039/c5sc04845a
chemical_science_2016_v7_i8,journal_issue_or_year,2016,2016-01-01,"vol. 7, issue 8",https://doi.org/10.1039/c6sc00705h
chemical_science_2016_v7_i9,journal_issue_or_year,2016,2016-01-01,"vol. 7, issue 9",https://doi.org/10.1039/c6sc02105k
chemical_science_2016_v8_i1,journal_issue_or_year,2016,2016-07-29,"vol. 8, issue 1",https://doi.org/10.1039/c6sc02243j
chemical_science_2016_v8_i2,journal_issue_or_year,2016,2016-08-31,"vol. 8, issue 2",https://doi.org/10.1039/c6sc02895k
chemical_science_2016_v8_i3,journal_issue_or_year,2016,2016-10-26,"vol. 8, issue 3",https://doi.org/10.1039/c6sc04478f
chemical_science_2016_v8_i4,journal_issue_or_year,2016,2016-12-16,"vol. 8, issue 4",https://doi.org/10.1039/c6sc04474c
chemical_science_2017_v8_i10,journal_issue_or_year,2017,2017-01-01,"vol. 8, issue 10",https://doi.org/10.1039/c7sc01316g
chemical_science_2017_v8_i11,journal_issue_or_year,2017,2017-01-01,"vol. 8, issue 11",https://doi.org/10.1039/c7sc03308g
chemical_science_2017_v8_i12,journal_issue_or_year,2017,2017-01-01,"vol. 8, issue 12",https://doi.org/10.1039/c7sc04098a
chemical_science_2017_v8_i3,journal_issue_or_year,2017,2017-01-01,"vol. 8, issue 3",https://doi.org/10.1039/c6sc04287b
chemical_science_2017_v8_i4,journal_issue_or_year,2017,2017-01-01,"vol. 8, issue 4",https://doi.org/10.1039/c6sc05720a
chemical_science_2017_v8_i5,journal_issue_or_year,2017,2017-01-01,"vol. 8, issue 5",https://doi.org/10.1039/c7sc00363c
chemical_science_2017_v8_i6,journal_issue_or_year,2017,2017-01-01,"vol. 8, issue 6",https://doi.org/10.1039/c7sc01590a
chemical_science_2017_v8_i7,journal_issue_or_year,2017,2017-01-01,"vol. 8, issue 7",https://doi.org/10.1039/c7sc01247k
chemical_science_2017_v8_i8,journal_issue_or_year,2017,2017-01-01,"vol. 8, issue 8",https://doi.org/10.1039/c7sc01400g
chemical_science_2017_v8_i9,journal_issue_or_year,2017,2017-01-01,"vol. 8, issue 9",https://doi.org/10.1039/c7sc02545a
chemical_science_2017_v9_i1,journal_issue_or_year,2017,2017-08-14,"vol. 9, issue 1",https://doi.org/10.1039/c7sc02747h
chemical_science_2017_v9_i2,journal_issue_or_year,2017,2017-10-20,"vol. 9, issue 2",https://doi.org/10.1039/c7sc04007e
chemical_science_2017_v9_i3,journal_issue_or_year,2017,2017-10-24,"vol. 9, issue 3",https://doi.org/10.1039/c7sc03764c
chemical_science_2017_v9_i4,journal_issue_or_year,2017,2017-11-10,"vol. 9, issue 4",https://doi.org/10.1039/c7sc03161k
chemical_science_2017_v9_i5,journal_issue_or_year,2017,2017-11-28,"vol. 9, issue 5",https://doi.org/10.1039/c7sc04604a
chemical_science_2017_v9_i6,journal_issue_or_year,2017,2017-11-27,"vol. 9, issue 6",https://doi.org/10.1039/c7sc04476c
chemical_science_2017_v9_i7,journal_issue_or_year,2017,2017-11-30,"vol. 9, issue 7",https://doi.org/10.1039/c7sc04884j
chemical_science_2017_v9_i8,journal_issue_or_year,2017,2017-12-04,"vol. 9, issue 8",https://doi.org/10.1039/c7sc04205a
chemical_science_2017_v9_i9,journal_issue_or_year,2017,2017-12-19,"vol. 9, issue 9",https://doi.org/10.1039/c7sc04328g
chemical_science_2018_v10_i1,journal_issue_or_year,2018,2018-10-02,"vol. 10, issue 1",https://doi.org/10.1039/c8sc03135e
chemical_science_2018_v10_i2,journal_issue_or_year,2018,2018-10-09,"vol. 10, issue 2",https://doi.org/10.1039/c8sc02995d
chemical_science_2018_v10_i3,journal_issue_or_year,2018,2018-10-22,"vol. 10, issue 3",https://doi.org/10.1039/c8sc03860k
chemical_science_2018_v10_i4,journal_issue_or_year,2018,2018-10-23,"vol. 10, issue 4",https://doi.org/10.1039/c8sc04255a
chemical_science_2018_v10_i5,journal_issue_or_year,2018,2018-10-29,"vol. 10, issue 5",https://doi.org/10.1039/c8sc01128a
chemical_science_2018_v10_i6,journal_issue_or_year,2018,2018-11-05,"vol. 10, issue 6",https://doi.org/10.1039/c8sc04384a
chemical_science_2018_v10_i7,journal_issue_or_year,2018,2018-12-04,"vol. 10, issue 7",https://doi.org/10.1039/c8sc05104f
chemical_science_2018_v10_i8,journal_issue_or_year,2018,2018-12-20,"vol. 10, issue 8",https://doi.org/10.1039/c8sc04641g
chemical_science_2018_v10_i9,journal_issue_or_year,2018,2018-12-21,"vol. 10, issue 9",https://doi.org/10.1039/c8sc05538f
chemical_science_2018_v9_i10,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 10",https://doi.org/10.1039/c7sc05484j
chemical_science_2018_v9_i11,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 11",https://doi.org/10.1039/c7sc04682k
chemical_science_2018_v9_i12,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 12",https://doi.org/10.1039/c7sc05296k
chemical_science_2018_v9_i13,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 13",https://doi.org/10.1039/c8sc00049b
chemical_science_2018_v9_i14,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 14",https://doi.org/10.1039/c7sc05033j
chemical_science_2018_v9_i15,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 15",https://doi.org/10.1039/c7sc04963c
chemical_science_2018_v9_i16,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 16",https://doi.org/10.1039/c8sc00604k
chemical_science_2018_v9_i17,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 17",https://doi.org/10.1039/c7sc04815g
chemical_science_2018_v9_i18,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 18",https://doi.org/10.1039/c8sc00825f
chemical_science_2018_v9_i19,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 19",https://doi.org/10.1039/c8sc00961a
chemical_science_2018_v9_i20,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 20",https://doi.org/10.1039/c8sc00927a
chemical_science_2018_v9_i21,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 21",https://doi.org/10.1039/c8sc01454j
chemical_science_2018_v9_i22,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 22",https://doi.org/10.1039/c8sc01165f
chemical_science_2018_v9_i23,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 23",https://doi.org/10.1039/c8sc01828f
chemical_science_2018_v9_i24,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 24",https://doi.org/10.1039/c8sc01611a
chemical_science_2018_v9_i25,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 25",https://doi.org/10.1039/c8sc01709c
chemical_science_2018_v9_i26,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 26",https://doi.org/10.1039/c8sc01981a
chemical_science_2018_v9_i27,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 27",https://doi.org/10.1039/c8sc00731d
chemical_science_2018_v9_i28,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 28",https://doi.org/10.1039/c8sc01485j
chemical_science_2018_v9_i29,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 29",https://doi.org/10.1039/c8sc01848k
chemical_science_2018_v9_i30,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 30",https://doi.org/10.1039/c8sc02761g
chemical_science_2018_v9_i31,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 31",https://doi.org/10.1039/c8sc01635f
chemical_science_2018_v9_i32,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 32",https://doi.org/10.1039/c8sc00171e
chemical_science_2018_v9_i33,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 33",https://doi.org/10.1039/c8sc02015a
chemical_science_2018_v9_i34,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 34",https://doi.org/10.1039/c8sc02495b
chemical_science_2018_v9_i35,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 35",https://doi.org/10.1039/c8sc01949e
chemical_science_2018_v9_i36,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 36",https://doi.org/10.1039/c8sc02038h
chemical_science_2018_v9_i37,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 37",https://doi.org/10.1039/c8sc02397b
chemical_science_2018_v9_i38,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 38",https://doi.org/10.1039/c8sc02210k
chemical_science_2018_v9_i39,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 39",https://doi.org/10.1039/c8sc03302a
chemical_science_2018_v9_i40,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 40",https://doi.org/10.1039/c8sc02943a
chemical_science_2018_v9_i41,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 41",https://doi.org/10.1039/c8sc02774a
chemical_science_2018_v9_i42,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 42",https://doi.org/10.1039/c8sc03386b
chemical_science_2018_v9_i43,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 43",https://doi.org/10.1039/c8sc02981d
chemical_science_2018_v9_i44,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 44",https://doi.org/10.1039/c8sc03393e
chemical_science_2018_v9_i45,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 45",https://doi.org/10.1039/c8sc03907k
chemical_science_2018_v9_i46,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 46",https://doi.org/10.1039/c8sc03427c
chemical_science_2018_v9_i47,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 47",https://doi.org/10.1039/c8sc03732a
chemical_science_2018_v9_i48,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 48",https://doi.org/10.1039/c8sc03563f
chemical_science_2018_v9_i6,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 6",https://doi.org/10.1039/c7sc05295b
chemical_science_2018_v9_i7,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 7",https://doi.org/10.1039/c7sc04849a
chemical_science_2018_v9_i8,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 8",https://doi.org/10.1039/c7sc05115h
chemical_science_2018_v9_i9,journal_issue_or_year,2018,2018-01-01,"vol. 9, issue 9",https://doi.org/10.1039/c7sc04429a
chemical_science_2019,journal_issue_or_year,2019,2019-01-01,year 2019,http://www.diva-portal.org/smash/record.jsf?pid=diva2:1282438
chemical_science_2019_v10_i10,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 10",https://doi.org/10.1039/c8sc04991b
chemical_science_2019_v10_i11,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 11",https://doi.org/10.1039/c8sc05757e
chemical_science_2019_v10_i12,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 12",https://doi.org/10.1039/c8sc05805a
chemical_science_2019_v10_i13,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 13",https://doi.org/10.1039/c9sc00289h
chemical_science_2019_v10_i14,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 14",https://doi.org/10.1039/c8sc03911a
chemical_science_2019_v10_i15,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 15",https://doi.org/10.1039/c9sc00172g
chemical_science_2019_v10_i16,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 16",https://doi.org/10.1039/c9sc00691e
chemical_science_2019_v10_i17,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 17",https://doi.org/10.1039/c9sc00162j
chemical_science_2019_v10_i18,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 18",https://doi.org/10.1039/c8sc05060k
chemical_science_2019_v10_i19,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 19",https://doi.org/10.1039/c8sc05631e
chemical_science_2019_v10_i20,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 20",https://doi.org/10.1039/c9sc00663j
chemical_science_2019_v10_i21,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 21",https://doi.org/10.1039/c9sc01321k
chemical_science_2019_v10_i22,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 22",https://doi.org/10.1039/c9sc00747d
chemical_science_2019_v10_i23,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 23",https://doi.org/10.1039/c8sc04518f
chemical_science_2019_v10_i24,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 24",https://doi.org/10.1039/c9sc01331h
chemical_science_2019_v10_i25,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 25",https://doi.org/10.1039/c9sc01425j
chemical_science_2019_v10_i26,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 26",https://doi.org/10.1039/c9sc01960j
chemical_science_2019_v10_i27,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 27",https://doi.org/10.1039/c9sc01821b
chemical_science_2019_v10_i28,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 28",https://doi.org/10.1039/c9sc01577a
chemical_science_2019_v10_i29,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 29",https://doi.org/10.1039/c9sc01070j
chemical_science_2019_v10_i30,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 30",https://doi.org/10.1039/c9sc02093d
chemical_science_2019_v10_i31,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 31",https://doi.org/10.1039/c9sc02282a
chemical_science_2019_v10_i32,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 32",https://doi.org/10.1039/c9sc02274k
chemical_science_2019_v10_i33,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 33",https://doi.org/10.1039/c9sc02633a
chemical_science_2019_v10_i34,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 34",https://doi.org/10.1039/c9sc02218j
chemical_science_2019_v10_i35,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 35",https://doi.org/10.1039/c9sc02185j
chemical_science_2019_v10_i36,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 36",https://doi.org/10.1039/c9sc02601k
chemical_science_2019_v10_i37,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 37",https://doi.org/10.1039/c9sc03348c
chemical_science_2019_v10_i38,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 38",https://doi.org/10.1039/c9sc03052b
chemical_science_2019_v10_i39,journal_issue_or_year,2019,2019-01-01,"vol. 10, issue 39",https://doi.org/10.1039/c9sc03088c
