page_type,year,source_url,content_type,result_count,eligible_items_added_total,eligible_items_in_issue
issue_list,2010,https://pubs.rsc.org/en/journals/JournalIssuesForYear,text/html; charset=utf-8,6,,
issue,2010,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,20,13,13
issue,2010,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,19,26,13
issue,2010,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,20,40,14
issue,2010,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,22,56,16
issue,2010,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,23,72,16
issue,2010,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,22,87,15
issue_list,2011,https://pubs.rsc.org/en/journals/JournalIssuesForYear,text/html; charset=utf-8,12,,
issue,2011,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,27,106,19
issue,2011,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,32,132,26
issue,2011,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,31,157,25
issue,2011,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,38,187,30
issue,2011,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,33,213,26
issue,2011,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,34,239,26
issue,2011,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,32,265,26
issue,2011,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,26,285,20
issue,2011,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,41,318,33
issue,2011,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,27,339,21
issue,2011,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,32,365,26
issue,2011,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,28,384,19
issue_list,2012,https://pubs.rsc.org/en/journals/JournalIssuesForYear,text/html; charset=utf-8,12,,
issue,2012,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,32,409,25
issue,2012,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,36,439,30
issue,2012,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,34,468,29
issue,2012,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,34,497,29
issue,2012,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,35,526,29
issue,2012,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,35,554,28
issue,2012,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,65,612,58
issue,2012,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,52,657,45
issue,2012,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,58,707,50
issue,2012,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,42,742,35
issue,2012,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,49,782,40
issue,2012,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,39,813,31
issue_list,2013,https://pubs.rsc.org/en/journals/JournalIssuesForYear,text/html; charset=utf-8,12,,
issue,2013,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,31,837,24
issue,2013,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,35,865,28
issue,2013,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,44,902,37
issue,2013,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,58,952,50
issue,2013,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,53,996,44
issue,2013,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,40,1030,34
issue,2013,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,57,1079,49
issue,2013,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,46,1119,40
issue,2013,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,69,1181,62
issue,2013,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,67,1239,58
issue,2013,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,46,1278,39
issue,2013,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,70,1338,60
issue_list,2014,https://pubs.rsc.org/en/journals/JournalIssuesForYear,text/html; charset=utf-8,12,,
issue,2014,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,59,1392,54
issue,2014,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,54,1440,48
issue,2014,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,56,1490,50
issue,2014,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,45,1529,39
issue,2014,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,55,1577,48
issue,2014,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,46,1617,40
issue,2014,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,67,1677,60
issue,2014,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,56,1726,49
issue,2014,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,55,1774,48
issue,2014,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,51,1820,46
issue,2014,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,56,1870,50
issue,2014,https://pubs.rsc.org/en/journals/issues,text/html; charset=utf-8,57,1918,48
