source,unit_id,unit_type,year,unit_date,unit_label,unit_url,landing_page_url,source_url,title,summary,authors,oa_marker,pdf_url,doi,openalex_id,source_item_id,paper_type,venue_section,concepts,referenced_works_count,cited_by_count
Chemical Science,chemical_science_sc001001,official_journal_issue,2010,2010,"Issue 1, Page 1 to 140",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc001001,https://pubs.rsc.org/en/content/articlelanding/2010/sc/c0sc00165a,https://pubs.rsc.org/en/journals/issues,Cell surface -based differentiation of cell types and cancer states using a gold nanoparticle-GFP based sensing array,,,gold;source_known_oa;rsc_open_access,https://pubs.rsc.org/en/content/articlepdf/2010/sc/c0sc00165a?page=search,10.1039/c0sc00165a,,10.1039/c0sc00165a,Edge Article,RSC issue card type: Edge Article,,,
Chemical Science,chemical_science_sc001001,official_journal_issue,2010,2010,"Issue 1, Page 1 to 140",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc001001,https://pubs.rsc.org/en/content/articlelanding/2010/sc/c0sc00223b,https://pubs.rsc.org/en/journals/issues,Chiral pyridyl phosphinites with large aryl substituents as efficient ligands for the asymmetric iridium -catalyzed hydrogenation of difficult substrates,,,gold;source_known_oa;rsc_open_access,https://pubs.rsc.org/en/content/articlepdf/2010/sc/c0sc00223b?page=search,10.1039/c0sc00223b,,10.1039/c0sc00223b,Edge Article,RSC issue card type: Edge Article,,,
Chemical Science,chemical_science_sc001001,official_journal_issue,2010,2010,"Issue 1, Page 1 to 140",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc001001,https://pubs.rsc.org/en/content/articlelanding/2010/sc/c0sc00162g,https://pubs.rsc.org/en/journals/issues,Controlled rotary motion of light-driven molecular motors assembled on a gold film,,,gold;source_known_oa;rsc_open_access,https://pubs.rsc.org/en/content/articlepdf/2010/sc/c0sc00162g?page=search,10.1039/c0sc00162g,,10.1039/c0sc00162g,Edge Article,RSC issue card type: Edge Article,,,
Chemical Science,chemical_science_sc001001,official_journal_issue,2010,2010,"Issue 1, Page 1 to 140",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc001001,https://pubs.rsc.org/en/content/articlelanding/2010/sc/c0sc00105h,https://pubs.rsc.org/en/journals/issues,Definition of the uptake mechanism and sub- cellular localisation profile of emissive lanthanide complexes as cellular optical probes,,,gold;source_known_oa;rsc_open_access,https://pubs.rsc.org/en/content/articlepdf/2010/sc/c0sc00105h?page=search,10.1039/c0sc00105h,,10.1039/c0sc00105h,Edge Article,RSC issue card type: Edge Article,,,
Chemical Science,chemical_science_sc001001,official_journal_issue,2010,2010,"Issue 1, Page 1 to 140",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc001001,https://pubs.rsc.org/en/content/articlelanding/2010/sc/c0sc00197j,https://pubs.rsc.org/en/journals/issues,Discovery of an orexin receptor positive potentiator,,,gold;source_known_oa;rsc_open_access,https://pubs.rsc.org/en/content/articlepdf/2010/sc/c0sc00197j?page=search,10.1039/c0sc00197j,,10.1039/c0sc00197j,Edge Article,RSC issue card type: Edge Article,,,
Chemical Science,chemical_science_sc001001,official_journal_issue,2010,2010,"Issue 1, Page 1 to 140",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc001001,https://pubs.rsc.org/en/content/articlelanding/2010/sc/c0sc00176g,https://pubs.rsc.org/en/journals/issues,Enabling tetracationic cyclophane production by trading templates,,,gold;source_known_oa;rsc_open_access,https://pubs.rsc.org/en/content/articlepdf/2010/sc/c0sc00176g?page=search,10.1039/c0sc00176g,,10.1039/c0sc00176g,Edge Article,RSC issue card type: Edge Article,,,
Chemical Science,chemical_science_sc001001,official_journal_issue,2010,2010,"Issue 1, Page 1 to 140",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc001001,https://pubs.rsc.org/en/content/articlelanding/2010/sc/c0sc00116c,https://pubs.rsc.org/en/journals/issues,Encapsulation of the uranyl dication,,,gold;source_known_oa;rsc_open_access,https://pubs.rsc.org/en/content/articlepdf/2010/sc/c0sc00116c?page=search,10.1039/c0sc00116c,,10.1039/c0sc00116c,Edge Article,RSC issue card type: Edge Article,,,
Chemical Science,chemical_science_sc001001,official_journal_issue,2010,2010,"Issue 1, Page 1 to 140",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc001001,https://pubs.rsc.org/en/content/articlelanding/2010/sc/c0sc00186d,https://pubs.rsc.org/en/journals/issues,Enlarging the reactive cone of acceptance by exciting the C–H bond in the O( 3 P) + CHD 3 reaction,,,gold;source_known_oa;rsc_open_access,https://pubs.rsc.org/en/content/articlepdf/2010/sc/c0sc00186d?page=search,10.1039/c0sc00186d,,10.1039/c0sc00186d,Edge Article,RSC issue card type: Edge Article,,,
Chemical Science,chemical_science_sc001001,official_journal_issue,2010,2010,"Issue 1, Page 1 to 140",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc001001,https://pubs.rsc.org/en/content/articlelanding/2010/sc/c0sc00264j,https://pubs.rsc.org/en/journals/issues,Following the self assembly of supramolecular MOFs using X-ray crystallography and cryospray mass spectrometry,,,gold;source_known_oa;rsc_open_access,https://pubs.rsc.org/en/content/articlepdf/2010/sc/c0sc00264j?page=search,10.1039/c0sc00264j,,10.1039/c0sc00264j,Edge Article,RSC issue card type: Edge Article,,,
Chemical Science,chemical_science_sc001001,official_journal_issue,2010,2010,"Issue 1, Page 1 to 140",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc001001,https://pubs.rsc.org/en/content/articlelanding/2010/sc/c0sc00108b,https://pubs.rsc.org/en/journals/issues,Macrocyclization of enzyme -based supramolecular polymers,,,gold;source_known_oa;rsc_open_access,https://pubs.rsc.org/en/content/articlepdf/2010/sc/c0sc00108b?page=search,10.1039/c0sc00108b,,10.1039/c0sc00108b,Edge Article,RSC issue card type: Edge Article,,,
