unit_id,unit_type,year,date,unit_label,unit_url
chemical_science_sc006012,official_journal_issue,2015,2015,"Issue 12, Page 6681 to 7356",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc006012
chemical_science_sc006011,official_journal_issue,2015,2015,"Issue 11, Page 6025 to 6680",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc006011
chemical_science_sc006010,official_journal_issue,2015,2015,"Issue 10, Page 5313 to 6024",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc006010
chemical_science_sc006009,official_journal_issue,2015,2015,"Issue 9, Page 5095 to 5312",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc006009
chemical_science_sc006008,official_journal_issue,2015,2015,"Issue 8, Page 4377 to 5094",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc006008
chemical_science_sc006007,official_journal_issue,2015,2015,"Issue 7, Page 3637 to 4376",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc006007
chemical_science_sc006006,official_journal_issue,2015,2015,"Issue 6, Page 3273 to 3636",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc006006
chemical_science_sc006005,official_journal_issue,2015,2015,"Issue 5, Page 2627 to 3272",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc006005
chemical_science_sc006004,official_journal_issue,2015,2015,"Issue 4, Page 2125 to 2626",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc006004
chemical_science_sc006003,official_journal_issue,2015,2015,"Issue 3, Page 1593 to 2124",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc006003
chemical_science_sc006002,official_journal_issue,2015,2015,"Issue 2, Page 845 to 1592",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc006002
chemical_science_sc006001,official_journal_issue,2015,2015,"Issue 1, Page 1 to 844",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc006001
chemical_science_sc007012,official_journal_issue,2016,2016,"Issue 12, Page 6853 to 7108",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc007012
chemical_science_sc007011,official_journal_issue,2016,2016,"Issue 11, Page 6579 to 6852",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc007011
chemical_science_sc007010,official_journal_issue,2016,2016,"Issue 10, Page 6285 to 6578",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc007010
chemical_science_sc007009,official_journal_issue,2016,2016,"Issue 9, Page 5599 to 6284",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc007009
chemical_science_sc007008,official_journal_issue,2016,2016,"Issue 8, Page 4763 to 5598",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc007008
chemical_science_sc007007,official_journal_issue,2016,2016,"Issue 7, Page 3939 to 4762",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc007007
chemical_science_sc007006,official_journal_issue,2016,2016,"Issue 6, Page 3453 to 3938",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc007006
chemical_science_sc007005,official_journal_issue,2016,2016,"Issue 5, Page 2935 to 3452",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc007005
chemical_science_sc007004,official_journal_issue,2016,2016,"Issue 4, Page 2443 to 2934",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc007004
chemical_science_sc007003,official_journal_issue,2016,2016,"Issue 3, Page 1615 to 2442",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc007003
chemical_science_sc007002,official_journal_issue,2016,2016,"Issue 2, Page 813 to 1614",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc007002
chemical_science_sc007001,official_journal_issue,2016,2016,"Issue 1, Page 1 to 812",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc007001
chemical_science_sc008012,official_journal_issue,2017,2017,"Issue 12, Page 7883 to 8466",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc008012
chemical_science_sc008011,official_journal_issue,2017,2017,"Issue 11, Page 7271 to 7882",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc008011
chemical_science_sc008010,official_journal_issue,2017,2017,"Issue 10, Page 6695 to 7270",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc008010
chemical_science_sc008009,official_journal_issue,2017,2017,"Issue 9, Page 5807 to 6694",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc008009
chemical_science_sc008008,official_journal_issue,2017,2017,"Issue 8, Page 5219 to 5806",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc008008
chemical_science_sc008007,official_journal_issue,2017,2017,"Issue 7, Page 4669 to 5218",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc008007
chemical_science_sc008006,official_journal_issue,2017,2017,"Issue 6, Page 4139 to 4668",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc008006
chemical_science_sc008005,official_journal_issue,2017,2017,"Issue 5, Page 3281 to 4138",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc008005
chemical_science_sc008004,official_journal_issue,2017,2017,"Issue 4, Page 2467 to 3280",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc008004
chemical_science_sc008003,official_journal_issue,2017,2017,"Issue 3, Page 1671 to 2466",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc008003
chemical_science_sc008002,official_journal_issue,2017,2017,"Issue 2, Page 811 to 1670",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc008002
chemical_science_sc008001,official_journal_issue,2017,2017,"Issue 1, Page 1 to 810",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc008001
chemical_science_sc009048,official_journal_issue,2018,2018,"Issue 48, Page 8897 to 9028",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009048
chemical_science_sc009047,official_journal_issue,2018,2018,"Issue 47, Page 8767 to 8896",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009047
chemical_science_sc009046,official_journal_issue,2018,2018,"Issue 46, Page 8623 to 8766",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009046
chemical_science_sc009045,official_journal_issue,2018,2018,"Issue 45, Page 8465 to 8622",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009045
chemical_science_sc009044,official_journal_issue,2018,2018,"Issue 44, Page 8317 to 8464",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009044
chemical_science_sc009043,official_journal_issue,2018,2018,"Issue 43, Page 8163 to 8316",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009043
chemical_science_sc009042,official_journal_issue,2018,2018,"Issue 42, Page 8027 to 8162",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009042
chemical_science_sc009041,official_journal_issue,2018,2018,"Issue 41, Page 7885 to 8026",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009041
chemical_science_sc009040,official_journal_issue,2018,2018,"Issue 40, Page 7719 to 7884",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009040
chemical_science_sc009039,official_journal_issue,2018,2018,"Issue 39, Page 7577 to 7718",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009039
chemical_science_sc009038,official_journal_issue,2018,2018,"Issue 38, Page 7429 to 7576",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009038
chemical_science_sc009037,official_journal_issue,2018,2018,"Issue 37, Page 7289 to 7428",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009037
chemical_science_sc009036,official_journal_issue,2018,2018,"Issue 36, Page 7161 to 7288",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009036
chemical_science_sc009035,official_journal_issue,2018,2018,"Issue 35, Page 7019 to 7160",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009035
chemical_science_sc009034,official_journal_issue,2018,2018,"Issue 34, Page 6885 to 7018",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009034
chemical_science_sc009033,official_journal_issue,2018,2018,"Issue 33, Page 6741 to 6884",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009033
chemical_science_sc009032,official_journal_issue,2018,2018,"Issue 32, Page 6591 to 6740",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009032
chemical_science_sc009031,official_journal_issue,2018,2018,"Issue 31, Page 6455 to 6590",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009031
chemical_science_sc009030,official_journal_issue,2018,2018,"Issue 30, Page 6317 to 6454",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009030
chemical_science_sc009029,official_journal_issue,2018,2018,"Issue 29, Page 6159 to 6316",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009029
chemical_science_sc009028,official_journal_issue,2018,2018,"Issue 28, Page 6009 to 6158",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009028
chemical_science_sc009027,official_journal_issue,2018,2018,"Issue 27, Page 5863 to 6008",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009027
chemical_science_sc009026,official_journal_issue,2018,2018,"Issue 26, Page 5691 to 5862",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009026
chemical_science_sc009025,official_journal_issue,2018,2018,"Issue 25, Page 5497 to 5690",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009025
chemical_science_sc009024,official_journal_issue,2018,2018,"Issue 24, Page 5303 to 5496",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009024
chemical_science_sc009023,official_journal_issue,2018,2018,"Issue 23, Page 5123 to 5302",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009023
chemical_science_sc009022,official_journal_issue,2018,2018,"Issue 22, Page 4921 to 5122",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009022
chemical_science_sc009021,official_journal_issue,2018,2018,"Issue 21, Page 4721 to 4920",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009021
chemical_science_sc009020,official_journal_issue,2018,2018,"Issue 20, Page 4537 to 4720",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009020
chemical_science_sc009019,official_journal_issue,2018,2018,"Issue 19, Page 4361 to 4536",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009019
chemical_science_sc009018,official_journal_issue,2018,2018,"Issue 18, Page 4193 to 4360",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009018
chemical_science_sc009017,official_journal_issue,2018,2018,"Issue 17, Page 4019 to 4192",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009017
chemical_science_sc009016,official_journal_issue,2018,2018,"Issue 16, Page 3897 to 4018",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009016
chemical_science_sc009015,official_journal_issue,2018,2018,"Issue 15, Page 3611 to 3896",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009015
chemical_science_sc009014,official_journal_issue,2018,2018,"Issue 14, Page 3411 to 3610",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009014
chemical_science_sc009013,official_journal_issue,2018,2018,"Issue 13, Page 3257 to 3410",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009013
chemical_science_sc009012,official_journal_issue,2018,2018,"Issue 12, Page 3071 to 3256",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009012
chemical_science_sc009011,official_journal_issue,2018,2018,"Issue 11, Page 2853 to 3070",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009011
chemical_science_sc009010,official_journal_issue,2018,2018,"Issue 10, Page 2635 to 2852",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009010
chemical_science_sc009009,official_journal_issue,2018,2018,"Issue 9, Page 2387 to 2634",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009009
chemical_science_sc009008,official_journal_issue,2018,2018,"Issue 8, Page 2015 to 2386",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009008
chemical_science_sc009007,official_journal_issue,2018,2018,"Issue 7, Page 1705 to 2014",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009007
chemical_science_sc009006,official_journal_issue,2018,2018,"Issue 6, Page 1395 to 1704",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009006
chemical_science_sc009005,official_journal_issue,2018,2018,"Issue 5, Page 1075 to 1394",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009005
chemical_science_sc009004,official_journal_issue,2018,2018,"Issue 4, Page 779 to 1074",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009004
chemical_science_sc009003,official_journal_issue,2018,2018,"Issue 3, Page 535 to 778",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009003
chemical_science_sc009002,official_journal_issue,2018,2018,"Issue 2, Page 269 to 534",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009002
chemical_science_sc009001,official_journal_issue,2018,2018,"Issue 1, Page 1 to 268",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc009001
chemical_science_sc010048,official_journal_issue,2019,2019,"Issue 48, Page 10965 to 11148",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010048
chemical_science_sc010047,official_journal_issue,2019,2019,"Issue 47, Page 10825 to 10964",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010047
chemical_science_sc010046,official_journal_issue,2019,2019,"Issue 46, Page 10657 to 10824",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010046
chemical_science_sc010045,official_journal_issue,2019,2019,"Issue 45, Page 10449 to 10656",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010045
chemical_science_sc010044,official_journal_issue,2019,2019,"Issue 44, Page 10197 to 10448",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010044
chemical_science_sc010043,official_journal_issue,2019,2019,"Issue 43, Page 9895 to 10196",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010043
chemical_science_sc010042,official_journal_issue,2019,2019,"Issue 42, Page 9615 to 9894",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010042
chemical_science_sc010041,official_journal_issue,2019,2019,"Issue 41, Page 9385 to 9614",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010041
chemical_science_sc010040,official_journal_issue,2019,2019,"Issue 40, Page 9155 to 9384",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010040
chemical_science_sc010039,official_journal_issue,2019,2019,"Issue 39, Page 8897 to 9154",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010039
chemical_science_sc010038,official_journal_issue,2019,2019,"Issue 38, Page 8715 to 8896",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010038
chemical_science_sc010037,official_journal_issue,2019,2019,"Issue 37, Page 8493 to 8714",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010037
chemical_science_sc010036,official_journal_issue,2019,2019,"Issue 36, Page 8275 to 8492",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010036
chemical_science_sc010035,official_journal_issue,2019,2019,"Issue 35, Page 8049 to 8274",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010035
chemical_science_sc010034,official_journal_issue,2019,2019,"Issue 34, Page 7825 to 8048",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010034
chemical_science_sc010033,official_journal_issue,2019,2019,"Issue 33, Page 7661 to 7824",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010033
chemical_science_sc010032,official_journal_issue,2019,2019,"Issue 32, Page 7475 to 7660",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010032
chemical_science_sc010031,official_journal_issue,2019,2019,"Issue 31, Page 7301 to 7474",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010031
chemical_science_sc010030,official_journal_issue,2019,2019,"Issue 30, Page 7123 to 7300",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010030
chemical_science_sc010029,official_journal_issue,2019,2019,"Issue 29, Page 6923 to 7122",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010029
chemical_science_sc010028,official_journal_issue,2019,2019,"Issue 28, Page 6739 to 6922",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010028
chemical_science_sc010027,official_journal_issue,2019,2019,"Issue 27, Page 6575 to 6738",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010027
chemical_science_sc010026,official_journal_issue,2019,2019,"Issue 26, Page 6395 to 6574",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010026
chemical_science_sc010025,official_journal_issue,2019,2019,"Issue 25, Page 6223 to 6394",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010025
chemical_science_sc010024,official_journal_issue,2019,2019,"Issue 24, Page 6015 to 6222",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010024
chemical_science_sc010023,official_journal_issue,2019,2019,"Issue 23, Page 5855 to 6014",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010023
chemical_science_sc010022,official_journal_issue,2019,2019,"Issue 22, Page 5645 to 5854",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010022
chemical_science_sc010021,official_journal_issue,2019,2019,"Issue 21, Page 5425 to 5644",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010021
chemical_science_sc010020,official_journal_issue,2019,2019,"Issue 20, Page 5187 to 5424",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010020
chemical_science_sc010019,official_journal_issue,2019,2019,"Issue 19, Page 4933 to 5186",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010019
chemical_science_sc010018,official_journal_issue,2019,2019,"Issue 18, Page 4717 to 4932",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010018
chemical_science_sc010017,official_journal_issue,2019,2019,"Issue 17, Page 4533 to 4716",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010017
chemical_science_sc010016,official_journal_issue,2019,2019,"Issue 16, Page 4355 to 4532",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010016
chemical_science_sc010015,official_journal_issue,2019,2019,"Issue 15, Page 4119 to 4354",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010015
chemical_science_sc010014,official_journal_issue,2019,2019,"Issue 14, Page 3895 to 4118",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010014
chemical_science_sc010013,official_journal_issue,2019,2019,"Issue 13, Page 3691 to 3894",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010013
chemical_science_sc010012,official_journal_issue,2019,2019,"Issue 12, Page 3437 to 3690",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010012
chemical_science_sc010011,official_journal_issue,2019,2019,"Issue 11, Page 3147 to 3436",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010011
chemical_science_sc010010,official_journal_issue,2019,2019,"Issue 10, Page 2847 to 3146",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010010
chemical_science_sc010009,official_journal_issue,2019,2019,"Issue 9, Page 2553 to 2846",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010009
chemical_science_sc010008,official_journal_issue,2019,2019,"Issue 8, Page 2239 to 2552",https://pubs.rsc.org/en/journals/journal/sc?issueid=sc010008
