source,archive_page_type,year,volume,page_url
Cognition,openalex_year_slice,1993,,"https://api.openalex.org/works?filter=primary_location.source.id:S88198767,publication_year:1993"
Cognition,openalex_year_slice,1994,,"https://api.openalex.org/works?filter=primary_location.source.id:S88198767,publication_year:1994"
Cognition,openalex_year_slice,1995,,"https://api.openalex.org/works?filter=primary_location.source.id:S88198767,publication_year:1995"
Cognition,openalex_year_slice,1996,,"https://api.openalex.org/works?filter=primary_location.source.id:S88198767,publication_year:1996"
Cognition,openalex_year_slice,1997,,"https://api.openalex.org/works?filter=primary_location.source.id:S88198767,publication_year:1997"
Cognition,openalex_year_slice,1999,,"https://api.openalex.org/works?filter=primary_location.source.id:S88198767,publication_year:1999"
Cognition,openalex_year_slice,2000,,"https://api.openalex.org/works?filter=primary_location.source.id:S88198767,publication_year:2000"
Cognition,openalex_year_slice,2002,,"https://api.openalex.org/works?filter=primary_location.source.id:S88198767,publication_year:2002"
Cognition,openalex_year_slice,2003,,"https://api.openalex.org/works?filter=primary_location.source.id:S88198767,publication_year:2003"
Cognition,openalex_year_slice,2004,,"https://api.openalex.org/works?filter=primary_location.source.id:S88198767,publication_year:2004"
