source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
Cognition,cognition_v49_i1-2,1993,49,1-2,10.1016/0010-0277(93)90036-u,,https://openalex.org/W2161886519,"Similarity, plausibility, and judgments of probability",E. E. SMITH,article,bronze,https://www.sciencedirect.com/science/article/pii/001002779390036U,https://www.sciencedirect.com/science/article/pii/001002779390036U,https://doi.org/10.1016/0010-0277(93)90036-u
Cognition,cognition_v50_i1-3,1994,50,1-3,10.1016/0010-0277(94)90021-3,,https://openalex.org/W2122488904,The perception of rhythm in language,Anne Cutler,article,bronze,https://www.sciencedirect.com/science/article/pii/0010027794900213,https://www.sciencedirect.com/science/article/pii/0010027794900213,https://doi.org/10.1016/0010-0277(94)90021-3
Cognition,cognition_v51_i3,1994,51,3,10.1016/0010-0277(94)90054-x,,https://openalex.org/W2000712317,Repetition blindness between visually different items: the case of pictures and words,Daphné Bavelier,article,bronze,https://www.sciencedirect.com/science/article/pii/001002779490054X,https://www.sciencedirect.com/science/article/pii/001002779490054X,https://doi.org/10.1016/0010-0277(94)90054-x
Cognition,cognition_v55_i2,1995,55,2,10.1016/0010-0277(94)00657-7,,https://openalex.org/W2083158273,Processing discontinuous lexical items: a reply to Frazier,Gerard Kempen,article,bronze,https://www.sciencedirect.com/science/article/pii/0010027794006577,https://www.sciencedirect.com/science/article/pii/0010027794006577,https://doi.org/10.1016/0010-0277(94)00657-7
Cognition,cognition_v57_i2,1995,57,2,10.1016/0010-0277(95)00692-r,,https://openalex.org/W2048517502,Other minds in the brain: a functional imaging study of “theory of mind” in story comprehension,Paul C. Fletcher,article,bronze,https://www.sciencedirect.com/science/article/pii/001002779500692R,https://www.sciencedirect.com/science/article/pii/001002779500692R,https://doi.org/10.1016/0010-0277(95)00692-r
Cognition,cognition_v59_i2,1996,59,2,10.1016/0010-0277(95)00704-0,,https://openalex.org/W2114066201,The language user as an arithmetician,Thijs Pollmann; Carel Jansen,article,bronze,https://www.sciencedirect.com/science/article/pii/0010027795007040,https://www.sciencedirect.com/science/article/pii/0010027795007040,https://doi.org/10.1016/0010-0277(95)00704-0
Cognition,cognition_v63_i3,1997,63,3,10.1016/s0010-0277(97)00009-7,,https://openalex.org/W2048092588,About the influence of the presentation format on arithmetical-fact retrieval processes,Marie‐Pascale Noël; Wim Fias; Marc Brysbaert,article,bronze,https://www.sciencedirect.com/science/article/pii/S0010027797000097,https://www.sciencedirect.com/science/article/pii/S0010027797000097,https://doi.org/10.1016/s0010-0277(97)00009-7
Cognition,cognition_v69_i3,1999,69,3,10.1016/s0010-0277(98)00073-0,,https://openalex.org/W2115529669,Lexical access in the production of pronouns,B. Schmitt; Antje S. Meyer; Willem J. M. Levelt,article,bronze,https://www.sciencedirect.com/science/article/pii/S0010027798000730,https://www.sciencedirect.com/science/article/pii/S0010027798000730,https://doi.org/10.1016/s0010-0277(98)00073-0
Cognition,cognition_v73_i1,1999,73,1,10.1016/s0010-0277(99)00049-9,,https://openalex.org/W2017780737,Unconscious semantic priming from pictures,Roberto Dell’Acqua; Jonathan Grainger,article,bronze,https://www.sciencedirect.com/science/article/pii/S0010027799000499,https://www.sciencedirect.com/science/article/pii/S0010027799000499,https://doi.org/10.1016/s0010-0277(99)00049-9
Cognition,cognition_v76_i2,2000,76,2,10.1016/s0010-0277(00)00081-0,,https://openalex.org/W2153130928,Spoken word recognition and lexical representation in very young children,Daniel Swingley; Richard Ν. Aslin,article,bronze,https://www.sciencedirect.com/science/article/pii/S0010027700000810,https://www.sciencedirect.com/science/article/pii/S0010027700000810,https://doi.org/10.1016/s0010-0277(00)00081-0
Cognition,cognition_v83_i1,2002,83,1,10.1016/s0010-0277(01)00163-9,,https://openalex.org/W2112414411,Multisensory spatial representations in eye-centered coordinates for reaching,Alexandre Pouget,article,bronze,https://www.sciencedirect.com/science/article/pii/S0010027701001639,https://www.sciencedirect.com/science/article/pii/S0010027701001639,https://doi.org/10.1016/s0010-0277(01)00163-9
Cognition,cognition_v84_i2,2002,84,2,10.1016/s0010-0277(02)00045-8,,https://openalex.org/W2141799487,Returning the tables: language affects spatial reasoning,Stephen C. Levinson; Sotaro Kita; Daniel B. M. Haun; Björn Rasch,article,bronze,https://www.sciencedirect.com/science/article/pii/S0010027702000458,https://www.sciencedirect.com/science/article/pii/S0010027702000458,https://doi.org/10.1016/s0010-0277(02)00045-8
Cognition,cognition_v85_i2,2002,85,2,10.1016/s0010-0277(02)00076-8,,https://openalex.org/W2134455908,Grammar overrides frequency: evidence from the online processing of flexible word order,Ina Bornkessel‐Schlesewsky; Matthias Schlesewsky; Angela D. Friederici,article,bronze,https://www.sciencedirect.com/science/article/pii/S0010027702000768,https://www.sciencedirect.com/science/article/pii/S0010027702000768,https://doi.org/10.1016/s0010-0277(02)00076-8
Cognition,cognition_v85_i3,2002,85,3,10.1016/s0010-0277(02)00107-5,,https://openalex.org/W2169006883,Semantic distance effects on object and action naming,Gabriella Vigliocco; David Vinson; Markus F. Damian; Willem J. M. Levelt,article,bronze,https://www.sciencedirect.com/science/article/pii/S0010027702001075,https://www.sciencedirect.com/science/article/pii/S0010027702001075,https://doi.org/10.1016/s0010-0277(02)00107-5
Cognition,cognition_v87_i1,2002,87,1,10.1016/s0010-0277(02)00185-3,,https://openalex.org/W2170114488,Explaining modulation of reasoning by belief,Vinod Goel; Raymond J. Dolan,article,bronze,https://www.sciencedirect.com/science/article/pii/S0010027702001853,https://www.sciencedirect.com/science/article/pii/S0010027702001853,https://doi.org/10.1016/s0010-0277(02)00185-3
Cognition,cognition_v87_i3,2003,87,3,10.1016/s0010-0277(02)00234-2,,https://openalex.org/W2155184861,The mental representation of ordinal sequences is spatially organized,Wim Gevers; Bert Reynvoet; Wim Fias,article,bronze,https://www.sciencedirect.com/science/article/pii/S0010027702002342,https://www.sciencedirect.com/science/article/pii/S0010027702002342,https://doi.org/10.1016/s0010-0277(02)00234-2
Cognition,cognition_v89_i3,2003,89,3,10.1016/s0010-0277(03)00126-4,,https://openalex.org/W2098784033,Children's comprehension of sentences with focus particles,Kevin B. Paterson; Simon P. Liversedge; Caroline F. Rowland; Ruth Filik,article,bronze,https://www.sciencedirect.com/science/article/pii/S0010027703001264,https://www.sciencedirect.com/science/article/pii/S0010027703001264,https://doi.org/10.1016/s0010-0277(03)00126-4
Cognition,cognition_v90_i1,2003,90,1,10.1016/s0010-0277(03)00139-2,,https://openalex.org/W2170868547,The role of prosodic boundaries in the resolution of lexical embedding in speech comprehension,Anne Pier Salverda; Delphine Dahan; James M. McQueen,article,bronze,https://www.sciencedirect.com/science/article/pii/S0010027703001392,https://www.sciencedirect.com/science/article/pii/S0010027703001392,https://doi.org/10.1016/s0010-0277(03)00139-2
Cognition,cognition_v90_i3,2003,90,3,10.1016/s0010-0277(03)00161-6,,https://openalex.org/W2079388935,Antecedent frequency effects during the processing of pronouns,Roger P. G. van Gompel; Asifa Majid,article,bronze,https://www.sciencedirect.com/science/article/pii/S0010027703001616,https://www.sciencedirect.com/science/article/pii/S0010027703001616,https://doi.org/10.1016/s0010-0277(03)00161-6
Cognition,cognition_v94_i1,2004,94,1,10.1016/j.cognition.2003.10.015,,https://openalex.org/W2127123449,Putting the bits together: an information theoretical perspective on morphological processing,Fermı́n Moscoso del Prado Martı́n; Aleksandar Kostić; R. Harald Baayen,article,bronze,https://linkinghub.elsevier.com/science/article/pii/S0010027704000460,https://linkinghub.elsevier.com/science/article/pii/S0010027704000460,https://doi.org/10.1016/j.cognition.2003.10.015
Cognition,cognition_v96_i1,2004,96,1,10.1016/j.cognition.2004.10.003,,https://openalex.org/W2111291362,Word meaning and the control of eye fixation: semantic competitor effects and the visual world paradigm,Falk Huettig; Gerry T. M. Altmann,article,bronze,https://www.sciencedirect.com/science/article/pii/S0010027704001866,https://www.sciencedirect.com/science/article/pii/S0010027704001866,https://doi.org/10.1016/j.cognition.2004.10.003
