source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
Cognition,cognition_v49_i1-2,journal_issue,1993,49,1-2,1,
Cognition,cognition_v50_i1-3,journal_issue,1994,50,1-3,1,
Cognition,cognition_v51_i3,journal_issue,1994,51,3,1,
Cognition,cognition_v55_i2,journal_issue,1995,55,2,1,
Cognition,cognition_v57_i2,journal_issue,1995,57,2,1,
Cognition,cognition_v59_i2,journal_issue,1996,59,2,1,
Cognition,cognition_v63_i3,journal_issue,1997,63,3,1,
Cognition,cognition_v69_i3,journal_issue,1999,69,3,1,
Cognition,cognition_v73_i1,journal_issue,1999,73,1,1,
Cognition,cognition_v76_i2,journal_issue,2000,76,2,1,
Cognition,cognition_v83_i1,journal_issue,2002,83,1,1,
Cognition,cognition_v84_i2,journal_issue,2002,84,2,1,
Cognition,cognition_v85_i2,journal_issue,2002,85,2,1,
Cognition,cognition_v85_i3,journal_issue,2002,85,3,1,
Cognition,cognition_v87_i1,journal_issue,2002,87,1,1,
Cognition,cognition_v87_i3,journal_issue,2003,87,3,1,
Cognition,cognition_v89_i3,journal_issue,2003,89,3,1,
Cognition,cognition_v90_i1,journal_issue,2003,90,1,1,
Cognition,cognition_v90_i3,journal_issue,2003,90,3,1,
Cognition,cognition_v94_i1,journal_issue,2004,94,1,1,
Cognition,cognition_v96_i1,journal_issue,2004,96,1,1,
