source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
Cognition,cognition_v137_i,2015,137,,10.1016/j.cognition.2014.12.004,PMC4353499,https://openalex.org/W2099949657,Modeling individual differences in response time and accuracy in numeracy,Roger Ratcliff; Clarissa A. Thompson; Gail McKoon,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4353499,https://pmc.ncbi.nlm.nih.gov/articles/PMC4353499/pdf/,https://doi.org/10.1016/j.cognition.2014.12.004
Cognition,cognition_v138_i,2015,138,,10.1016/j.cognition.2015.01.010,PMC4551396,https://openalex.org/W2092096575,"Visual, haptic and bimodal scene perception: Evidence for a unitary representation",Helene Intraub; Frank Morelli; Kristin M. Gagnier,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4551396,https://pmc.ncbi.nlm.nih.gov/articles/PMC4551396/pdf/,https://doi.org/10.1016/j.cognition.2015.01.010
Cognition,cognition_v139_i,2015,139,,10.1016/j.cognition.2015.02.004,PMC4400968,https://openalex.org/W1971648245,Timing matters: The impact of label synchrony on infant categorisation,Nadja Althaus; Kim Plunkett,article,hybrid,https://doi.org/10.1016/j.cognition.2015.02.004,https://pmc.ncbi.nlm.nih.gov/articles/PMC4400968/pdf/,https://doi.org/10.1016/j.cognition.2015.02.004
Cognition,cognition_v142_i,2015,142,,10.1016/j.cognition.2015.05.016,PMC4831213,https://openalex.org/W639002133,Modeling the approximate number system to quantify the contribution of visual stimulus features,Nicholas K. DeWind; Geoffrey K. Adams; Michael L. Platt; Elizabeth M. Brannon,article,hybrid,https://doi.org/10.1016/j.cognition.2015.05.016,https://pmc.ncbi.nlm.nih.gov/articles/PMC4831213/pdf/,https://doi.org/10.1016/j.cognition.2015.05.016
Cognition,cognition_v142_i,2015,142,,10.1016/j.cognition.2015.05.009,PMC4500663,https://openalex.org/W640566519,Anticipatory coarticulation facilitates word recognition in toddlers,Tristan Mahr; Brianna T. M. McMillan; Jenny R. Saffran; Susan Ellis Weismer; Jan Edwards,article,green,https://scholarworks.smith.edu/psy_facpubs/109,https://pmc.ncbi.nlm.nih.gov/articles/PMC4500663/pdf/,https://doi.org/10.1016/j.cognition.2015.05.009
Cognition,cognition_v142_i,2015,142,,10.1016/j.cognition.2015.05.023,PMC4500734,https://openalex.org/W562373871,Go when you know: Chimpanzees’ confidence movements reflect their responses in a computerized memory task,Michael J. Beran; Bonnie M. Perdue; Sara E. Futch; J. David Smith; Theodore A. Evans; Audrey E. Parrish,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4500734,https://pmc.ncbi.nlm.nih.gov/articles/PMC4500734/pdf/,https://doi.org/10.1016/j.cognition.2015.05.023
Cognition,cognition_v142_i,2015,142,,10.1016/j.cognition.2015.05.015,PMC4505936,https://openalex.org/W620901175,Using instruments to understand argument structure: Evidence for gradient representation,Lilia Rissman; Kyle Rawlins; Barbara Landau,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4505936,https://pmc.ncbi.nlm.nih.gov/articles/PMC4505936/pdf/,https://doi.org/10.1016/j.cognition.2015.05.015
Cognition,cognition_v142_i,2015,142,,10.1016/j.cognition.2015.05.018,PMC4500665,https://openalex.org/W385809246,Learning from gesture: How early does it happen?,Miriam A. Novack; Susan Goldin‐Meadow; Amanda L. Woodward,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4500665,https://pmc.ncbi.nlm.nih.gov/articles/PMC4500665/pdf/,https://doi.org/10.1016/j.cognition.2015.05.018
Cognition,cognition_v142_i,2015,142,,10.1016/j.cognition.2015.05.006,PMC4500738,https://openalex.org/W244491643,A decision network account of reasoning about other people’s choices,Alan Jern; Charles Kemp,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4500738,https://pmc.ncbi.nlm.nih.gov/articles/PMC4500738/pdf/,https://doi.org/10.1016/j.cognition.2015.05.006
Cognition,cognition_v142_i,2015,142,,10.1016/j.cognition.2015.05.003,PMC4500760,https://openalex.org/W623518631,Parallel temporal dynamics in hierarchical cognitive control,Carolyn Ranti; Christopher H. Chatham; David Badre,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4500760,https://pmc.ncbi.nlm.nih.gov/articles/PMC4500760/pdf/,https://doi.org/10.1016/j.cognition.2015.05.003
