source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
Cognition,cognition_v137_i,journal_issue,2015,137,,1,
Cognition,cognition_v138_i,journal_issue,2015,138,,1,
Cognition,cognition_v139_i,journal_issue,2015,139,,1,
Cognition,cognition_v142_i,journal_issue,2015,142,,7,
Cognition,cognition_v143_i,journal_issue,2015,143,,2,
Cognition,cognition_v144_i,journal_issue,2015,144,,2,
Cognition,cognition_v145_i,journal_issue,2015,145,,2,
Cognition,cognition_v146_i,journal_issue,2015,146,,5,
Cognition,cognition_v147_i,journal_issue,2015,147,,1,
Cognition,cognition_v148_i,journal_issue,2016,148,,3,
Cognition,cognition_v149_i,journal_issue,2016,149,,1,
Cognition,cognition_v150_i,journal_issue,2016,150,,4,
Cognition,cognition_v151_i,journal_issue,2016,151,,1,
Cognition,cognition_v152_i,journal_issue,2016,152,,5,
Cognition,cognition_v153_i,journal_issue,2016,153,,3,
Cognition,cognition_v154_i,journal_issue,2016,154,,2,
Cognition,cognition_v155_i,journal_issue,2016,155,,5,
Cognition,cognition_v156_i,journal_issue,2016,156,,2,
Cognition,cognition_v157_i,journal_issue,2016,157,,4,
Cognition,cognition_v158_i,journal_issue,2016,158,,1,
Cognition,cognition_v159_i,journal_issue,2016,159,,1,
Cognition,cognition_v161_i,journal_issue,2017,161,,3,
Cognition,cognition_v164_i,journal_issue,2017,164,,3,
Cognition,cognition_v165_i,journal_issue,2017,165,,1,
Cognition,cognition_v166_i,journal_issue,2017,166,,5,
Cognition,cognition_v167_i,journal_issue,2017,167,,2,
Cognition,cognition_v168_i,journal_issue,2017,168,,1,
Cognition,cognition_v169_i,journal_issue,2017,169,,5,
Cognition,cognition_v170_i,journal_issue,2017,170,,1,
Cognition,cognition_v171_i,journal_issue,2017,171,,4,
Cognition,cognition_v172_i,journal_issue,2017,172,,2,
Cognition,cognition_v174_i,journal_issue,2018,174,,1,
Cognition,cognition_v177_i,journal_issue,2018,177,,5,
Cognition,cognition_v178_i,journal_issue,2018,178,,2,
Cognition,cognition_v179_i,journal_issue,2018,179,,2,
Cognition,cognition_v180_i,journal_issue,2018,180,,1,
Cognition,cognition_v181_i,journal_issue,2018,181,,1,
Cognition,cognition_v183_i,journal_issue,2018,183,,3,
Cognition,cognition_v184_i,journal_issue,2018,184,,1,
Cognition,cognition_v186_i,journal_issue,2019,186,,1,
Cognition,cognition_v187_i,journal_issue,2019,187,,4,
Cognition,cognition_v188_i,journal_issue,2018,188,,1,
Cognition,cognition_v189_i,journal_issue,2019,189,,4,
Cognition,cognition_v190_i,journal_issue,2019,190,,1,
Cognition,cognition_v191_i,journal_issue,2019,191,,2,
Cognition,cognition_v192_i,journal_issue,2019,192,,3,
Cognition,cognition_v193_i,journal_issue,2019,193,,5,
