source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
Cognitive Research: Principles and Implications,cognitive_research_pi_v1_i1,journal_issue,2016,1,1,31,
Cognitive Research: Principles and Implications,cognitive_research_pi_v10_i1,journal_issue,2025,10,1,80,
Cognitive Research: Principles and Implications,cognitive_research_pi_v2_i1,journal_issue,2017,2,1,46,
Cognitive Research: Principles and Implications,cognitive_research_pi_v3_i1,journal_issue,2018,3,1,49,
Cognitive Research: Principles and Implications,cognitive_research_pi_v4_i1,journal_issue,2019,4,1,43,
Cognitive Research: Principles and Implications,cognitive_research_pi_v5_i1,journal_issue,2020,5,1,55,
Cognitive Research: Principles and Implications,cognitive_research_pi_v6_i1,journal_issue,2021,6,1,69,
Cognitive Research: Principles and Implications,cognitive_research_pi_v7_i1,journal_issue,2022,7,1,95,
Cognitive Research: Principles and Implications,cognitive_research_pi_v8_i1,journal_issue,2023,8,1,61,
Cognitive Research: Principles and Implications,cognitive_research_pi_v9_i1,journal_issue,2024,9,1,76,
