source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.117094,,https://openalex.org/W4396877452,When and How to Deviate From a Preregistration,Daniël Lakens,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/117094/817387/collabra_2024_10_1_117094.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/117094/817387/collabra_2024_10_1_117094.pdf,https://doi.org/10.1525/collabra.117094
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.92949,PMC7615722,https://openalex.org/W4392252446,Characterizing Human Habits in the Lab,Stephan Nebe; André Kretzschmar; Maike C. Brandt; Philippe N. Tobler,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/92949/810772/collabra_2024_10_1_92949.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/92949/810772/collabra_2024_10_1_92949.pdf,https://doi.org/10.1525/collabra.92949
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.92882,,https://openalex.org/W4392840543,Occupational Prestige: The Status Component of Socioeconomic Status,Bradley Hughes; Sanjay Srivastava; Magdalena Leszko; David Condon,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/92882/809566/collabra_2024_10_1_92882.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/92882/809566/collabra_2024_10_1_92882.pdf,https://doi.org/10.1525/collabra.92882
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.94263,,https://openalex.org/W4392793994,Approaches for Quantifying the ICC in Multilevel Logistic Models: A Didactic Demonstration,Sean Devine; James Uanhoro; A. Ross Otto; Jessica Kay Flake,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/94263/812146/collabra_2024_10_1_94263.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/94263/812146/collabra_2024_10_1_94263.pdf,https://doi.org/10.1525/collabra.94263
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.92948,,https://openalex.org/W4392252784,Developments and Trends in Flow Research Over 40 Years: A Bibliometric Analysis,Yongfa Zhang; Fei Wang,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/92948/810784/collabra_2024_10_1_92948.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/92948/810784/collabra_2024_10_1_92948.pdf,https://doi.org/10.1525/collabra.92948
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.123703,,https://openalex.org/W4403185743,Challenges and Opportunities for Psychological Research in the Majority World,Ayşe K. Üskül et al.,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/123703/840838/collabra_2024_10_1_123703.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/123703/840838/collabra_2024_10_1_123703.pdf,https://doi.org/10.1525/collabra.123703
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.117083,,https://openalex.org/W4396940607,Can Chatbots Ever Provide More Social Connection Than Humans?,Dunigan Parker Folk; Stephanie Yu; Elizabeth W. Dunn,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/117083/816832/collabra_2024_10_1_117083.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/117083/816832/collabra_2024_10_1_117083.pdf,https://doi.org/10.1525/collabra.117083
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.108604,,https://openalex.org/W4393927081,Do Character Strengths-Based Interventions Change Character Strengths? Two Randomized Controlled Intervention Studies,Fabian Gander; Lisa Wagner; Ryan M. Niemiec,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/108604/813741/collabra_2024_10_1_108604.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/108604/813741/collabra_2024_10_1_108604.pdf,https://doi.org/10.1525/collabra.108604
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.117108,,https://openalex.org/W4396789200,Making Judgments of Learning Either Enhances or Impairs Memory: Evidence From 17 Experiments With Related and Unrelated Word Pairs,Monika Undorf; Franziska Schäfer; Vered Halamish,article,gold,https://doi.org/10.1525/collabra.117108,,https://doi.org/10.1525/collabra.117108
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.121394,,https://openalex.org/W4401243854,"Disrupting Racism and Global Exclusion in Academic Publishing: Recommendations and Resources for Authors, Reviewers, and Editors",Alison Ledgerwood et al.,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/121394/840546/collabra_2024_10_1_121394.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/121394/840546/collabra_2024_10_1_121394.pdf,https://doi.org/10.1525/collabra.121394
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.124471,,https://openalex.org/W4403519606,A Novel Approach to the Evaluation of Groups: Type of Group and Facet of Evaluation Matter,Julien Barbedor; Jelena Scheider; Vincent Yzerbyt; Andrea E. Abele,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/124471/840825/collabra_2024_10_1_124471.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/124471/840825/collabra_2024_10_1_124471.pdf,https://doi.org/10.1525/collabra.124471
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.90797,,https://openalex.org/W4391022810,May I Help You? The Relationship Between Interpersonal Emotion Regulation and Emotional and Relational Wellbeing in Daily Life,Lisanne S. Pauw; Rui Sun; Giulia Zoppolat; Francesca Righetti; Anne Milek,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/90797/807505/collabra_2024_10_1_90797.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/90797/807505/collabra_2024_10_1_90797.pdf,https://doi.org/10.1525/collabra.90797
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.92885,,https://openalex.org/W4391661212,The Role of Need for Cognition in Well-Being – Review and Meta-Analyses of Associations and Potentially Underlying Mechanisms,Josephine Zerna; Anja Strobel; Alexander Strobel,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/92885/809219/collabra_2024_10_1_92885.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/92885/809219/collabra_2024_10_1_92885.pdf,https://doi.org/10.1525/collabra.92885
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.92888,,https://openalex.org/W4391696729,Most Psychological Researchers Assume Their Samples Are Ergodic: Evidence From a Year of Articles in Three Major Journals,Craig Speelman; Laura Parker; Benjamin J. Rapley; Marek McGann,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/92888/809310/collabra_2024_10_1_92888.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/92888/809310/collabra_2024_10_1_92888.pdf,https://doi.org/10.1525/collabra.92888
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.120327,,https://openalex.org/W4400582018,The TECo Database: Ecological and Technological Concepts at the Interface Between Abstractness and Concreteness,Ilenia Falcinelli; Chiara Fini; Claudia Mazzuca; Anna M. Borghi,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/120327/830083/collabra_2024_10_1_120327.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/120327/830083/collabra_2024_10_1_120327.pdf,https://doi.org/10.1525/collabra.120327
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.121238,,https://openalex.org/W4401412775,The Effects of Satisfaction With Different Domains of Life on General Life Satisfaction Vary Between Individuals (but We Cannot Tell You Why),Julia M. Rohrer; Ingo S Seifert; Ruben C. Arslan; Jessie Sun; Stefan C. Schmukle,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/121238/830190/collabra_2024_10_1_121238.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/121238/830190/collabra_2024_10_1_121238.pdf,https://doi.org/10.1525/collabra.121238
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.92941,,https://openalex.org/W4392185378,Investigating Relationships Between Trait Visual Imagery and Phenomenological Control: The Role of Context Effects,Giulia Cabbai; Carla Dance; Zoltán Dienes; Julia Simner; Sophie Forster; Peter Lush,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/92941/810528/collabra_2024_10_1_92941.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/92941/810528/collabra_2024_10_1_92941.pdf,https://doi.org/10.1525/collabra.92941
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.117903,,https://openalex.org/W4399199846,Asian American Representation Within Psychology: Who Is Included? Who Is Left Out?,Aeroelay Chyei Vinluan; Jessica D. Remedios,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/117903/821208/collabra_2024_10_1_117903.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/117903/821208/collabra_2024_10_1_117903.pdf,https://doi.org/10.1525/collabra.117903
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.92995,,https://openalex.org/W4392703644,The Effect of Brooding About Societal Problems on Conspiracy Beliefs: A Registered Report,Luisa Liekefett; Simone Sebben; Julia C. Becker,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/92995/810003/collabra_2024_10_1_92995.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/92995/810003/collabra_2024_10_1_92995.pdf,https://doi.org/10.1525/collabra.92995
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.120402,,https://openalex.org/W4400282757,Who Needs Privacy? Exploring the Relations Between Need for Privacy and Personality,Tobias Dienlin; Miriam J. Metzger,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/120402/839306/collabra_2024_10_1_120402.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/120402/839306/collabra_2024_10_1_120402.pdf,https://doi.org/10.1525/collabra.120402
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.121937,,https://openalex.org/W4401361841,Changes in Need for Uniqueness From 2000 Until 2020,William J. Chopik; Kim Götschi; Alejandro Carrillo; Rebekka Weidmann; Jeff Potter,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/121937/831111/collabra_2024_10_1_121937.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/121937/831111/collabra_2024_10_1_121937.pdf,https://doi.org/10.1525/collabra.121937
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.126223,,https://openalex.org/W4405302737,"Anchoring, Confirmation and Confidence Bias Among Medical Decision-makers",Bjørn Sætrevik; Vanessa T. Seeligmann; Thomas Færstad Frotvedt; Øystein Keilegavlen Bondevik,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/126223/844539/collabra_2024_10_1_126223.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/126223/844539/collabra_2024_10_1_126223.pdf,https://doi.org/10.1525/collabra.126223
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.118770,,https://openalex.org/W4399693790,If It Concerns Me: An Experimental Investigation of the Influence of Psychological Distance on the Acceptance of Autonomous Shuttle Buses,Franziska Schandl; Eva Lermer; Matthias F. C. Hudecek,article,gold,https://doi.org/10.1525/collabra.118770,,https://doi.org/10.1525/collabra.118770
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.121932,,https://openalex.org/W4401742443,Clinical Utility of the CORE-OM and CORE-10,Jorge Valdiviezo‐Oña; Chris Evans; Clara Paz,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/121932/840633/collabra_2024_10_1_121932.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/121932/840633/collabra_2024_10_1_121932.pdf,https://doi.org/10.1525/collabra.121932
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.92998,,https://openalex.org/W4391952227,Language Acquisition in the Longitudinal Cambridge UK BabyRhythm Cohort,Sinead Rocha et al.,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/92998/809814/collabra_2024_10_1_92998.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/92998/809814/collabra_2024_10_1_92998.pdf,https://doi.org/10.1525/collabra.92998
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.116193,,https://openalex.org/W4396604563,Bad People Alert: The Expression of Disgust Signals Its Target’s Bad Moral Character,Daqing Liu; Roger Giner‐Sorolla,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/116193/816370/collabra_2024_10_1_116193.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/116193/816370/collabra_2024_10_1_116193.pdf,https://doi.org/10.1525/collabra.116193
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.125682,,https://openalex.org/W4404562603,Theorizing and Studying Reactions to Gender Norm Violations,Ethan Meimoun; Cristina Aelenei; Virginie Bonnot,article,gold,https://doi.org/10.1525/collabra.125682,,https://doi.org/10.1525/collabra.125682
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.126218,,https://openalex.org/W4405487681,A Beginner’s Guide to Open and Reproducible Systematic Reviews in Psychology,Rickard Carlsson; Lucija Batinović; Natalie Hyltse; André Kalmendal; Thomas Nordström; Marta Topor,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/126218/844994/collabra_2024_10_1_126218.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/126218/844994/collabra_2024_10_1_126218.pdf,https://doi.org/10.1525/collabra.126218
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.127426,,https://openalex.org/W4405713676,Intergroup Contact Is Consistently Associated With Lower Prejudice Across Group Properties,Travis Lim; Rebecca Neel; Eric Hehman,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/127426/847522/collabra_2024_10_1_127426.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/127426/847522/collabra_2024_10_1_127426.pdf,https://doi.org/10.1525/collabra.127426
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.126229,,https://openalex.org/W4405101081,Decoding Age-Related Changes in Emotional Reactivity: The Importance of Distinguishing Positive and Negative Sensations,Pierrick Laulan; Ulrike Rimmele,article,gold,https://doi.org/10.1525/collabra.126229,,https://doi.org/10.1525/collabra.126229
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.126508,,https://openalex.org/W4405494761,Mechanisms of Secularization: Testing Between the Rationalization and Existential Insecurity Theories,Martin Lang; Radim Chvaja,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/126508/844965/collabra_2024_10_1_126508.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/126508/844965/collabra_2024_10_1_126508.pdf,https://doi.org/10.1525/collabra.126508
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.121387,,https://openalex.org/W4401244115,Confidence in Moral Decision-Making,Lydia Schooler et al.,article,gold,https://doi.org/10.1525/collabra.121387,,https://doi.org/10.1525/collabra.121387
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.94291,,https://openalex.org/W4392855656,Vaccine Skeptics and Vaccine Enthusiasts: What Is the Intergroup Wall Made Of?,Kamil Izydorczak; Dariusz Doliński,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/94291/812253/collabra_2024_10_1_94291.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/94291/812253/collabra_2024_10_1_94291.pdf,https://doi.org/10.1525/collabra.94291
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.117347,,https://openalex.org/W4398201936,On the Interplay Between Stimulus-driven and Goal-directed Processes in the Decision to Fight or Flee,Massimo Köster; Maja Fischer; Evelien Bossuyt; Eike Kofi Buabang; Agnes Moors,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/117347/819067/collabra_2024_10_1_117347.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/117347/819067/collabra_2024_10_1_117347.pdf,http://dx.doi.org/10.1525/collabra.117347
Collabra Psychology,collabra_psychology_v10_i1,2024,10,1,10.1525/collabra.120531,,https://openalex.org/W4400971397,"Social, Emotional, and Behavioral (SEB) Skills in the Workplace",Li Chen; Bo Zhang; Jian Li,article,gold,https://online.ucpress.edu/collabra/article-pdf/10/1/120531/830129/collabra_2024_10_1_120531.pdf,https://online.ucpress.edu/collabra/article-pdf/10/1/120531/830129/collabra_2024_10_1_120531.pdf,https://doi.org/10.1525/collabra.120531
