source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
Collabra Psychology,collabra_psychology_v10_i1,journal_issue,2024,10,1,101,
Collabra Psychology,collabra_psychology_v11_i1,journal_issue,2025,11,1,118,
Collabra Psychology,collabra_psychology_v12_i1,journal_issue,2025,12,1,2,
Collabra Psychology,collabra_psychology_v3_i1,journal_issue,2017,3,1,31,
Collabra Psychology,collabra_psychology_v4_i1,journal_issue,2018,4,1,39,
Collabra Psychology,collabra_psychology_v5_i1,journal_issue,2019,5,1,58,
Collabra Psychology,collabra_psychology_v6_i1,journal_issue,2020,6,1,54,
Collabra Psychology,collabra_psychology_v7_i1,journal_issue,2021,7,1,77,
Collabra Psychology,collabra_psychology_v8_i1,journal_issue,2022,8,1,80,
Collabra Psychology,collabra_psychology_v9_i1,journal_issue,2023,9,1,107,
