source,unit_id,unit_type,year,unit_date,unit_label,unit_url,landing_page_url,source_url,title,summary,authors,oa_marker,pdf_url,doi,openalex_id,source_item_id,paper_type,venue_section,concepts,referenced_works_count,cited_by_count
Collabra Psychology,collabra_psychology_2017_v3_i1,journal_issue,2017,2017-01-01,"vol. 3, issue 1",https://doi.org/10.1525/collabra.74,https://doi.org/10.1525/collabra.74,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210175756%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Quality Uncertainty Erodes Trust in Science,,Simine Vazire,gold;is_oa,http://www.collabra.org/articles/10.1525/collabra.74/galley/64/download/,10.1525/collabra.74,https://openalex.org/W2594371646,https://openalex.org/W2594371646,article,,Transparency (behavior); Robustness (evolution); Appeal; Quality (philosophy); Computer science; Business; Public relations; Political science; Computer security; Law; Philosophy; Epistemology,27,123
Collabra Psychology,collabra_psychology_2017_v3_i1,journal_issue,2017,2017-01-01,"vol. 3, issue 1",https://doi.org/10.1525/collabra.78,https://doi.org/10.1525/collabra.78,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210175756%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Bayesian Inference for Correlations in the Presence of Measurement Error and Estimation Uncertainty,,Dóra Matzke; Alexander Ly; Ravi Selker; Wouter D. Weeda; Benjamin Scheibehenne; et al.,gold;is_oa,http://www.collabra.org/articles/10.1525/collabra.78/galley/120/download/,10.1525/collabra.78,https://openalex.org/W2766375570,https://openalex.org/W2766375570,article,,Bayes' theorem; Correlation; Bayesian probability; Observational error; Bayesian inference; Inference; Statistics; Computer science; Data set; Bayesian hierarchical modeling; Mathematics; Econometrics,95,66
Collabra Psychology,collabra_psychology_2017_v3_i1,journal_issue,2017,2017-01-01,"vol. 3, issue 1",https://doi.org/10.1525/collabra.111,https://doi.org/10.1525/collabra.111,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210175756%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,"Motivated Cognition: Effects of Reward, Emotion, and Other Motivational Factors Across a Variety of Cognitive Domains",,Christopher R. Madan,gold;is_oa,http://www.collabra.org/articles/10.1525/collabra.111/galley/118/download/,10.1525/collabra.111,https://openalex.org/W2765844465,https://openalex.org/W2765844465,article,,Cognition; Psychology; Generality; Cognitive psychology; Variety (cybernetics); Hot cognition; Scope (computer science); Social cognition; Cognitive science; Computer science; Neuroscience; Psychotherapist,244,51
Collabra Psychology,collabra_psychology_2017_v3_i1,journal_issue,2017,2017-01-01,"vol. 3, issue 1",https://doi.org/10.1525/collabra.59,https://doi.org/10.1525/collabra.59,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210175756%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Implicit and Explicit Memory Factors in Cumulative Structural Priming,,Timothy J. Kutta; Michael P. Kaschak; Angela Porcellini; John L. Jones,gold;is_oa,http://www.collabra.org/articles/10.1525/collabra.59/galley/91/download/,10.1525/collabra.59,https://openalex.org/W2620404479,https://openalex.org/W2620404479,article,,Priming (agriculture); Implicit memory; Explicit memory; Cognitive psychology; Psychology; Object (grammar); Computer science; Cognition; Episodic memory; Artificial intelligence; Neuroscience; Germination,40,37
Collabra Psychology,collabra_psychology_2017_v3_i1,journal_issue,2017,2017-01-01,"vol. 3, issue 1",https://doi.org/10.1525/collabra.102,https://doi.org/10.1525/collabra.102,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210175756%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Journal Data Sharing Policies and Statistical Reporting Inconsistencies in Psychology,,Michèle B. Nuijten; Jeroen Borghuis; Coosje Lisabet Sterre Veldkamp; Linda Dominguez-Alvarez; Marcel A. L. M. van Assen; et al.,gold;is_oa,http://www.collabra.org/articles/10.1525/collabra.102/galley/132/download/,10.1525/collabra.102,https://openalex.org/W2772994602,https://openalex.org/W2772994602,article,,Data sharing; Observational study; Relation (database); Open science; Computer science; Open data; Data science; Psychology; Data mining; Statistics; Medicine; World Wide Web,53,78
Collabra Psychology,collabra_psychology_2017_v3_i1,journal_issue,2017,2017-01-01,"vol. 3, issue 1",https://doi.org/10.1525/collabra.71,https://doi.org/10.1525/collabra.71,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210175756%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Too Good to be False: Nonsignificant Results Revisited,,Chris Hartgerink; Jelte M. Wicherts; Marcel A. L. M. van Assen,gold;is_oa,http://www.collabra.org/articles/10.1525/collabra.71/galley/82/download/,10.1525/collabra.71,https://openalex.org/W2602600139,https://openalex.org/W2602600139,article,,False positives and false negatives; False positive paradox; Null hypothesis; Statistical hypothesis testing; False discovery rate; Statistical power; Psychology; Statistics; Multiple comparisons problem; Statistical significance; Econometrics; Set (abstract data type),67,48
Collabra Psychology,collabra_psychology_2017_v3_i1,journal_issue,2017,2017-01-01,"vol. 3, issue 1",https://doi.org/10.1525/collabra.76,https://doi.org/10.1525/collabra.76,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210175756%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Metaphoric Gestures Facilitate Perception of Intonation More than Length in Auditory Judgments of Non-Native Phonemic Contrasts,,Spencer D. Kelly; April H. Bailey; Yukari Hirata,gold;is_oa,http://www.collabra.org/articles/10.1525/collabra.76/galley/77/download/,10.1525/collabra.76,https://openalex.org/W2595363726,https://openalex.org/W2595363726,article,,Gesture; Intonation (linguistics); Comprehension; Sentence; Psychology; Context (archaeology); Perception; Linguistics; Speech perception; Affect (linguistics); Cognitive psychology; Communication,44,34
Collabra Psychology,collabra_psychology_2017_v3_i1,journal_issue,2017,2017-01-01,"vol. 3, issue 1",https://doi.org/10.1525/collabra.79,https://doi.org/10.1525/collabra.79,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210175756%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Searching for Moral Dumbfounding: Identifying Measurable Indicators of Moral Dumbfounding,,Cillian McHugh; Marek McGann; Eric R. Igou; Elaine L. Kinsella,gold;is_oa,http://www.collabra.org/articles/10.1525/collabra.79/galley/116/download/,10.1525/collabra.79,https://openalex.org/W2762112409,https://openalex.org/W2762112409,article,,Psychology; Task (project management); Judgement; Declaration; Sample (material); Reliability (semiconductor); Cognitive interview; Social psychology; Interview; Applied psychology; Cognition; Cognitive psychology,84,31
Collabra Psychology,collabra_psychology_2017_v3_i1,journal_issue,2017,2017-01-01,"vol. 3, issue 1",https://doi.org/10.1525/collabra.91,https://doi.org/10.1525/collabra.91,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210175756%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Self-enhancement: Conceptualization and Assessment,,Joachim I. Krueger; Patrick R. Heck; Jens B. Asendorpf,gold;is_oa,http://www.collabra.org/articles/10.1525/collabra.91/galley/126/download/,10.1525/collabra.91,https://openalex.org/W2770178145,https://openalex.org/W2770178145,article,,Self-enhancement; Conceptualization; Psychology; Trait; Social psychology; Excellence; Personality; Perception; Self; Cognitive psychology; Computer science; Artificial intelligence,54,28
Collabra Psychology,collabra_psychology_2017_v3_i1,journal_issue,2017,2017-01-01,"vol. 3, issue 1",https://doi.org/10.1525/collabra.53,https://doi.org/10.1525/collabra.53,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210175756%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Predicting Search Performance in Heterogeneous Visual Search Scenes with Real-World Objects,,Zhiyuan Wang; Simona Buetti; Alejandro Lleras,gold;is_oa,http://www.collabra.org/articles/10.1525/collabra.53/galley/75/download/,10.1525/collabra.53,https://openalex.org/W2594825807,https://openalex.org/W2594825807,article,,Visual search; Computer science; Set (abstract data type); Multiplicative function; Homogeneous; Logarithm; Similarity (geometry); Data set; Function (biology); Artificial intelligence; Data mining; Mathematics,62,24
