source,unit_id,unit_type,year,unit_date,unit_label,unit_url,n_items_total
Collabra Psychology,collabra_psychology_2017_v3_i1,journal_issue,2017,2017-01-01,"vol. 3, issue 1",https://doi.org/10.1525/collabra.74,31
Collabra Psychology,collabra_psychology_2018_v4_i1,journal_issue,2018,2018-01-01,"vol. 4, issue 1",https://doi.org/10.1525/collabra.115,40
Collabra Psychology,collabra_psychology_2019_v5_i1,journal_issue,2019,2019-01-01,"vol. 5, issue 1",https://doi.org/10.1525/collabra.203,58
Collabra Psychology,collabra_psychology_2020_v6_i1,journal_issue,2020,2020-01-01,"vol. 6, issue 1",https://doi.org/10.1525/collabra.365,56
Collabra Psychology,collabra_psychology_2021_v7_i1,journal_issue,2021,2021-01-01,"vol. 7, issue 1",https://doi.org/10.1525/collabra.25293,77
Collabra Psychology,collabra_psychology_2022_v8_i1,journal_issue,2022,2022-01-01,"vol. 8, issue 1",https://doi.org/10.1525/collabra.33267,81
Collabra Psychology,collabra_psychology_2023_v9_i1,journal_issue,2023,2023-01-01,"vol. 9, issue 1",https://doi.org/10.1525/collabra.57641,110
Collabra Psychology,collabra_psychology_2024_v10_i1,journal_issue,2024,2024-01-01,"vol. 10, issue 1",https://doi.org/10.1525/collabra.117094,102
Collabra Psychology,collabra_psychology_2024_v12_i1,journal_issue,2024,2024-01-01,"vol. 12, issue 1",https://doi.org/10.1525/collabra.160215,4
Collabra Psychology,collabra_psychology_2024_v9_i1,journal_issue,2024,2024-01-01,"vol. 9, issue 1",https://doi.org/10.1525/collabra.90203,1
Collabra Psychology,collabra_psychology_2025_v11_i1,journal_issue,2025,2025-01-01,"vol. 11, issue 1",https://doi.org/10.1525/collabra.129175,120
Collabra Psychology,collabra_psychology_2025_v12_i1,journal_issue,2025,2025-04-30,"vol. 12, issue 1",https://doi.org/10.1525/collabra.160684,3
