source,unit_id,unit_type,year,unit_date,unit_label,unit_url,landing_page_url,source_url,title,summary,authors,oa_marker,pdf_url,doi,openalex_id,source_item_id,paper_type,venue_section,concepts,referenced_works_count,cited_by_count
Computational Brain & Behavior,computational_brain_behavior_2018_v1_i2,journal_issue_or_year,2018,2018-06-01,"vol. 1, issue 2",https://doi.org/10.1007/s42113-018-0007-3,https://doi.org/10.1007/s42113-018-0007-3,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210221739%2Cfrom_publication_date%3A2018-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,"Different Physical Intuitions Exist Between Tasks, Not Domains",,Kevin A. Smith; Peter Battaglia; Edward Vul,green;is_oa,https://doi.org/10.1007/s42113-018-0007-3,10.1007/s42113-018-0007-3,https://openalex.org/W2847827297,https://openalex.org/W2847827297,article,OpenAlex concept filter: Cognitive psychology,Heuristics; Exploit; Computer science; Domain (mathematical analysis); Domain knowledge; Physical system; Extrapolation; Simple (philosophy); Contrast (vision); Artificial intelligence; Cognitive psychology; Epistemology; Psychology; Mathematics; Physics; Mathematical analysis; Computer security; Quantum mechanics; Operating system; Philosophy,73,36
Computational Brain & Behavior,computational_brain_behavior_2018_v1_i2,journal_issue_or_year,2018,2018-06-01,"vol. 1, issue 2",https://doi.org/10.1007/s42113-018-0009-1,https://doi.org/10.1007/s42113-018-0009-1,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210221739%2Cfrom_publication_date%3A2018-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Toward a computational cognitive neuropsychology of Wisconsin card sorts: a showcase study in Parkinson’s disease,,Alexander Steinke; Florian Lange; Caroline Seer; Bruno Kopp,green;is_oa,https://doi.org/10.1007/s42113-018-0009-1,10.1007/s42113-018-0009-1,https://openalex.org/W2888186119,https://openalex.org/W2888186119,article,OpenAlex concept filter: Cognitive psychology,Wisconsin Card Sorting Test; Psychology; Neuropsychology; Interpretability; Executive functions; Perseveration; Cognitive psychology; Parkinson's disease; Cognition; Neuropsychological assessment; Audiology; Machine learning; Artificial intelligence; Disease; Neuroscience; Computer science; Medicine; Internal medicine,101,22
Computational Brain & Behavior,computational_brain_behavior_2018_v2_i2,journal_issue_or_year,2018,2018-12-18,"vol. 2, issue 2",https://doi.org/10.1007/s42113-018-0021-5,https://doi.org/10.1007/s42113-018-0021-5,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210221739%2Cfrom_publication_date%3A2018-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Individual Differences in Cortical Processing Speed Predict Cognitive Abilities: a Model-Based Cognitive Neuroscience Account,,Anna‐Lena Schubert; Michael D. Nunez; Dirk Hagemann; Joachim Vandekerckhove,green;is_oa,https://doi.org/10.1007/s42113-018-0021-5,10.1007/s42113-018-0021-5,https://openalex.org/W2949806393,https://openalex.org/W2949806393,article,OpenAlex concept filter: Cognitive psychology,Cognition; Psychology; Association (psychology); Cognitive psychology; Information processing; Cognitive neuroscience; Working memory; Neuroscience; Psychotherapist,96,40
Computational Brain & Behavior,computational_brain_behavior_2019_v2_i3_4,journal_issue_or_year,2019,2019-04-24,"vol. 2, issue 3-4",https://doi.org/10.1007/s42113-019-00029-y,https://doi.org/10.1007/s42113-019-00029-y,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210221739%2Cfrom_publication_date%3A2018-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Robust Modeling in Cognitive Science,,Michael Lee; Amy H. Criss; Berna Devezer; Chris Donkin; Alexander Etz; et al.,green;is_oa,https://doi.org/10.1007/s42113-019-00029-y,10.1007/s42113-019-00029-y,https://openalex.org/W2940748077,https://openalex.org/W2940748077,article,OpenAlex concept filter: Cognitive psychology,Psychological science; Psychology; Cognition; Empirical research; Reliability (semiconductor); Applied psychology; Behavioural sciences; Cognitive psychology; Management science; Social psychology; Psychotherapist; Epistemology; Engineering; Power (physics); Physics; Neuroscience; Philosophy; Quantum mechanics,102,116
Computational Brain & Behavior,computational_brain_behavior_2019_v3_i1,journal_issue_or_year,2019,2019-05-20,"vol. 3, issue 1",https://doi.org/10.1007/s42113-019-00031-4,https://doi.org/10.1007/s42113-019-00031-4,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210221739%2Cfrom_publication_date%3A2018-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Frequency-Sensitivity and Magnitude-Sensitivity in Decision-Making: Predictions of a Theoretical Model-Based Study,,Thomas Bose; Freya Bottom; Andreagiovanni Reina; James A. R. Marshall,hybrid;is_oa,https://link.springer.com/content/pdf/10.1007/s42113-019-00031-4.pdf,10.1007/s42113-019-00031-4,https://openalex.org/W2945161094,https://openalex.org/W2945161094,article,OpenAlex concept filter: Cognitive psychology,Stimulus (psychology); Psychophysics; Sensitivity (control systems); Perception; Mathematics; Statistical physics; Statistics; Computer science; Physics; Psychology; Cognitive psychology; Engineering; Electronic engineering; Neuroscience,56,4
Computational Brain & Behavior,computational_brain_behavior_2019_v3_i2,journal_issue_or_year,2019,2019-06-19,"vol. 3, issue 2",https://doi.org/10.1007/s42113-019-00032-3,https://doi.org/10.1007/s42113-019-00032-3,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210221739%2Cfrom_publication_date%3A2018-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Computational Resource Demands of a Predictive Bayesian Brain,,Johan Kwisthout; Iris van Rooij,hybrid;is_oa,https://link.springer.com/content/pdf/10.1007/s42113-019-00032-3.pdf,10.1007/s42113-019-00032-3,https://openalex.org/W2810868642,https://openalex.org/W2810868642,article,OpenAlex concept filter: Cognitive psychology,Inference; Bayesian probability; Cognition; Computer science; Bayesian inference; Machine learning; Artificial intelligence; Conjecture; Cognitive science; Resource (disambiguation); Cognitive psychology; Psychology; Neuroscience; Mathematics; Computer network; Pure mathematics,122,61
Computational Brain & Behavior,computational_brain_behavior_2019_v3_i1,journal_issue_or_year,2019,2019-07-29,"vol. 3, issue 1",https://doi.org/10.1007/s42113-019-00046-x,https://doi.org/10.1007/s42113-019-00046-x,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210221739%2Cfrom_publication_date%3A2018-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Correction to: An Instance Theory of Semantic Memory,,Randall K. Jamieson; Johnathan E. Avery; Brendan T. Johns; Michael N. Jones,bronze;is_oa,https://link.springer.com/content/pdf/10.1007/s42113-019-00046-x.pdf,10.1007/s42113-019-00046-x,https://openalex.org/W2966194045,https://openalex.org/W2966194045,article,OpenAlex concept filter: Cognitive psychology,Computer science; Semantic memory; Natural language processing; Cognitive science; Artificial intelligence; Semantic theory of truth; Cognitive psychology; Psychology; Linguistics; Philosophy; Neuroscience; Cognition,,3
Computational Brain & Behavior,computational_brain_behavior_2019_v3_i2,journal_issue_or_year,2019,2019-08-14,"vol. 3, issue 2",https://doi.org/10.1007/s42113-019-00047-w,https://doi.org/10.1007/s42113-019-00047-w,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210221739%2Cfrom_publication_date%3A2018-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Modeling Retest Effects in a Longitudinal Measurement Burst Study of Memory,,Adam W. Broitman; Michael J. Kahana; M. Karl Healey,green;is_oa,https://doi.org/10.1007/s42113-019-00047-w,10.1007/s42113-019-00047-w,https://openalex.org/W2968850364,https://openalex.org/W2968850364,article,OpenAlex concept filter: Cognitive psychology,Sample size determination; Recall; False positive paradox; Psychology; Sample (material); Longitudinal study; Statistics; Audiology; Mathematics; Cognitive psychology; Medicine; Chemistry; Chromatography,22,10
Computational Brain & Behavior,computational_brain_behavior_2019_v3_i1,journal_issue_or_year,2019,2019-09-05,"vol. 3, issue 1",https://doi.org/10.1007/s42113-019-00058-7,https://doi.org/10.1007/s42113-019-00058-7,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210221739%2Cfrom_publication_date%3A2018-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Pragmatic Inference and Visual Abstraction Enable Contextual Flexibility During Visual Communication,,Judith E. Fan; Robert D. Hawkins; Mike Wu; Noah D. Goodman,green;is_oa,https://doi.org/10.1007/s42113-019-00058-7,10.1007/s42113-019-00058-7,https://openalex.org/W2921054202,https://openalex.org/W2921054202,article,OpenAlex concept filter: Cognitive psychology,Abstraction; Flexibility (engineering); Computer science; Inference; Visual communication; Human–computer interaction; Artificial intelligence; Cognitive science; Natural language processing; Cognitive psychology; Psychology; Multimedia; Epistemology; Mathematics; Philosophy; Statistics,89,35
Computational Brain & Behavior,computational_brain_behavior_2019_v3_i2,journal_issue_or_year,2019,2019-12-18,"vol. 3, issue 2",https://doi.org/10.1007/s42113-019-00071-w,https://doi.org/10.1007/s42113-019-00071-w,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210221739%2Cfrom_publication_date%3A2018-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC180747234%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Neural Habituation Enhances Novelty Detection: an EEG Study of Rapidly Presented Words,,Leandro P. L. Jacob; David E. Huber,green;is_oa,https://doi.org/10.1007/s42113-019-00071-w,10.1007/s42113-019-00071-w,https://openalex.org/W2995389766,https://openalex.org/W2995389766,article,OpenAlex concept filter: Cognitive psychology,Habituation; N400; Novelty; Novelty detection; Psychology; Electroencephalography; Speech recognition; Computer science; Artificial intelligence; Cognitive psychology; Pattern recognition (psychology); Event-related potential; Neuroscience; Social psychology,67,11
