source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
eLife,elife_v1_i,journal_issue,2012,1,,35,
eLife,elife_v10_i,journal_issue,2014,10,,2,
eLife,elife_v12_i,journal_issue,2014,12,,1,
eLife,elife_v13_i,journal_issue,2013,13,,2,
eLife,elife_v2_i,journal_issue,2013,2,,250,
eLife,elife_v3_i,journal_issue,2014,3,,553,
eLife,elife_v3_i6,journal_issue,2014,3,6,1,
eLife,elife_v4_i,journal_issue,2014,4,,3,
eLife,elife_v5_i,journal_issue,2012,5,,1,
eLife,elife_v6_i,journal_issue,2014,6,,5,
eLife,elife_v7_i,journal_issue,2014,7,,1,
eLife,elife_v8_i,journal_issue,2012,8,,1,
eLife,elife_v8_i1,journal_issue,2012,8,1,1,
eLife,elife_v9_i,journal_issue,2014,9,,1,
