source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
eLife,elife_v1_i,2012,1,,10.7554/elife.00049,PMC3485615,https://openalex.org/W2120426460,Sodium taurocholate cotransporting polypeptide is a functional receptor for human hepatitis B and D virus,Huan Yan et al.,article,gold,https://doi.org/10.7554/elife.00049,,https://doi.org/10.7554/elife.00049
eLife,elife_v1_i,2012,1,,10.7554/elife.00205,PMC3524939,https://openalex.org/W2127455821,KDM2B links the Polycomb Repressive Complex 1 (PRC1) to recognition of CpG islands,Anca M. Farcas et al.,article,gold,https://doi.org/10.7554/elife.00205,,https://doi.org/10.7554/elife.00205
eLife,elife_v1_i,2012,1,,10.7554/elife.00065,PMC3466591,https://openalex.org/W2165852917,"The starvation hormone, fibroblast growth factor-21, extends lifespan in mice",Yuan Zhang et al.,article,gold,https://elifesciences.org/articles/00065.bib,https://elifesciences.org/articles/00065.bib,https://doi.org/10.7554/elife.00065
eLife,elife_v1_i,2012,1,,10.7554/elife.00047,PMC3524801,https://openalex.org/W2158542519,DNA-PK is a DNA sensor for IRF-3-dependent innate immunity,Brian J. Ferguson; Daniel Santos Mansur; Nicholas Peters; Hongwei Ren; Geoffrey L. Smith,article,gold,https://doi.org/10.7554/elife.00047,,https://doi.org/10.7554/elife.00047
eLife,elife_v1_i,2012,1,,10.7554/elife.00311,PMC3524795,https://openalex.org/W2124546624,Modelling dynamics in protein crystal structures by ensemble refinement,B. Tom Burnley; Pavel V. Afonine; Paul D. Adams; Piet Gros,article,gold,https://doi.org/10.7554/elife.00311,,https://doi.org/10.7554/elife.00311
eLife,elife_v1_i,2012,1,,10.7554/elife.00011,PMC3492862,https://openalex.org/W2096352618,Nascent-Seq reveals novel features of mouse circadian transcriptional regulation,Jérôme S. Menet; Joseph Rodriguez; Katharine C. Abruzzi; Michael Rosbash,article,gold,https://doi.org/10.7554/elife.00011,,https://doi.org/10.7554/elife.00011
eLife,elife_v1_i,2012,1,,10.7554/elife.00013,PMC3463246,https://openalex.org/W2160896221,A bacterial sulfonolipid triggers multicellular development in the closest living relatives of animals,Rosanna A. Alegado et al.,article,gold,https://doi.org/10.7554/elife.00013,,https://doi.org/10.7554/elife.00013
eLife,elife_v1_i,2012,1,,10.7554/elife.00005,PMC3482686,https://openalex.org/W2122076742,Molecular architecture of human polycomb repressive complex 2,Claudio Ciferri; Gabriel C. Lander; Alessio Maiolica; Franz Herzog; Ruedi Aebersold; Eva Nogales,article,gold,https://doi.org/10.7554/elife.00005,,https://doi.org/10.7554/elife.00005
eLife,elife_v1_i,2012,1,,10.7554/elife.00248,PMC3534202,https://openalex.org/W2098275652,rsEGFP2 enables fast RESOLFT nanoscopy of living cells,Tim Grotjohann et al.,article,gold,https://doi.org/10.7554/elife.00248,,https://doi.org/10.7554/elife.00248
eLife,elife_v1_i,2012,1,,10.7554/elife.00007,PMC3466783,https://openalex.org/W2165089107,Herbivory-induced volatiles function as defenses increasing fitness of the native plant Nicotiana attenuata in nature,Meredith C. Schuman; Kathleen Barthel; Ian T. Baldwin,article,gold,https://doi.org/10.7554/elife.00007,,https://doi.org/10.7554/elife.00007
eLife,elife_v1_i,2012,1,,10.7554/elife.00109,PMC3514886,https://openalex.org/W2158350205,Synaptic proteins promote calcium-triggered fast transition from point contact to full fusion,Jiajie Diao et al.,article,gold,https://doi.org/10.7554/elife.00109,,https://doi.org/10.7554/elife.00109
eLife,elife_v1_i,2012,1,,10.7554/elife.00090,PMC3524649,https://openalex.org/W2123203533,Doxorubicin blocks proliferation of cancer cells through proteolytic activation of CREB3L1,Bray Denard; Ching Lee; Jin Y,article,gold,https://doi.org/10.7554/elife.00090,,https://doi.org/10.7554/elife.00090
