source,page_index,archive_url,status_code,content_type,n_results,request_time
eLife,1,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS1336409049%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:53:14.619836+00:00
eLife,2,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS1336409049%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzU2OTk4NDAwMDAwLCAnLUluZmluaXR5JywgMCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1czOTU0MDgyNCddIg%3D%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:53:16.411793+00:00
eLife,3,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS1336409049%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzc4MTY2NDAwMDAwLCAxMDAuMCwgODIsICdodHRwczovL29wZW5hbGV4Lm9yZy9XMjE1NDIzNTI1MyddIg%3D%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:53:18.197013+00:00
eLife,4,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS1336409049%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzkzMjg2NDAwMDAwLCAxMDAuMCwgMTQ0LCAnaHR0cHM6Ly9vcGVuYWxleC5vcmcvVzIxMDM3ODcwNzAnXSI%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:53:19.875345+00:00
eLife,5,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS1336409049%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDAyNzA0MDAwMDAwLCAxMDAuMCwgMjYwLCAnaHR0cHM6Ly9vcGVuYWxleC5vcmcvVzIxMDkyNjI3NTEnXSI%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:53:21.710170+00:00
eLife,6,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS1336409049%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDEyNTUzNjAwMDAwLCA5OC4wLCAzMCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMDkwMDAwODYzJ10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:53:23.367223+00:00
eLife,7,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS1336409049%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDIwMTU2ODAwMDAwLCA5OS4wLCA1OCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMDA5OTkzMDU1J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:53:25.049244+00:00
eLife,8,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS1336409049%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDI3NjczNjAwMDAwLCA5Ny4wLCAxNCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMTQzNDA3MzQ2J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:53:26.830143+00:00
eLife,9,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS1336409049%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDM0NjcyMDAwMDAwLCA5OS4wLCA2NiwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMTQ1MDMzMzczJ10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:53:28.517113+00:00
eLife,10,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS1336409049%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDQwOTc5MjAwMDAwLCAxMDAuMCwgMzI4LCAnaHR0cHM6Ly9vcGVuYWxleC5vcmcvVzIxNzI3MDY2NTQnXSI%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:53:30.296595+00:00
