source,unit_id,unit_type,year,unit_date,unit_label,unit_url,n_items_total
eLife,elife_1883_v8,journal_volume_or_batch,1883,1883-01-01,vol. 8,http://dspace.library.uu.nl/handle/1874/235944,1
eLife,elife_1950_v6,journal_volume_or_batch,1950,1950-11-01,vol. 6,http://www.osti.gov/scitech/biblio/4423714-peripheral-blood-bone-marrow-tests-during-experimental-intoxication-uranium,1
eLife,elife_1954_v11,journal_volume_or_batch,1954,1954-03-01,vol. 11,http://www.osti.gov/scitech/biblio/5166996-theory-sol-air-orientation,1
eLife,elife_1958_v9,journal_volume_or_batch,1958,1958-03-01,vol. 9,https://profiles.nlm.nih.gov/BB/G/J/N/D/,1
eLife,elife_1961_v4,journal_volume_or_batch,1961,1961-01-01,vol. 4,http://www.osti.gov/scitech/biblio/4783113-common-equation-bosons-fermions,1
eLife,elife_1964_v5,journal_volume_or_batch,1964,1964-10-29,vol. 5,http://www.osti.gov/scitech/biblio/4632988-device-calibration-detection-instruments-radioactive-radiation,1
eLife,elife_1966_v11,journal_volume_or_batch,1966,1966-01-01,vol. 11,http://www.osti.gov/scitech/biblio/4558445,1
eLife,elife_1970_v12,journal_volume_or_batch,1970,1970-01-01,vol. 12,https://eric.ed.gov/?id=EJ020048,1
eLife,elife_1971_v12_i17,journal_issue,1971,1971-01-01,"vol. 12, issue 17",https://dialnet.unirioja.es/servlet/articulo?codigo=4659853,1
eLife,elife_1971_v7,journal_volume_or_batch,1971,1971-01-01,vol. 7,http://www.osti.gov/scitech/biblio/4640536-present-day-problems-theory-nuclear-forces,1
eLife,elife_1971_v9,journal_volume_or_batch,1971,1971-01-01,vol. 9,http://www.osti.gov/scitech/biblio/4737316,2
eLife,elife_1973_v11,journal_volume_or_batch,1973,1973-01-01,vol. 11,http://www.osti.gov/scitech/biblio/4368118-gamma-ray-transmission-gauge-determination-heavy-light-metal-loading-fuel-elements,1
eLife,elife_1973_v7,journal_volume_or_batch,1973,1973-01-01,vol. 7,http://www.osti.gov/scitech/biblio/4465646,2
eLife,elife_1974_v12,journal_volume_or_batch,1974,1974-12-01,vol. 12,http://www.osti.gov/scitech/biblio/4260675-kinetics-transformation-wurtzite-boron-nitride-graphite-like-form,1
eLife,elife_1976_v11,journal_volume_or_batch,1976,1976-07-01,vol. 11,http://www.osti.gov/scitech/biblio/7276011-induction-specific-suppressor-cells-vitro-radiation,1
eLife,elife_1977_v7,journal_volume_or_batch,1977,1977-06-01,vol. 7,https://ci.nii.ac.jp/ncid/BA15116862,1
eLife,elife_1980_v11_i4,journal_issue,1980,1980-01-01,"vol. 11, issue 4",https://www.cabdirect.org/abstracts/19840178944.html,1
eLife,elife_1982_v11_i2,journal_issue,1982,1982-02-01,"vol. 11, issue 2",https://www.osti.gov/scitech/biblio/6823099-geoscience-interpretations-raft-river-resource,1
eLife,elife_1982_v8,journal_volume_or_batch,1982,1982-01-01,vol. 8,https://redined.educacion.gob.es/xmlui/handle/11162/58821,1
eLife,elife_1983_v9,journal_volume_or_batch,1983,1983-01-01,vol. 9,http://ci.nii.ac.jp/ncid/BA34481322?l=en,1
eLife,elife_1984_v4,journal_volume_or_batch,1984,1984-01-01,vol. 4,https://dialnet.unirioja.es/servlet/libro?codigo=36228,1
eLife,elife_1984_v7,journal_volume_or_batch,1984,1984-01-01,vol. 7,https://dialnet.unirioja.es/servlet/libro?codigo=132680,1
eLife,elife_1985_v4,journal_volume_or_batch,1985,1985-01-01,vol. 4,http://istina.msu.ru/publications/article/3173312/,1
eLife,elife_1986_v3,journal_volume_or_batch,1986,1986-01-01,vol. 3,https://pub.uni-bielefeld.de/publication/1780979,1
eLife,elife_1986_v5,journal_volume_or_batch,1986,1986-06-01,vol. 5,http://www.osti.gov/scitech/biblio/5086544,1
eLife,elife_1987_v7,journal_volume_or_batch,1987,1987-01-01,vol. 7,http://www.osti.gov/scitech/biblio/6297313,1
eLife,elife_1989_v13,journal_volume_or_batch,1989,1989-01-01,vol. 13,https://www.theses.fr/1989AIX20209,1
eLife,elife_1989_v4,journal_volume_or_batch,1989,1989-01-01,vol. 4,https://www.osti.gov/scitech/biblio/5404766-genetic-algorithms-what-computers-can-learn-from-darwin,1
eLife,elife_1989_v5,journal_volume_or_batch,1989,1989-01-01,vol. 5,https://repository.ipb.ac.id/handle/123456789/38724,1
eLife,elife_1990_v11,journal_volume_or_batch,1990,1990-02-01,vol. 11,https://files.eric.ed.gov/fulltext/ED343337.pdf,1
eLife,elife_1990_v9_i6,journal_issue,1990,1990-01-01,"vol. 9, issue 6",https://biblat.unam.mx/es/revista/utopias/articulo/gonzalez-j-etica-y-libertad-mexico-fac-filosofia-y-letras-unam-1989-345-p-coleccion-seminarios,1
