source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
The EMBO Journal,embo_journal_v34_i10,2015,34,10,10.15252/embj.201490379,PMC4491996,https://openalex.org/W2168636113,Aerobic glycolysis tunes YAP/TAZ transcriptional activity,Elena Enzo et al.,article,bronze,https://link.springer.com/content/pdf/10.15252/embj.201490379.pdf,https://link.springer.com/content/pdf/10.15252/embj.201490379.pdf,https://doi.org/10.15252/embj.201490379
The EMBO Journal,embo_journal_v34_i10,2015,34,10,10.15252/embj.201490819,PMC4492000,https://openalex.org/W2050332440,Insm1 cooperates with Neurod1 and Foxa2 to maintain mature pancreatic β‐cell function,Shiqi Jia et al.,article,hybrid,https://link.springer.com/content/pdf/10.15252/embj.201490819.pdf,https://link.springer.com/content/pdf/10.15252/embj.201490819.pdf,https://doi.org/10.15252/embj.201490819
The EMBO Journal,embo_journal_v34_i10,2015,34,10,10.15252/embj.201490070,PMC5623828,https://openalex.org/W1990909310,"Telomerase abrogates aneuploidy‐induced telomere replication stress, senescence and cell depletion",Jitendra K. Meena et al.,article,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.15252/embj.201490070,https://onlinelibrary.wiley.com/doi/pdfdirect/10.15252/embj.201490070,https://doi.org/10.15252/embj.201490070
The EMBO Journal,embo_journal_v34_i10,2015,34,10,10.15252/embj.201490041,PMC4491999,https://openalex.org/W2134874120,Cockayne syndrome group B protein regulates DNA double‐strand break repair and checkpoint activation,Nicole L. Batenburg; Elizabeth L. Thompson; Eric A. Hendrickson; Xu‐Dong Zhu,article,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.15252/embj.201490041,https://onlinelibrary.wiley.com/doi/pdfdirect/10.15252/embj.201490041,https://doi.org/10.15252/embj.201490041
The EMBO Journal,embo_journal_v34_i10,2015,34,10,10.15252/embj.201490881,PMC4491994,https://openalex.org/W2125055450,Snai1 regulates cell lineage allocation and stem cell maintenance in the mouse intestinal epithelium,Katja Horvay et al.,article,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.15252/embj.201490881,https://onlinelibrary.wiley.com/doi/pdfdirect/10.15252/embj.201490881,https://doi.org/10.15252/embj.201490881
The EMBO Journal,embo_journal_v34_i11,2015,34,11,10.15252/embj.201490546,PMC4474525,https://openalex.org/W2081629469,Cross talk between ABC transporter mRNAs via a target mRNA‐derived sponge of the GcvB small RNA,Masatoshi Miyakoshi; Yanjie Chao; Jörg Vogel,article,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.15252/embj.201490546,https://onlinelibrary.wiley.com/doi/pdfdirect/10.15252/embj.201490546,https://doi.org/10.15252/embj.201490546
The EMBO Journal,embo_journal_v34_i11,2015,34,11,10.15252/embj.201490648,PMC4474528,https://openalex.org/W2110507524,The first murine zygotic transcription is promiscuous and uncoupled from splicing and 3′ processing,Ken‐ichiro Abe et al.,article,bronze,https://link.springer.com/content/pdf/10.15252/embj.201490648.pdf,https://link.springer.com/content/pdf/10.15252/embj.201490648.pdf,https://doi.org/10.15252/embj.201490648
The EMBO Journal,embo_journal_v34_i11,2015,34,11,10.15252/embj.201489183,PMC4474532,https://openalex.org/W2054434326,Crystal structures reveal transient PERK luminal domain tetramerization in endoplasmic reticulum stress signaling,Marta Carrara; Filippo Prischi; Piotr R. Nowak; Maruf M. U. Ali,article,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.15252/embj.201489183,https://onlinelibrary.wiley.com/doi/pdfdirect/10.15252/embj.201489183,https://doi.org/10.15252/embj.201489183
The EMBO Journal,embo_journal_v34_i11,2015,34,11,10.15252/embj.201490706,PMC4474531,https://openalex.org/W1993910987,"Sox2, Tlx, Gli3, and Her9 converge on Rx2 to define retinal stem cells in vivo",Robert Reinhardt et al.,article,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.15252/embj.201490706,https://onlinelibrary.wiley.com/doi/pdfdirect/10.15252/embj.201490706,https://doi.org/10.15252/embj.201490706
The EMBO Journal,embo_journal_v34_i11,2015,34,11,10.15252/embj.201590973,PMC4474527,https://openalex.org/W1996896283,Synthetic viability genomic screening defines Sae2 function in DNA repair,Fabio Puddu et al.,article,hybrid,https://link.springer.com/content/pdf/10.15252/embj.201590973.pdf,https://link.springer.com/content/pdf/10.15252/embj.201590973.pdf,https://doi.org/10.15252/embj.201590973
