source,unit_id,unit_type,year,unit_date,unit_label,unit_url,n_items_total
The European Physical Journal C,epj_c_1979_v1_i1,journal_issue,1979,1979-03-01,"vol. 1, issue 1",https://doi.org/10.1007/bf01450386,14
The European Physical Journal C,epj_c_1979_v1_i2,journal_issue,1979,1979-06-01,"vol. 1, issue 2",https://doi.org/10.1007/bf01445406,13
The European Physical Journal C,epj_c_1979_v1_i3,journal_issue,1979,1979-09-01,"vol. 1, issue 3",https://doi.org/10.1007/bf01440226,9
The European Physical Journal C,epj_c_1979_v1_i4,journal_issue,1979,1979-12-01,"vol. 1, issue 4",https://doi.org/10.1007/bf01546973,11
The European Physical Journal C,epj_c_1979_v2_i1,journal_issue,1979,1979-03-01,"vol. 2, issue 1",https://doi.org/10.1007/bf01546237,15
The European Physical Journal C,epj_c_1979_v2_i2,journal_issue,1979,1979-06-01,"vol. 2, issue 2",https://doi.org/10.1007/bf01474124,11
The European Physical Journal C,epj_c_1979_v2_i3,journal_issue,1979,1979-09-01,"vol. 2, issue 3",https://doi.org/10.1007/bf01474667,13
The European Physical Journal C,epj_c_1979_v2_i4,journal_issue,1979,1979-12-01,"vol. 2, issue 4",https://doi.org/10.1007/bf01545897,17
The European Physical Journal C,epj_c_1979_v3_i1,journal_issue,1979,1979-03-01,"vol. 3, issue 1",https://doi.org/10.1007/bf01577392,11
The European Physical Journal C,epj_c_1979_v3_i2,journal_issue,1979,1979-06-01,"vol. 3, issue 2",https://doi.org/10.1007/bf01443698,11
The European Physical Journal C,epj_c_1980_v3_i3,journal_issue,1980,1980-09-01,"vol. 3, issue 3",https://doi.org/10.1007/bf01577421,12
The European Physical Journal C,epj_c_1980_v3_i4,journal_issue,1980,1980-12-01,"vol. 3, issue 4",https://doi.org/10.1007/bf01414185,16
The European Physical Journal C,epj_c_1980_v4_i1,journal_issue,1980,1980-03-01,"vol. 4, issue 1",https://doi.org/10.1007/bf01477308,11
The European Physical Journal C,epj_c_1980_v4_i2,journal_issue,1980,1980-06-01,"vol. 4, issue 2",https://doi.org/10.1007/bf01554396,12
The European Physical Journal C,epj_c_1980_v4_i3,journal_issue,1980,1980-09-01,"vol. 4, issue 3",https://doi.org/10.1007/bf01421804,11
The European Physical Journal C,epj_c_1980_v4_i4,journal_issue,1980,1980-12-01,"vol. 4, issue 4",https://doi.org/10.1007/bf01421570,12
The European Physical Journal C,epj_c_1980_v5_i1,journal_issue,1980,1980-03-01,"vol. 5, issue 1",https://doi.org/10.1007/bf01546951,13
The European Physical Journal C,epj_c_1980_v5_i2,journal_issue,1980,1980-06-01,"vol. 5, issue 2",https://doi.org/10.1007/bf01576192,12
The European Physical Journal C,epj_c_1980_v5_i3,journal_issue,1980,1980-09-01,"vol. 5, issue 3",https://doi.org/10.1007/bf01421776,14
The European Physical Journal C,epj_c_1980_v5_i4,journal_issue,1980,1980-12-01,"vol. 5, issue 4",https://doi.org/10.1007/bf01557823,15
The European Physical Journal C,epj_c_1980_v6_i1,journal_issue,1980,1980-03-01,"vol. 6, issue 1",https://doi.org/10.1007/bf01427923,15
The European Physical Journal C,epj_c_1980_v6_i2,journal_issue,1980,1980-06-01,"vol. 6, issue 2",https://doi.org/10.1007/bf01588844,12
The European Physical Journal C,epj_c_1980_v6_i3,journal_issue,1980,1980-09-01,"vol. 6, issue 3",https://doi.org/10.1007/bf01557773,11
The European Physical Journal C,epj_c_1980_v6_i4,journal_issue,1980,1980-12-01,"vol. 6, issue 4",https://doi.org/10.1007/bf01474803,12
The European Physical Journal C,epj_c_1980_v7_i1,journal_issue,1980,1980-03-01,"vol. 7, issue 1",https://doi.org/10.1007/bf01577321,13
The European Physical Journal C,epj_c_1981_v10_i1,journal_issue,1981,1981-03-01,"vol. 10, issue 1",https://doi.org/10.1007/bf01545787,13
The European Physical Journal C,epj_c_1981_v10_i2,journal_issue,1981,1981-06-01,"vol. 10, issue 2",https://doi.org/10.1007/bf01547482,14
The European Physical Journal C,epj_c_1981_v10_i3,journal_issue,1981,1981-09-01,"vol. 10, issue 3",https://doi.org/10.1007/bf01549736,12
The European Physical Journal C,epj_c_1981_v10_i4,journal_issue,1981,1981-12-01,"vol. 10, issue 4",https://doi.org/10.1007/bf01546200,13
The European Physical Journal C,epj_c_1981_v11_i1,journal_issue,1981,1981-03-01,"vol. 11, issue 1",https://doi.org/10.1007/bf01571559,11
The European Physical Journal C,epj_c_1981_v11_i2,journal_issue,1981,1981-06-01,"vol. 11, issue 2",https://doi.org/10.1007/bf01573998,15
The European Physical Journal C,epj_c_1981_v11_i3,journal_issue,1981,1981-09-01,"vol. 11, issue 3",https://doi.org/10.1007/bf01545680,12
The European Physical Journal C,epj_c_1981_v7_i2,journal_issue,1981,1981-06-01,"vol. 7, issue 2",https://doi.org/10.1007/bf01555760,11
The European Physical Journal C,epj_c_1981_v7_i3,journal_issue,1981,1981-09-01,"vol. 7, issue 3",https://doi.org/10.1007/bf01436312,16
The European Physical Journal C,epj_c_1981_v7_i4,journal_issue,1981,1981-12-01,"vol. 7, issue 4",https://doi.org/10.1007/bf01431564,10
The European Physical Journal C,epj_c_1981_v8_i1,journal_issue,1981,1981-03-01,"vol. 8, issue 1",https://doi.org/10.1007/bf01429835,19
The European Physical Journal C,epj_c_1981_v8_i2,journal_issue,1981,1981-06-01,"vol. 8, issue 2",https://doi.org/10.1007/bf01547873,14
The European Physical Journal C,epj_c_1981_v8_i3,journal_issue,1981,1981-09-01,"vol. 8, issue 3",https://doi.org/10.1007/bf01545628,16
The European Physical Journal C,epj_c_1981_v8_i4,journal_issue,1981,1981-12-01,"vol. 8, issue 4",https://doi.org/10.1007/bf01546328,9
The European Physical Journal C,epj_c_1981_v9_i1,journal_issue,1981,1981-03-01,"vol. 9, issue 1",https://doi.org/10.1007/bf01554111,14
The European Physical Journal C,epj_c_1981_v9_i2,journal_issue,1981,1981-06-01,"vol. 9, issue 2",https://doi.org/10.1007/bf01410645,1
The European Physical Journal C,epj_c_1981_v9_i2_3,journal_issue,1981,1981-06-01,"vol. 9, issue 2-3",https://doi.org/10.1007/bf01410668,25
The European Physical Journal C,epj_c_1981_v9_i4,journal_issue,1981,1981-12-01,"vol. 9, issue 4",https://doi.org/10.1007/bf01548770,13
The European Physical Journal C,epj_c_1982_v11_i4,journal_issue,1982,1982-12-01,"vol. 11, issue 4",https://doi.org/10.1007/bf01578280,9
The European Physical Journal C,epj_c_1982_v12_i1,journal_issue,1982,1982-03-01,"vol. 12, issue 1",https://doi.org/10.1007/bf01475732,14
The European Physical Journal C,epj_c_1982_v12_i2,journal_issue,1982,1982-06-01,"vol. 12, issue 2",https://doi.org/10.1007/bf01548608,14
The European Physical Journal C,epj_c_1982_v12_i3,journal_issue,1982,1982-09-01,"vol. 12, issue 3",https://doi.org/10.1007/bf01558259,11
The European Physical Journal C,epj_c_1982_v12_i4,journal_issue,1982,1982-12-01,"vol. 12, issue 4",https://doi.org/10.1007/bf01557576,12
The European Physical Journal C,epj_c_1982_v13_i1,journal_issue,1982,1982-03-01,"vol. 13, issue 1",https://doi.org/10.1007/bf01553631,14
