source,page_index,archive_url,status_code,content_type,n_results,request_time
Frontiers in Computational Neuroscience,1,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:58:10.136922+00:00
Frontiers in Computational Neuroscience,2,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMjMwNzY4MDAwMDAwLCAnLUluZmluaXR5JywgMCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cxMTkzNDUyMDUnXSI%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:58:11.693002+00:00
Frontiers in Computational Neuroscience,3,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMjYyMzA0MDAwMDAwLCA5NC4wLCAzLCAnaHR0cHM6Ly9vcGVuYWxleC5vcmcvVzIwOTU1OTY3NzEnXSI%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:58:13.247142+00:00
Frontiers in Computational Neuroscience,4,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMjkzODQwMDAwMDAwLCA5Ny4wLCAxNiwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMTQyMzg1MzI5J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:58:14.846534+00:00
Frontiers in Computational Neuroscience,5,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMjkzODQwMDAwMDAwLCAnLUluZmluaXR5JywgMCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMzI5NTc4NzM2J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:58:16.314349+00:00
Frontiers in Computational Neuroscience,6,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzI1Mzc2MDAwMDAwLCAnLUluZmluaXR5JywgMCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMzEyNDk2MTg1J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:58:18.196432+00:00
Frontiers in Computational Neuroscience,7,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzI1Mzc2MDAwMDAwLCAnLUluZmluaXR5JywgMCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMzM0MDQzNzMwJ10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:58:19.933761+00:00
Frontiers in Computational Neuroscience,8,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMzU2OTk4NDAwMDAwLCA5Ni4wLCA1LCAnaHR0cHM6Ly9vcGVuYWxleC5vcmcvVzE1NzA3NTQyMzQnXSI%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:58:21.508987+00:00
Frontiers in Computational Neuroscience,9,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDE5MjkyODAwMDAwLCA5OC4wLCAxMCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMDYxNjAwNDU5J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:58:23.183650+00:00
Frontiers in Computational Neuroscience,10,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDU0ODg5NjAwMDAwLCA5Ny4wLCAxNiwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMzA0NzE0MzI1J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:58:24.739523+00:00
Frontiers in Computational Neuroscience,11,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNDk5NzMxMjAwMDAwLCA5OS4wLCAyNSwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyNzM1ODE3NzcyJ10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:58:26.345753+00:00
Frontiers in Computational Neuroscience,12,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxNTU3MzYwMDAwMDAwLCA5Ny4wLCA0LCAnaHR0cHM6Ly9vcGVuYWxleC5vcmcvVzI5NDQ1NzA3NTMnXSI%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:58:27.968751+00:00
