source,unit_id,unit_type,year,unit_date,unit_label,unit_url,landing_page_url,source_url,title,summary,authors,oa_marker,pdf_url,doi,openalex_id,source_item_id,paper_type,venue_section,concepts,referenced_works_count,cited_by_count
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_1900_v4,journal_volume_or_batch,1900,1900-01-01,vol. 4,https://doi.org/10.3389/conf.fnins.2010.01.00024,https://doi.org/10.3389/conf.fnins.2010.01.00024,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Why we need a more realistic muscle model for optimal control theory: Lessons from a deafferented patient,,Diedrichsen Joern,hybrid;is_oa,,10.3389/conf.fnins.2010.01.00024,https://openalex.org/W2323015771,https://openalex.org/W2323015771,article,,Control (management); Computer science; Physical medicine and rehabilitation; Psychology; Neuroscience; Cognitive psychology; Cognitive science; Medicine; Artificial intelligence,0,0
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_1970_01_batch,official_article_batch,1970,1970-01-01,article batch 1970-01,https://doi.org/10.3389/conf.neuro.10.2008.01.090,https://doi.org/10.3389/conf.neuro.10.2008.01.090,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Coding of speech into nerve-action potentials,,Werner Wang,hybrid;is_oa,,10.3389/conf.neuro.10.2008.01.090,https://openalex.org/W1992495850,https://openalex.org/W1992495850,article,,Computer science; Cochlear nucleus; Speech recognition; Information processing; Millisecond; Coding (social sciences); Speech processing; Artificial intelligence; Neuroscience; Psychology; Brainstem; Astronomy,0,0
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_1970_01_batch,official_article_batch,1970,1970-01-01,article batch 1970-01,http://doi.org/10.3389/conf.neuro.10.2009.14.168,http://doi.org/10.3389/conf.neuro.10.2009.14.168,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Unsupervised learning of object identities and their parts in a hierarchical visual memory,,Jenia Jitsev; Christoph von der Malsburg,closed,,10.3389/conf.neuro.10.2009.14.168,https://openalex.org/W4236350285,https://openalex.org/W4236350285,article,,Object (grammar); Computer science; Artificial intelligence; Unsupervised learning; Cognitive science; Cognitive psychology; Psychology,0,0
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_1972_v16,journal_volume_or_batch,1972,1972-10-01,vol. 16,https://eric.ed.gov/?id=ED069148,https://eric.ed.gov/?id=ED069148,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Computer Programs for Plotting Spot-Beam Coverages from an Earth-Synchronous Satellite and Earth-Station Antenna Elevation Angle Contours. Memorandum Number 72/4.,,T. W. Stagl; Jai Prakash Singh,closed,,10.3389/fncom.2022.915477,https://openalex.org/W36082304,https://openalex.org/W36082304,article,,Elevation angle; Memorandum; Geodesy; Satellite; Elevation (ballistics); Earth (classical element); Geology; Remote sensing; Beam (structure); Telecommunications; Computer science; Geography,0,0
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_1984_v6,journal_volume_or_batch,1984,1984-01-01,vol. 6,https://deepblue.lib.umich.edu/handle/2027.42/3993,https://deepblue.lib.umich.edu/handle/2027.42/3993,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,User manual for ZIP : a Z80 assembly language interpreter program,,Gregory D. Buzzard; Trevor Mudge,green;is_oa,,10.3389/fncom.2012.00091,https://openalex.org/W23162459,https://openalex.org/W23162459,article,,Interpreter; Computer science; Programming language; Natural language processing,0,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_1997_v11,journal_volume_or_batch,1997,1997-03-01,vol. 11,http://files.eric.ed.gov/fulltext/ED411719.pdf,http://files.eric.ed.gov/fulltext/ED411719.pdf,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Memorable Events in the Classroom: Types of Knowledge Influencing Professors' Classroom Teaching.,,Timothy J. Rahilly; Alenoush Saroyan,closed,,10.3389/fncom.2017.00090,https://openalex.org/W29033811,https://openalex.org/W29033811,article,,Mathematics education; Pedagogy; Teaching method; Psychology,0,5
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_1998_v12,journal_volume_or_batch,1998,1998-01-01,vol. 12,https://ruc.udc.es/dspace/handle/2183/10883,https://ruc.udc.es/dspace/handle/2183/10883,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,El sonido en textos de la Educación Secundaria Obligatoria,,Jesus Perez Ceballos; Angelo Galotti; Corina Varela Calvo; José Antonio Talavera Sosa,closed,,10.3389/fncom.2018.00048,https://openalex.org/W30034330,https://openalex.org/W30034330,article,,Secondary education; Humanities; Art; Psychology; Pedagogy,5,0
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_1999_v10,journal_volume_or_batch,1999,1999-01-01,vol. 10,https://ro.uow.edu.au/cgi/viewcontent.cgi?article=1003&context=labour1999,https://ro.uow.edu.au/cgi/viewcontent.cgi?article=1003&context=labour1999,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,"Exploring Peak Union Purpose and Power: The Origins, Hegemony and Decline of the Barrier Industrial Council",,Bradon Ellem; John Shields,green;is_oa,,10.3389/fncom.2016.00040,https://openalex.org/W27199726,https://openalex.org/W27199726,article,,Hegemony; Power (physics); Political science; Political economy; Economics; Politics; Law; Physics; Quantum mechanics,0,0
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2002_v7,journal_volume_or_batch,2002,2002-01-01,vol. 7,http://www.diva-portal.org/smash/record.jsf?pid=diva2:886456,http://www.diva-portal.org/smash/record.jsf?pid=diva2:886456,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,LCA as a dynamic tool for environmental design-exemplified by an analysis of an energy-system with a superheated steam-dryer integraded in a local district heat and power plant,,Hans Björk; Anders Rasmusson,closed,,10.3389/fncom.2013.00158,https://openalex.org/W24273508,https://openalex.org/W24273508,article,,Superheated steam; Steam-electric power station; Power station; Thermal power station; Process engineering; Environmental science; Waste management; Engineering; Superheating; Economic analysis; Heat recovery steam generator; Combined cycle,0,0
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2003_v16,journal_volume_or_batch,2003,2003-01-01,vol. 16,https://scholarworks.wmich.edu/cgi/viewcontent.cgi?article=2146&context=honors_theses,https://scholarworks.wmich.edu/cgi/viewcontent.cgi?article=2146&context=honors_theses,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS19778766%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Is the PDA Ubiquitous? A Contemporary Look at PDA Use in Southwest Michigan,,Mandy Lentz,closed,,10.3389/fncom.2022.876315,https://openalex.org/W35573264,https://openalex.org/W35573264,article,,Computer science; Geography; Internet privacy,1,0
