source,unit_id,unit_type,year,unit_date,unit_label,unit_url,n_items_total
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_1900_v4,journal_volume_or_batch,1900,1900-01-01,vol. 4,https://doi.org/10.3389/conf.fnins.2010.01.00024,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_1970_01_batch,official_article_batch,1970,1970-01-01,article batch 1970-01,https://doi.org/10.3389/conf.neuro.10.2008.01.090,2
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_1972_v16,journal_volume_or_batch,1972,1972-10-01,vol. 16,https://eric.ed.gov/?id=ED069148,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_1984_v6,journal_volume_or_batch,1984,1984-01-01,vol. 6,https://deepblue.lib.umich.edu/handle/2027.42/3993,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_1997_v11,journal_volume_or_batch,1997,1997-03-01,vol. 11,http://files.eric.ed.gov/fulltext/ED411719.pdf,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_1998_v12,journal_volume_or_batch,1998,1998-01-01,vol. 12,https://ruc.udc.es/dspace/handle/2183/10883,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_1999_v10,journal_volume_or_batch,1999,1999-01-01,vol. 10,https://ro.uow.edu.au/cgi/viewcontent.cgi?article=1003&context=labour1999,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2002_v7,journal_volume_or_batch,2002,2002-01-01,vol. 7,http://www.diva-portal.org/smash/record.jsf?pid=diva2:886456,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2003_v16,journal_volume_or_batch,2003,2003-01-01,vol. 16,https://scholarworks.wmich.edu/cgi/viewcontent.cgi?article=2146&context=honors_theses,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2004_v17,journal_volume_or_batch,2004,2004-01-01,vol. 17,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=1695&context=iracc,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2005_v4,journal_volume_or_batch,2005,2005-01-01,vol. 4,https://www.ncbi.nlm.nih.gov/books/NBK22885/,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2006_v11,journal_volume_or_batch,2006,2006-01-01,vol. 11,https://philpapers.org/rec/BEVICI,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2006_v12,journal_volume_or_batch,2006,2006-01-01,vol. 12,https://espace.library.uq.edu.au/view/UQ:104868,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2006_v14,journal_volume_or_batch,2006,2006-01-01,vol. 14,https://uwaterloo.ca/combinatorics-and-optimization/sites/ca.combinatorics-and-optimization/files/uploads/files/zhou-z.pdf,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2006_v14_i14,journal_issue,2006,2006-01-01,"vol. 14, issue 14",https://biblat.unam.mx/es/revista/iter-santiago/articulo/la-fundamentacion-holista-de-la-estructura-fisico-metafisica-de-la-belleza-en-heraclito-y-sus-niveles-de-realizacion,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2006_v9,journal_volume_or_batch,2006,2006-01-01,vol. 9,http://www.theses.fr/2006GRE39040,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2007_v1,journal_volume_or_batch,2007,2007-01-01,vol. 1,https://doi.org/10.3389/neuro.10.006.2007,8
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2008_01_batch,official_article_batch,2008,2008-01-01,article batch 2008-01,https://cir.nii.ac.jp/ja/crid/1010000782034290465,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2008_v16,journal_volume_or_batch,2008,2008-01-01,vol. 16,https://www.rand.org/pubs/monographs/MG738.html,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2008_v2,journal_volume_or_batch,2008,2008-01-01,vol. 2,https://doi.org/10.3389/neuro.10.009.2008,123
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2008_v7,journal_volume_or_batch,2008,2008-01-01,vol. 7,https://espace.library.uq.edu.au/view/UQ:176908,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2009_v3,journal_volume_or_batch,2009,2009-01-01,vol. 3,https://doi.org/10.3389/neuro.10.023.2009,190
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2010_v1,journal_volume_or_batch,2010,2010-01-01,vol. 1,https://doi.org/10.3389/fncom.2010.00130,2
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2010_v4,journal_volume_or_batch,2010,2010-01-01,vol. 4,https://doi.org/10.3389/fncom.2010.00019,212
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2011_v10,journal_volume_or_batch,2011,2011-01-01,vol. 10,http://irep.iium.edu.my/19005/,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2011_v4,journal_volume_or_batch,2011,2011-01-01,vol. 4,https://doi.org/10.3389/fncom.2010.00159,4
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2011_v5,journal_volume_or_batch,2011,2011-01-01,vol. 5,https://doi.org/10.3389/fncom.2011.00005,289
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2011_v7,journal_volume_or_batch,2011,2011-11-21,vol. 7,https://www.utas.edu.au/zoology/research/comparative-endocrinology-and-ecophysiology/dynamics-of-ovarian-development-in-temperate-climate-skinks,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2011_v8,journal_volume_or_batch,2011,2011-01-01,vol. 8,https://trace.tennessee.edu/cgi/viewcontent.cgi?article=1934&context=utk_gradthes,2
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2012_v5,journal_volume_or_batch,2012,2012-01-01,vol. 5,https://doi.org/10.3389/fncom.2011.00062,4
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2012_v6,journal_volume_or_batch,2012,2012-01-01,vol. 6,https://doi.org/10.3389/fncom.2012.00044,367
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2012_v6_i34,journal_issue,2012,2012-01-01,"vol. 6, issue 34",https://ivi.fnwi.uva.nl/isis/publications/2012/GroenFCN2012,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2013_v15,journal_volume_or_batch,2013,2013-01-01,vol. 15,https://digitalcommons.linfield.edu/owha_bradley_interview/1/,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2013_v6,journal_volume_or_batch,2013,2013-01-01,vol. 6,https://doi.org/10.3389/fncom.2012.00097,6
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2013_v7,journal_volume_or_batch,2013,2013-01-01,vol. 7,https://doi.org/10.3389/fncom.2013.00013,193
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2013_v7_ijul,journal_issue,2013,2013-01-01,"vol. 7, issue JUL",https://doi.org/10.3389/fncom.2013.00101,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2014_v5,journal_volume_or_batch,2014,2014-12-19,vol. 5,https://doi.org/10.3389/fncom.2014.00167,1
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2014_v7,journal_volume_or_batch,2014,2014-01-01,vol. 7,https://doi.org/10.3389/fncom.2013.00193,8
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2014_v8,journal_volume_or_batch,2014,2014-01-01,vol. 8,https://doi.org/10.3389/fncom.2014.00001,165
Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_2014_v8_imar,journal_issue,2014,2014-03-04,"vol. 8, issue MAR",https://doi.org/10.3389/fncom.2014.00018,1
