source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
Genome Research,genome_research_v10_i10,2000,10,10,10.1101/gr.145100,PMC310980,https://openalex.org/W1998746328,Normalization and Subtraction of Cap-Trapper-Selected cDNAs to Prepare Full-Length cDNA Libraries for Rapid Discovery of New Genes,Piero Carninci et al.,article,bronze,https://genome.cshlp.org/content/10/10/1617.full.pdf,https://genome.cshlp.org/content/10/10/1617.full.pdf,https://doi.org/10.1101/gr.145100
Genome Research,genome_research_v10_i10,2000,10,10,10.1101/gr.147400,PMC310966,https://openalex.org/W2120527610,"HEAT Repeats Associated with Condensins, Cohesins, and Other Complexes Involved in Chromosome-Related Functions",Andrew F. Neuwald; Tatsuya Hirano,article,hybrid,https://genome.cshlp.org/content/10/10/1445.full.pdf,https://genome.cshlp.org/content/10/10/1445.full.pdf,https://doi.org/10.1101/gr.147400
Genome Research,genome_research_v10_i10,2000,10,10,10.1101/gr.122800,PMC310940,https://openalex.org/W1864675704,An Assessment of Gene Prediction Accuracy in Large DNA Sequences,Roderic Guigó; Pankaj Agarwal; Josep F. Abril; Moisès Burset; James W. Fickett,article,bronze,https://genome.cshlp.org/content/10/10/1631.full.pdf,https://genome.cshlp.org/content/10/10/1631.full.pdf,https://doi.org/10.1101/gr.122800
Genome Research,genome_research_v10_i10,2000,10,10,10.1101/gr.150300,PMC310947,https://openalex.org/W1965346111,"Molecular Genetic Maps in Wild Emmer Wheat, <i>Triticum dicoccoides</i>: Genome-Wide Coverage, Massive Negative Interference, and Putative Quasi-Linkage",Junhua Peng et al.,article,hybrid,https://genome.cshlp.org/content/10/10/1509.full.pdf,https://genome.cshlp.org/content/10/10/1509.full.pdf,https://doi.org/10.1101/gr.150300
Genome Research,genome_research_v10_i10,2000,10,10,10.1101/gr.140200,PMC310934,https://openalex.org/W2097506454,Cloning and Functional Analysis of cDNAs with Open Reading Frames for 300 Previously Undefined Genes Expressed in CD34+ Hematopoietic Stem/Progenitor Cells,Qinghua Zhang et al.,article,hybrid,https://genome.cshlp.org/content/10/10/1546.full.pdf,https://genome.cshlp.org/content/10/10/1546.full.pdf,https://doi.org/10.1101/gr.140200
Genome Research,genome_research_v10_i10,2000,10,10,10.1101/gr.146900,PMC310963,https://openalex.org/W2169484904,Sequence Diversity and Large-Scale Typing of SNPs in the Human Apolipoprotein E Gene,Deborah A. Nickerson et al.,article,bronze,https://genome.cshlp.org/content/10/10/1532.full.pdf,https://genome.cshlp.org/content/10/10/1532.full.pdf,https://doi.org/10.1101/gr.146900
Genome Research,genome_research_v10_i10,2000,10,10,10.1101/gr.147000,PMC310941,https://openalex.org/W2166885305,Maternal Environment and Genotype Interact to Establish Diabesity in Mice,Peter C. Reifsnyder; Gary A. Churchill; Edward H. Leiter,article,bronze,https://genome.cshlp.org/content/10/10/1568.full.pdf,https://genome.cshlp.org/content/10/10/1568.full.pdf,https://doi.org/10.1101/gr.147000
Genome Research,genome_research_v10_i10,2000,10,10,10.1101/gr.145600,,https://openalex.org/W2015548400,Biosynthesis of Isoprenoids via Mevalonate in Archaea: The Lost Pathway,Arian F. A. Smit; Arcady Mushegian,article,bronze,https://genome.cshlp.org/content/10/10/1468.full.pdf,https://genome.cshlp.org/content/10/10/1468.full.pdf,https://doi.org/10.1101/gr.145600
Genome Research,genome_research_v10_i10,2000,10,10,10.1101/gr.149400,PMC310943,https://openalex.org/W2141382746,Reading between the LINEs: Human Genomic Variation Induced by LINE-1 Retrotransposition,Fang-miin Sheen et al.,article,bronze,https://genome.cshlp.org/content/10/10/1496.full.pdf,https://genome.cshlp.org/content/10/10/1496.full.pdf,https://doi.org/10.1101/gr.149400
Genome Research,genome_research_v10_i10,2000,10,10,10.1101/gr.152300,,https://openalex.org/W2013382620,Potential Gene Conversion and Source Genes for Recently Integrated Alu Elements,Astrid M. Roy et al.,article,bronze,https://genome.cshlp.org/content/10/10/1485.full.pdf,https://genome.cshlp.org/content/10/10/1485.full.pdf,https://doi.org/10.1101/gr.152300
Genome Research,genome_research_v10_i10,2000,10,10,10.1101/gr.127200,PMC310975,https://openalex.org/W2160807401,SNP Profile within the Human Major Histocompatibility Complex Reveals an Extreme and Interrupted Level of Nucleotide Diversity,Silvana Gaudieri; Roger L. Dawkins; Kaori Habara; Jerzy K. Kulski; Takashi Gojobori,article,bronze,https://genome.cshlp.org/content/10/10/1579.full.pdf,https://genome.cshlp.org/content/10/10/1579.full.pdf,https://doi.org/10.1101/gr.127200
Genome Research,genome_research_v10_i10,2000,10,10,10.1101/gr.144100,PMC310936,https://openalex.org/W1992138124,Organization of Mouse <i>Iroquois</i> Homeobox Genes in Two Clusters Suggests a Conserved Regulation and Function in Vertebrate Development,Thomas Peters; Renate Dildrop; Katrin Ausmeier; Ulrich Rüther,article,bronze,http://genome.cshlp.org/content/10/10/1453.full.pdf,http://genome.cshlp.org/content/10/10/1453.full.pdf,https://doi.org/10.1101/gr.144100
Genome Research,genome_research_v10_i10,2000,10,10,10.1101/gr.124000,PMC310945,https://openalex.org/W2112769025,Analyzing DNA Strand Compositional Asymmetry to Identify Candidate Replication Origins of <i>Borrelia burgdorferi</i> Linear and Circular Plasmids,Mathieu Picardeau; Jean R. Lobry; B. Joseph Hinnebusch,article,bronze,https://genome.cshlp.org/content/10/10/1594.full.pdf,https://genome.cshlp.org/content/10/10/1594.full.pdf,https://doi.org/10.1101/gr.124000
