source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
JAMA,jama_v313_i1,2015,313,1,10.1001/jama.2014.16107,PMC4306335,https://openalex.org/W2006165608,Association Between 7 Years of Intensive Treatment of Type 1 Diabetes and Long-term Mortality,Trevor J. Orchard et al.,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4306335,https://pmc.ncbi.nlm.nih.gov/articles/PMC4306335/pdf/,https://doi.org/10.1001/jama.2014.16107
JAMA,jama_v313_i10,2015,313,10,10.1001/jama.2015.1410,PMC4760618,https://openalex.org/W2006964749,Readmission Diagnoses After Hospitalization for Severe Sepsis and Other Acute Medical Conditions,Hallie C. Prescott; Kenneth M. Langa; Theodore J. Iwashyna,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4760618,https://pmc.ncbi.nlm.nih.gov/articles/PMC4760618/pdf/,https://doi.org/10.1001/jama.2015.1410
JAMA,jama_v313_i11,2015,313,11,10.1001/jama.2015.1697,PMC5897692,https://openalex.org/W2092197509,Reporting of Noninferiority Trials in ClinicalTrials.gov and Corresponding Publications,Anand Gopal; Nihar R. Desai; Tony Tse; Joseph S. Ross,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/5897692,https://pmc.ncbi.nlm.nih.gov/articles/PMC5897692/pdf/,https://doi.org/10.1001/jama.2015.1697
JAMA,jama_v313_i12,2015,313,12,10.1001/jama.2015.1373,PMC7780246,https://openalex.org/W2030470608,Virologic Response Following Combined Ledipasvir and Sofosbuvir Administration in Patients With HCV Genotype 1 and HIV Co-infection,Anu Osinusi et al.,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/7780246,https://pmc.ncbi.nlm.nih.gov/articles/PMC7780246/pdf/,https://doi.org/10.1001/jama.2015.1373
JAMA,jama_v313_i12,2015,313,12,10.1001/jama.2015.1995,PMC4874522,https://openalex.org/W2146500588,Emergency Postexposure Vaccination With Vesicular Stomatitis Virus–Vectored Ebola Vaccine After Needlestick,Lilin Lai et al.,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4874522,https://pmc.ncbi.nlm.nih.gov/articles/PMC4874522/pdf/,https://doi.org/10.1001/jama.2015.1995
JAMA,jama_v313_i14,2015,313,14,10.1001/jama.2015.2252,PMC4479128,https://openalex.org/W2000920973,Data Breaches of Protected Health Information in the United States,Vincent Liu; Mark A. Musen; Timothy Chou,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4479128,https://pmc.ncbi.nlm.nih.gov/articles/PMC4479128/pdf/,https://doi.org/10.1001/jama.2015.2252
JAMA,jama_v313_i15,2015,313,15,10.1001/jama.2015.3150,PMC9078140,https://openalex.org/W2162520210,Effect of Parent Training vs Parent Education on Behavioral Problems in Children With Autism Spectrum Disorder,Karen Bearss et al.,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/9078140,https://pmc.ncbi.nlm.nih.gov/articles/PMC9078140/pdf/,https://doi.org/10.1001/jama.2015.3150
JAMA,jama_v313_i15,2015,313,15,10.1001/jama.2015.3253,PMC4942841,https://openalex.org/W2050419057,Outcomes Following Gene Therapy in Patients With Severe Wiskott-Aldrich Syndrome,Salima Hacein-Bey Abina et al.,article,green,http://hdl.handle.net/11380/1199449,https://pmc.ncbi.nlm.nih.gov/articles/PMC4942841/pdf/,https://doi.org/10.1001/jama.2015.3253
JAMA,jama_v313_i15,2015,313,15,10.1001/jama.2014.17488,PMC7990125,https://openalex.org/W1997113840,Newborn Screening,Donald B. Bailey; Lisa M. Gehtland,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/7990125,https://pmc.ncbi.nlm.nih.gov/articles/PMC7990125/pdf/,https://doi.org/10.1001/jama.2014.17488
JAMA,jama_v313_i16,2015,313,16,10.1001/jama.2015.1846,PMC12331224,https://openalex.org/W1978943854,Induced Pluripotent Stem Cells,Kitchener D. Wilson; Joseph C. Wu,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/12331224,https://pmc.ncbi.nlm.nih.gov/articles/PMC12331224/pdf/,https://doi.org/10.1001/jama.2015.1846
JAMA,jama_v313_i18,2015,313,18,10.1001/jama.2015.3576,PMC4751049,https://openalex.org/W1508533827,The Role of Maintenance of Certification Programs in Governance and Professionalism,Paul S. Teirstein; Eric J. Topol,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4751049,https://pmc.ncbi.nlm.nih.gov/articles/PMC4751049/pdf/,https://doi.org/10.1001/jama.2015.3576
JAMA,jama_v313_i19,2015,313,19,10.1001/jama.2015.4468,PMC5875432,https://openalex.org/W2163722640,Oral Steroids for Acute Radiculopathy Due to a Herniated Lumbar Disk,Harley Goldberg et al.,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/5875432,https://pmc.ncbi.nlm.nih.gov/articles/PMC5875432/pdf/,https://doi.org/10.1001/jama.2015.4468
JAMA,jama_v313_i2,2015,313,2,10.1001/jama.2014.17822,PMC4334115,https://openalex.org/W2157914492,Association Between Asthma and Risk of Developing Obstructive Sleep Apnea,Mihaela Teodorescu; Jodi H. Barnet; Erika W. Hagen; Mari Palta; Terry Young; Paul E. Peppard,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4334115,https://pmc.ncbi.nlm.nih.gov/articles/PMC4334115/pdf/,https://doi.org/10.1001/jama.2014.17822
JAMA,jama_v313_i2,2015,313,2,10.1001/jama.2014.16969,PMC4573538,https://openalex.org/W2120723865,"Community-Wide Cardiovascular Disease Prevention Programs and Health Outcomes in a Rural County, 1970-2010",N. Burgess Record et al.,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4573538,https://pmc.ncbi.nlm.nih.gov/articles/PMC4573538/pdf/,https://doi.org/10.1001/jama.2014.16969
JAMA,jama_v313_i2,2015,313,2,10.1001/jama.2014.16736,PMC5101937,https://openalex.org/W2126767320,Exceptional Opportunities in Medical Science,Francis S. Collins,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/5101937,https://pmc.ncbi.nlm.nih.gov/articles/PMC5101937/pdf/,https://doi.org/10.1001/jama.2014.16736
