source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
JAMA,jama_v313_i1,journal_issue,2015,313,1,1,
JAMA,jama_v313_i10,journal_issue,2015,313,10,1,
JAMA,jama_v313_i11,journal_issue,2015,313,11,1,
JAMA,jama_v313_i12,journal_issue,2015,313,12,2,
JAMA,jama_v313_i14,journal_issue,2015,313,14,1,
JAMA,jama_v313_i15,journal_issue,2015,313,15,3,
JAMA,jama_v313_i16,journal_issue,2015,313,16,1,
JAMA,jama_v313_i18,journal_issue,2015,313,18,1,
JAMA,jama_v313_i19,journal_issue,2015,313,19,1,
JAMA,jama_v313_i2,journal_issue,2015,313,2,3,
JAMA,jama_v313_i20,journal_issue,2015,313,20,3,
JAMA,jama_v313_i22,journal_issue,2015,313,22,1,
JAMA,jama_v313_i23,journal_issue,2015,313,23,1,
JAMA,jama_v313_i3,journal_issue,2015,313,3,1,
JAMA,jama_v313_i4,journal_issue,2015,313,4,3,
JAMA,jama_v313_i6,journal_issue,2015,313,6,1,
JAMA,jama_v314_i1,journal_issue,2015,314,1,2,
JAMA,jama_v314_i10,journal_issue,2015,314,10,1,
JAMA,jama_v314_i11,journal_issue,2015,314,11,1,
JAMA,jama_v314_i12,journal_issue,2015,314,12,2,
JAMA,jama_v314_i15,journal_issue,2015,314,15,6,
JAMA,jama_v314_i17,journal_issue,2015,314,17,4,
JAMA,jama_v314_i18,journal_issue,2015,314,18,2,
JAMA,jama_v314_i19,journal_issue,2015,314,19,1,
JAMA,jama_v314_i2,journal_issue,2015,314,2,2,
JAMA,jama_v314_i21,journal_issue,2015,314,21,2,
JAMA,jama_v314_i4,journal_issue,2015,314,4,1,
JAMA,jama_v314_i5,journal_issue,2015,314,5,2,
JAMA,jama_v314_i7,journal_issue,2015,314,7,1,
JAMA,jama_v314_i8,journal_issue,2015,314,8,3,
JAMA,jama_v314_i9,journal_issue,2015,314,9,2,
JAMA,jama_v315_i1,journal_issue,2016,315,1,1,
JAMA,jama_v315_i12,journal_issue,2016,315,12,4,
JAMA,jama_v315_i13,journal_issue,2016,315,13,2,
JAMA,jama_v315_i14,journal_issue,2016,315,14,1,
JAMA,jama_v315_i15,journal_issue,2016,315,15,3,
JAMA,jama_v315_i16,journal_issue,2016,315,16,2,
JAMA,jama_v315_i18,journal_issue,2016,315,18,1,
JAMA,jama_v315_i19,journal_issue,2016,315,19,3,
JAMA,jama_v315_i20,journal_issue,2016,315,20,2,
JAMA,jama_v315_i21,journal_issue,2016,315,21,4,
JAMA,jama_v315_i22,journal_issue,2016,315,22,3,
JAMA,jama_v315_i23,journal_issue,2016,315,23,3,
JAMA,jama_v315_i24,journal_issue,2016,315,24,3,
JAMA,jama_v315_i3,journal_issue,2016,315,3,2,
JAMA,jama_v315_i4,journal_issue,2016,315,4,3,
JAMA,jama_v315_i5,journal_issue,2016,315,5,2,
JAMA,jama_v315_i7,journal_issue,2016,315,7,1,
JAMA,jama_v315_i8,journal_issue,2016,315,8,2,
JAMA,jama_v315_i9,journal_issue,2016,315,9,2,
JAMA,jama_v316_i1,journal_issue,2016,316,1,2,
JAMA,jama_v316_i11,journal_issue,2016,316,11,2,
JAMA,jama_v316_i12,journal_issue,2016,316,12,1,
JAMA,jama_v316_i13,journal_issue,2016,316,13,3,
JAMA,jama_v316_i15,journal_issue,2016,316,15,1,
JAMA,jama_v316_i17,journal_issue,2016,316,17,4,
JAMA,jama_v316_i18,journal_issue,2016,316,18,2,
JAMA,jama_v316_i19,journal_issue,2016,316,19,1,
JAMA,jama_v316_i2,journal_issue,2016,316,2,3,
JAMA,jama_v316_i20,journal_issue,2016,316,20,2,
JAMA,jama_v316_i21,journal_issue,2016,316,21,1,
JAMA,jama_v316_i24,journal_issue,2016,316,24,2,
