source,page_index,archive_url,status_code,content_type,n_results,request_time
Journal of Cosmology and Astroparticle Physics,1,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:26.012619+00:00
Journal of Cosmology and Astroparticle Physics,2,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMDk2NTg4ODAwMDAwLCA5OC4wLCAxMzYsICdodHRwczovL29wZW5hbGV4Lm9yZy9XMjE2NTYyMjE1MCddIg%3D%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:27.637231+00:00
Journal of Cosmology and Astroparticle Physics,3,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMTM2NzY0ODAwMDAwLCA5OC4wLCA3NiwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMTY0NjY5MjA1J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:29.145078+00:00
Journal of Cosmology and Astroparticle Physics,4,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMTY1NDQ5NjAwMDAwLCA5NC4wLCAxMCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cxOTg0OTczMDgxJ10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:30.758166+00:00
Journal of Cosmology and Astroparticle Physics,5,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMTg3NzQwODAwMDAwLCA5OS4wLCAxMzAsICdodHRwczovL29wZW5hbGV4Lm9yZy9XMTk5MDA0MTgyMCddIg%3D%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:32.371812+00:00
Journal of Cosmology and Astroparticle Physics,6,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMjA4NDc2ODAwMDAwLCA5OC4wLCA0NCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMDg4MjYyODUwJ10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:33.923345+00:00
Journal of Cosmology and Astroparticle Physics,7,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMjI1MDY1NjAwMDAwLCAxMDAuMCwgNzEsICdodHRwczovL29wZW5hbGV4Lm9yZy9XMjAyNDQyMzcxNyddIg%3D%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:35.527721+00:00
Journal of Cosmology and Astroparticle Physics,8,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMjQzNTU1MjAwMDAwLCA5OS4wLCA2OSwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMTM3NTU5MzYwJ10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:37.148290+00:00
Journal of Cosmology and Astroparticle Physics,9,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMjU4MzI5NjAwMDAwLCA5Ny4wLCAxNSwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMDMzNjI0MTI3J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:38.815797+00:00
Journal of Cosmology and Astroparticle Physics,10,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS120662888%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMjc0NDAwMDAwMDAwLCA5Ni4wLCAxNCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMTExMDk4ODA2J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:51:40.605226+00:00
