source,unit_id,unit_type,year,unit_date,unit_label,unit_url,landing_page_url,source_url,title,summary,authors,oa_marker,pdf_url,doi,openalex_id,source_item_id,paper_type,venue_section,concepts,referenced_works_count,cited_by_count
Journal of Machine Learning Research,jmlr_2015_v16_i1,journal_issue_or_year,2015,2015-01-01,"vol. 16, issue 1",https://jmlr.csail.mit.edu/papers/volume16/garcia15a/garcia15a.pdf,https://jmlr.csail.mit.edu/papers/volume16/garcia15a/garcia15a.pdf,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,A comprehensive survey on safe reinforcement learning,,Javier García; Fernando Fernández,source_known_oa;closed;is_oa,https://jmlr.csail.mit.edu/papers/volume16/garcia15a/garcia15a.pdf,,https://openalex.org/W1845972764,https://openalex.org/W1845972764,article,OpenAlex concept filter: Machine learning,Reinforcement learning; Categorization; Computer science; Software deployment; Metric (unit); Reinforcement; Process (computing); Machine learning; Artificial intelligence; Risk analysis (engineering); Engineering; Operations management; Medicine; Structural engineering; Operating system,109,1196
Journal of Machine Learning Research,jmlr_2015,journal_issue_or_year,2015,2015-01-01,year 2015,https://dl.acm.org/doi/10.5555/2789272.2789275,https://dl.acm.org/doi/10.5555/2789272.2789275,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Statistical topological data analysis using persistence landscapes,,BubenikPeter,source_known_oa;closed;is_oa,https://dl.acm.org/doi/10.5555/2789272.2789275,10.5555/2789272.2789275,https://openalex.org/W3015234645,https://openalex.org/W3015234645,article,OpenAlex concept filter: Machine learning,Topological data analysis; Persistence (discontinuity); Computer science; Persistent homology; Space (punctuation); Machine learning; Data mining; Data science; Topology (electrical circuits); Mathematics; Algorithm; Engineering; Combinatorics; Geotechnical engineering; Operating system,,356
Journal of Machine Learning Research,jmlr_2015_v16_i1,journal_issue_or_year,2015,2015-01-01,"vol. 16, issue 1",https://jmlr.csail.mit.edu/papers/volume16/swaminathan15a/swaminathan15a.pdf,https://jmlr.csail.mit.edu/papers/volume16/swaminathan15a/swaminathan15a.pdf,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Batch learning from logged bandit feedback through counterfactual risk minimization,,Adith Swaminathan; Thorsten Joachims,source_known_oa;closed;is_oa,https://jmlr.csail.mit.edu/papers/volume16/swaminathan15a/swaminathan15a.pdf,,https://openalex.org/W1835900096,https://openalex.org/W1835900096,article,OpenAlex concept filter: Machine learning,Computer science; Counterfactual thinking; Empirical risk minimization; Machine learning; Generalization error; Artificial intelligence; Mathematical optimization; Generalization; Recommender system; Estimator; Mathematics; Unsupervised learning; Philosophy; Mathematical analysis; Epistemology; Statistics,33,189
Journal of Machine Learning Research,jmlr_2015_v16_i1,journal_issue_or_year,2015,2015-01-01,"vol. 16, issue 1",https://jmlr.org/papers/volume16/dhillon15a/dhillon15a.pdf,https://jmlr.org/papers/volume16/dhillon15a/dhillon15a.pdf,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Eigenwords: spectral word embeddings,,Paramveer S. Dhillon; Dean P. Foster; Lyle Ungar,source_known_oa;closed;is_oa,https://jmlr.org/papers/volume16/dhillon15a/dhillon15a.pdf,,https://openalex.org/W2183945364,https://openalex.org/W2183945364,article,OpenAlex concept filter: Machine learning,Computer science; Scalability; Word (group theory); Context (archaeology); Artificial intelligence; Machine learning; Algorithm; Theoretical computer science; Mathematics; Database; Geometry; Biology; Paleontology,58,75
Journal of Machine Learning Research,jmlr_2015,journal_issue_or_year,2015,2015-01-01,year 2015,https://dl.acm.org/doi/10.5555/2789272.2886795,https://dl.acm.org/doi/10.5555/2789272.2886795,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,A comprehensive survey on safe reinforcement learning,,GarcíaJavier; FernándezFernando,source_known_oa;closed;is_oa,https://dl.acm.org/doi/10.5555/2789272.2886795,10.5555/2789272.2886795,https://openalex.org/W3003931103,https://openalex.org/W3003931103,article,OpenAlex concept filter: Machine learning,Reinforcement learning; Computer science; Reinforcement; Process (computing); Error-driven learning; Artificial intelligence; Machine learning; Engineering; Operating system; Structural engineering,,62
Journal of Machine Learning Research,jmlr_2015_v16_i1,journal_issue_or_year,2015,2015-01-01,"vol. 16, issue 1",http://jmlr.org/papers/volume16/nakajima15a/nakajima15a.pdf,http://jmlr.org/papers/volume16/nakajima15a/nakajima15a.pdf,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Condition for perfect dimensionality recovery by variational Bayesian PCA,,Shinichi Nakajima; Ryota Tomioka; Masashi Sugiyama; S. Derin Babacan,source_known_oa;closed;is_oa,https://jmlr.org/papers/volume16/nakajima15a/nakajima15a.pdf,10.5555/2789272.2912116,https://openalex.org/W2276728651,https://openalex.org/W2276728651,article,OpenAlex concept filter: Machine learning,Curse of dimensionality; Bayesian probability; Computer science; Estimator; Rank (graph theory); Probabilistic logic; Principal component analysis; Sensitivity (control systems); Sparse PCA; Mathematics; Matrix (chemical analysis); Artificial intelligence; Variance (accounting); Algorithm; Machine learning; Mathematical optimization; Statistics; Combinatorics; Composite material; Accounting; Engineering; Business; Electronic engineering; Materials science,39,37
Journal of Machine Learning Research,jmlr_2015,journal_issue_or_year,2015,2015-01-01,year 2015,https://dl.acm.org/doi/10.5555/2789272.2886805,https://dl.acm.org/doi/10.5555/2789272.2886805,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Batch learning from logged bandit feedback through counterfactual risk minimization,,SwaminathanAdith; JoachimsThorsten,source_known_oa;closed;is_oa,https://dl.acm.org/doi/10.5555/2789272.2886805,10.5555/2789272.2886805,https://openalex.org/W3003609932,https://openalex.org/W3003609932,article,OpenAlex concept filter: Machine learning,Counterfactual thinking; Minification; Computer science; Machine learning; Artificial intelligence; Mathematical optimization; Econometrics; Mathematics; Psychology; Social psychology,,68
Journal of Machine Learning Research,jmlr_2015_v40_i2015,journal_issue_or_year,2015,2015-01-01,"vol. 40, issue 2015",https://collaborate.princeton.edu/en/publications/achieving-all-with-no-parameters-adanormalhedge,https://collaborate.princeton.edu/en/publications/achieving-all-with-no-parameters-adanormalhedge,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Achieving All with No Parameters: AdaNormalHedge,,Haipeng Luo; Robert E. Schapire,source_known_oa;closed;is_oa,https://collaborate.princeton.edu/en/publications/achieving-all-with-no-parameters-adanormalhedge,,https://openalex.org/W1892200897,https://openalex.org/W1892200897,article,OpenAlex concept filter: Machine learning,Regret; Computer science; Mathematical optimization; Entropy (arrow of time); Pruning; Artificial intelligence; Algorithm; Machine learning; Mathematics; Physics; Biology; Agronomy; Quantum mechanics,34,60
Journal of Machine Learning Research,jmlr_2015,journal_issue_or_year,2015,2015-01-01,year 2015,https://dl.acm.org/doi/abs/10.5555/2789272.2789285,https://dl.acm.org/doi/abs/10.5555/2789272.2789285,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Network granger causality with inherent grouping structure,,BasuSumanta; ShojaieAli; MichailidisGeorge,source_known_oa;closed;is_oa,https://dl.acm.org/doi/abs/10.5555/2789272.2789285,10.5555/2789272.2789285,https://openalex.org/W3000219431,https://openalex.org/W3000219431,article,OpenAlex concept filter: Machine learning,Granger causality; Causality (physics); Computer science; Network structure; Artificial intelligence; Econometrics; Algorithm; Mathematics; Machine learning; Physics; Quantum mechanics,,48
Journal of Machine Learning Research,jmlr_2015,journal_issue_or_year,2015,2015-01-01,year 2015,https://dl.acm.org/doi/10.5555/2789272.2912099,https://dl.acm.org/doi/10.5555/2789272.2912099,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS118988714%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC119857082&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,A direct estimation of high dimensional stationary vector autoregressions,,HanFang; LuHuanran; LiuHan,source_known_oa;closed;is_oa,https://dl.acm.org/doi/10.5555/2789272.2912099,10.5555/2789272.2912099,https://openalex.org/W3012485276,https://openalex.org/W3012485276,article,OpenAlex concept filter: Machine learning,Autoregressive model; Vector autoregression; Series (stratigraphy); Estimation; Computer science; Econometrics; STAR model; Bayesian vector autoregression; Time series; Artificial intelligence; Machine learning; Mathematics; Autoregressive integrated moving average; Economics; Bayesian probability; Management; Paleontology; Biology,,46
