unit_id,unit_type,year,date,unit_label,unit_url
jmlr_2015,journal_issue_or_year,2015,2015-01-01,year 2015,https://dl.acm.org/doi/10.5555/2789272.2789275
jmlr_2015_v16_i1,journal_issue_or_year,2015,2015-01-01,"vol. 16, issue 1",https://jmlr.csail.mit.edu/papers/volume16/garcia15a/garcia15a.pdf
jmlr_2015_v40_i2015,journal_issue_or_year,2015,2015-01-01,"vol. 40, issue 2015",https://collaborate.princeton.edu/en/publications/achieving-all-with-no-parameters-adanormalhedge
jmlr_2015_v51,journal_issue_or_year,2015,2015-12-23,vol. 51,https://ece.duke.edu/~lcarin/YunchenAISTATS16.pdf
jmlr_2016,journal_issue_or_year,2016,2016-01-01,year 2016,https://dl.acm.org/citation.cfm?id=2946704
jmlr_2016_v17_i1,journal_issue_or_year,2016,2016-01-01,"vol. 17, issue 1",http://rll.berkeley.edu/RSS2015-BlueSky-Shakey/Levine-ShakeyWS-2015.pdf
jmlr_2016_v17_i221,journal_issue_or_year,2016,2016-01-01,"vol. 17, issue 221",https://jmlr.org/papers/volume17/15-501/15-501.pdf
jmlr_2016_v48,journal_issue_or_year,2016,2016-01-01,vol. 48,https://publications.hse.ru/en/articles/194868564
jmlr_2016_v49,journal_issue_or_year,2016,2016-06-06,vol. 49,https://nyuscholars.nyu.edu/en/publications/time-series-prediction-and-online-learning
jmlr_2016_v64,journal_issue_or_year,2016,2016-12-01,vol. 64,https://par.nsf.gov/biblio/10023673-bayesian-optimization-automated-model-selection-short-version
jmlr_2017,journal_issue_or_year,2017,2017-01-01,year 2017,https://dl.acm.org/doi/10.5555/3122009.3242024
jmlr_2017_v18_i1,journal_issue_or_year,2017,2017-01-01,"vol. 18, issue 1",https://jmlr.org/papers/volume18/16-558/16-558.pdf
jmlr_2017_v18_i110,journal_issue_or_year,2017,2017-11-01,"vol. 18, issue 110",https://jmlr.org/papers/volume18/16-342/16-342.pdf
jmlr_2017_v18_i44,journal_issue_or_year,2017,2017-01-01,"vol. 18, issue 44",https://jmlr.org/papers/volume18/16-538/16-538.pdf
jmlr_2017_v18_i5,journal_issue_or_year,2017,2017-01-01,"vol. 18, issue 5",https://jmlr.org/papers/volume18/16-002/16-002.pdf
jmlr_2017_v18_i58,journal_issue_or_year,2017,2017-01-01,"vol. 18, issue 58",http://jmlr.org/papers/volume18/16-061/16-061.pdf
jmlr_2017_v18_i62,journal_issue_or_year,2017,2017-01-01,"vol. 18, issue 62",https://jmlr.org/papers/volume18/16-526/16-526.pdf
jmlr_2017_v18_i68,journal_issue_or_year,2017,2017-01-01,"vol. 18, issue 68",http://jmlr.org/papers/volume18/15-566/15-566.pdf
