source,archive_page_type,year,volume,page_url
The Journal of Cell Biology,openalex_year_slice,1990,,"https://api.openalex.org/works?filter=primary_location.source.id:S96410829,publication_year:1990"
The Journal of Cell Biology,openalex_year_slice,1991,,"https://api.openalex.org/works?filter=primary_location.source.id:S96410829,publication_year:1991"
The Journal of Cell Biology,openalex_year_slice,1992,,"https://api.openalex.org/works?filter=primary_location.source.id:S96410829,publication_year:1992"
The Journal of Cell Biology,openalex_year_slice,1993,,"https://api.openalex.org/works?filter=primary_location.source.id:S96410829,publication_year:1993"
The Journal of Cell Biology,openalex_year_slice,1994,,"https://api.openalex.org/works?filter=primary_location.source.id:S96410829,publication_year:1994"
The Journal of Cell Biology,openalex_year_slice,1995,,"https://api.openalex.org/works?filter=primary_location.source.id:S96410829,publication_year:1995"
The Journal of Cell Biology,openalex_year_slice,1996,,"https://api.openalex.org/works?filter=primary_location.source.id:S96410829,publication_year:1996"
The Journal of Cell Biology,openalex_year_slice,1997,,"https://api.openalex.org/works?filter=primary_location.source.id:S96410829,publication_year:1997"
The Journal of Cell Biology,openalex_year_slice,1998,,"https://api.openalex.org/works?filter=primary_location.source.id:S96410829,publication_year:1998"
The Journal of Cell Biology,openalex_year_slice,1999,,"https://api.openalex.org/works?filter=primary_location.source.id:S96410829,publication_year:1999"
The Journal of Cell Biology,openalex_year_slice,2000,,"https://api.openalex.org/works?filter=primary_location.source.id:S96410829,publication_year:2000"
The Journal of Cell Biology,openalex_year_slice,2001,,"https://api.openalex.org/works?filter=primary_location.source.id:S96410829,publication_year:2001"
The Journal of Cell Biology,openalex_year_slice,2002,,"https://api.openalex.org/works?filter=primary_location.source.id:S96410829,publication_year:2002"
The Journal of Cell Biology,openalex_year_slice,2003,,"https://api.openalex.org/works?filter=primary_location.source.id:S96410829,publication_year:2003"
The Journal of Cell Biology,openalex_year_slice,2004,,"https://api.openalex.org/works?filter=primary_location.source.id:S96410829,publication_year:2004"
