source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
The Journal of Cell Biology,journal_of_cell_biology_v110_i1,1990,110,1,10.1083/jcb.110.1.165,PMC2115981,https://openalex.org/W2110565876,"The adhesion molecule on glia (AMOG) is a homologue of the beta subunit of the Na,K-ATPase.",Sergio M. Gloor et al.,article,bronze,https://rupress.org/jcb/article-pdf/110/1/165/1058760/165.pdf,https://rupress.org/jcb/article-pdf/110/1/165/1058760/165.pdf,https://doi.org/10.1083/jcb.110.1.165
The Journal of Cell Biology,journal_of_cell_biology_v110_i1,1990,110,1,10.1083/jcb.110.1.43,PMC2115989,https://openalex.org/W2156108086,Transient increases in cytosolic free calcium appear to be required for the migration of adherent human neutrophils [published erratum appears in J Cell Biol 1990 Mar;110(3):861],Peter Marks,article,bronze,https://rupress.org/jcb/article-pdf/110/1/43/1058776/43.pdf,https://rupress.org/jcb/article-pdf/110/1/43/1058776/43.pdf,https://doi.org/10.1083/jcb.110.1.43
The Journal of Cell Biology,journal_of_cell_biology_v110_i1,1990,110,1,10.1083/jcb.110.1.63,PMC2115990,https://openalex.org/W2106230919,Expression of Dictyostelium myosin tail segments in Escherichia coli: domains required for assembly and phosphorylation.,T J O'Halloran; Shoshana Ravid; James A. Spudich,article,bronze,https://rupress.org/jcb/article-pdf/110/1/63/1058817/63.pdf,https://rupress.org/jcb/article-pdf/110/1/63/1058817/63.pdf,https://doi.org/10.1083/jcb.110.1.63
The Journal of Cell Biology,journal_of_cell_biology_v110_i1,1990,110,1,10.1083/jcb.110.1.193,PMC2115980,https://openalex.org/W2076917151,The neural cell adhesion molecule N-CAM enhances L1-dependent cell-cell interactions.,Guni Kadmon; Aiga Kowitz; Peter Altevogt; Melitta Schachner,article,bronze,https://rupress.org/jcb/article-pdf/110/1/193/1058772/193.pdf,https://rupress.org/jcb/article-pdf/110/1/193/1058772/193.pdf,https://doi.org/10.1083/jcb.110.1.193
The Journal of Cell Biology,journal_of_cell_biology_v110_i1,1990,110,1,10.1083/jcb.110.1.105,PMC2115986,https://openalex.org/W2155246792,Purification of profilin from Saccharomyces cerevisiae and analysis of profilin-deficient cells.,Brian K. Haarer; S H Lillie; A.E. Adams; Viktor Magdolen; Wolfhard Bandlow; Susan S. Brown,article,bronze,https://rupress.org/jcb/article-pdf/110/1/105/1058804/105.pdf,https://rupress.org/jcb/article-pdf/110/1/105/1058804/105.pdf,https://doi.org/10.1083/jcb.110.1.105
The Journal of Cell Biology,journal_of_cell_biology_v110_i1,1990,110,1,10.1083/jcb.110.1.13,PMC2115994,https://openalex.org/W2102686118,"Conformational change and localization of calpactin I complex involved in exocytosis as revealed by quick-freeze, deep-etch electron microscopy and immunocytochemistry.",Takao Nakata; K Sobue; Nobutaka Hirokawa,article,bronze,https://rupress.org/jcb/article-pdf/110/1/13/1058732/13.pdf,https://rupress.org/jcb/article-pdf/110/1/13/1058732/13.pdf,https://doi.org/10.1083/jcb.110.1.13
The Journal of Cell Biology,journal_of_cell_biology_v110_i1,1990,110,1,10.1083/jcb.110.1.53,PMC2115976,https://openalex.org/W2134594897,Elastic filaments in skeletal muscle revealed by selective removal of thin filaments with plasma gelsolin.,Takashi Funatsu; Hideo Higuchi; Shin’ichi Ishiwata,article,bronze,https://rupress.org/jcb/article-pdf/110/1/53/1058766/53.pdf,https://rupress.org/jcb/article-pdf/110/1/53/1058766/53.pdf,https://doi.org/10.1083/jcb.110.1.53
The Journal of Cell Biology,journal_of_cell_biology_v110_i1,1990,110,1,10.1083/jcb.110.1.209,PMC2115988,https://openalex.org/W2077317619,Functional cooperation between the neural adhesion molecules L1 and N-CAM is carbohydrate dependent.,Guni Kadmon; Aiga Kowitz; Peter Altevogt; Melitta Schachner,article,bronze,https://rupress.org/jcb/article-pdf/110/1/209/1058780/209.pdf,https://rupress.org/jcb/article-pdf/110/1/209/1058780/209.pdf,https://doi.org/10.1083/jcb.110.1.209
The Journal of Cell Biology,journal_of_cell_biology_v110_i1,1990,110,1,10.1083/jcb.110.1.27,PMC2115984,https://openalex.org/W2143640770,Antibodies directed against the peroxisomal targeting signal of firefly luciferase recognize multiple mammalian peroxisomal proteins.,Stephen J. Gould; Skaidrite K. Krisans; G A Keller; Suresh Subramani,article,bronze,https://rupress.org/jcb/article-pdf/110/1/27/1058726/27.pdf,https://rupress.org/jcb/article-pdf/110/1/27/1058726/27.pdf,https://doi.org/10.1083/jcb.110.1.27
The Journal of Cell Biology,journal_of_cell_biology_v110_i1,1990,110,1,10.1083/jcb.110.1.1,PMC2115992,https://openalex.org/W2049174790,Sorting within the regulated secretory pathway occurs in the trans-Golgi network.,Wayne S. Sossin; J M Fisher; Richard H. Scheller,article,bronze,https://rupress.org/jcb/article-pdf/110/1/1/1058774/1.pdf,https://rupress.org/jcb/article-pdf/110/1/1/1058774/1.pdf,https://doi.org/10.1083/jcb.110.1.1
The Journal of Cell Biology,journal_of_cell_biology_v110_i1,1990,110,1,10.1083/jcb.110.1.35,PMC2115978,https://openalex.org/W2164656662,Selective degradation of insulin within rat liver endosomes.,Joseph Doherty; Denis G. Kay; W H Lai; Barry I. Posner; John Bergeron,article,bronze,https://rupress.org/jcb/article-pdf/110/1/35/1058809/35.pdf,https://rupress.org/jcb/article-pdf/110/1/35/1058809/35.pdf,https://doi.org/10.1083/jcb.110.1.35
The Journal of Cell Biology,journal_of_cell_biology_v110_i1,1990,110,1,10.1083/jcb.110.1.71,PMC2115996,https://openalex.org/W2064525794,Extracellular matrix allows PC12 neurite elongation in the absence of microtubules.,P Lamoureux; V L Steel; C Regal; L Adgate; Robert E. Buxbaum; S R Heidemann,article,bronze,https://rupress.org/jcb/article-pdf/110/1/71/1058782/71.pdf,https://rupress.org/jcb/article-pdf/110/1/71/1058782/71.pdf,https://doi.org/10.1083/jcb.110.1.71
The Journal of Cell Biology,journal_of_cell_biology_v110_i1,1990,110,1,10.1083/jcb.110.1.175,PMC2115995,https://openalex.org/W2158886620,Expression and function of chicken integrin beta 1 subunit and its cytoplasmic domain mutants in mouse NIH 3T3 cells.,Yusuke Hayashi; Beatrice Haimovich; A A Reszka; David Boettiger; Alan F. Horwitz,article,bronze,http://jcb.rupress.org/content/jcb/110/1/175.full.pdf,http://jcb.rupress.org/content/jcb/110/1/175.full.pdf,https://doi.org/10.1083/jcb.110.1.175
The Journal of Cell Biology,journal_of_cell_biology_v110_i1,1990,110,1,10.1083/jcb.110.1.185,PMC2115991,https://openalex.org/W2117437251,Hepatocyte attachment to laminin is mediated through multiple receptors.,Bruno Clément; Bartolomé Seguí‐Real; Pierre Savagner; Hynda K. Kleinman; Yasuhiro Yamada,article,bronze,https://rupress.org/jcb/article-pdf/110/1/185/1058722/185.pdf,https://rupress.org/jcb/article-pdf/110/1/185/1058722/185.pdf,https://doi.org/10.1083/jcb.110.1.185
The Journal of Cell Biology,journal_of_cell_biology_v110_i1,1990,110,1,10.1083/jcb.110.1.123,PMC2115979,https://openalex.org/W2157719883,An immortalized osteogenic cell line derived from mouse teratocarcinoma is able to mineralize in vivo and in vitro.,Odile Kellermann; Marie‐Hélène Buc‐Caron; Pierre J. Marie; D. Lamblin; F Jacob,article,bronze,https://rupress.org/jcb/article-pdf/110/1/123/1058750/123.pdf,https://rupress.org/jcb/article-pdf/110/1/123/1058750/123.pdf,https://doi.org/10.1083/jcb.110.1.123
