source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
The Journal of Cell Biology,journal_of_cell_biology_v110_i1,journal_issue,1990,110,1,18,
The Journal of Cell Biology,journal_of_cell_biology_v110_i2,journal_issue,1990,110,2,27,
The Journal of Cell Biology,journal_of_cell_biology_v110_i3,journal_issue,1990,110,3,24,
The Journal of Cell Biology,journal_of_cell_biology_v110_i4,journal_issue,1990,110,4,52,
The Journal of Cell Biology,journal_of_cell_biology_v110_i5,journal_issue,1990,110,5,35,
The Journal of Cell Biology,journal_of_cell_biology_v110_i6,journal_issue,1990,110,6,31,
The Journal of Cell Biology,journal_of_cell_biology_v111_i1,journal_issue,1990,111,1,28,
The Journal of Cell Biology,journal_of_cell_biology_v111_i2,journal_issue,1990,111,2,45,
The Journal of Cell Biology,journal_of_cell_biology_v111_i3,journal_issue,1990,111,3,45,
The Journal of Cell Biology,journal_of_cell_biology_v111_i4,journal_issue,1990,111,4,34,
The Journal of Cell Biology,journal_of_cell_biology_v111_i5,journal_issue,1990,111,5,40,
The Journal of Cell Biology,journal_of_cell_biology_v111_i6,journal_issue,1990,111,6,82,
The Journal of Cell Biology,journal_of_cell_biology_v112_i1,journal_issue,1991,112,1,14,
The Journal of Cell Biology,journal_of_cell_biology_v112_i2,journal_issue,1991,112,2,16,
The Journal of Cell Biology,journal_of_cell_biology_v112_i3,journal_issue,1991,112,3,13,
The Journal of Cell Biology,journal_of_cell_biology_v112_i4,journal_issue,1991,112,4,22,
The Journal of Cell Biology,journal_of_cell_biology_v112_i5,journal_issue,1991,112,5,23,
The Journal of Cell Biology,journal_of_cell_biology_v112_i6,journal_issue,1991,112,6,19,
The Journal of Cell Biology,journal_of_cell_biology_v113_i1,journal_issue,1991,113,1,20,
The Journal of Cell Biology,journal_of_cell_biology_v113_i2,journal_issue,1991,113,2,21,
The Journal of Cell Biology,journal_of_cell_biology_v113_i3,journal_issue,1991,113,3,21,
The Journal of Cell Biology,journal_of_cell_biology_v113_i4,journal_issue,1991,113,4,23,
The Journal of Cell Biology,journal_of_cell_biology_v113_i5,journal_issue,1991,113,5,21,
The Journal of Cell Biology,journal_of_cell_biology_v113_i6,journal_issue,1991,113,6,21,
The Journal of Cell Biology,journal_of_cell_biology_v114_i1,journal_issue,1991,114,1,14,
The Journal of Cell Biology,journal_of_cell_biology_v114_i2,journal_issue,1991,114,2,19,
The Journal of Cell Biology,journal_of_cell_biology_v114_i3,journal_issue,1991,114,3,19,
The Journal of Cell Biology,journal_of_cell_biology_v114_i4,journal_issue,1991,114,4,22,
The Journal of Cell Biology,journal_of_cell_biology_v114_i5,journal_issue,1991,114,5,20,
The Journal of Cell Biology,journal_of_cell_biology_v114_i6,journal_issue,1991,114,6,17,
The Journal of Cell Biology,journal_of_cell_biology_v115_i1,journal_issue,1991,115,1,23,
The Journal of Cell Biology,journal_of_cell_biology_v115_i2,journal_issue,1991,115,2,23,
The Journal of Cell Biology,journal_of_cell_biology_v115_i3,journal_issue,1991,115,3,25,
The Journal of Cell Biology,journal_of_cell_biology_v115_i4,journal_issue,1991,115,4,23,
The Journal of Cell Biology,journal_of_cell_biology_v115_i5,journal_issue,1991,115,5,24,
The Journal of Cell Biology,journal_of_cell_biology_v115_i6,journal_issue,1991,115,6,28,
The Journal of Cell Biology,journal_of_cell_biology_v116_i1,journal_issue,1992,116,1,18,
The Journal of Cell Biology,journal_of_cell_biology_v116_i2,journal_issue,1992,116,2,28,
The Journal of Cell Biology,journal_of_cell_biology_v116_i3,journal_issue,1992,116,3,21,
The Journal of Cell Biology,journal_of_cell_biology_v116_i4,journal_issue,1992,116,4,21,
The Journal of Cell Biology,journal_of_cell_biology_v116_i5,journal_issue,1992,116,5,18,
The Journal of Cell Biology,journal_of_cell_biology_v116_i6,journal_issue,1992,116,6,18,
The Journal of Cell Biology,journal_of_cell_biology_v117_i1,journal_issue,1992,117,1,19,
The Journal of Cell Biology,journal_of_cell_biology_v117_i2,journal_issue,1992,117,2,20,
The Journal of Cell Biology,journal_of_cell_biology_v117_i3,journal_issue,1992,117,3,20,
The Journal of Cell Biology,journal_of_cell_biology_v117_i4,journal_issue,1992,117,4,17,
The Journal of Cell Biology,journal_of_cell_biology_v117_i5,journal_issue,1992,117,5,19,
The Journal of Cell Biology,journal_of_cell_biology_v117_i6,journal_issue,1992,117,6,19,
The Journal of Cell Biology,journal_of_cell_biology_v118_i1,journal_issue,1992,118,1,19,
The Journal of Cell Biology,journal_of_cell_biology_v118_i2,journal_issue,1992,118,2,21,
The Journal of Cell Biology,journal_of_cell_biology_v118_i3,journal_issue,1992,118,3,23,
The Journal of Cell Biology,journal_of_cell_biology_v118_i4,journal_issue,1992,118,4,19,
The Journal of Cell Biology,journal_of_cell_biology_v118_i5,journal_issue,1992,118,5,23,
The Journal of Cell Biology,journal_of_cell_biology_v118_i6,journal_issue,1992,118,6,19,
The Journal of Cell Biology,journal_of_cell_biology_v119_i1,journal_issue,1992,119,1,20,
The Journal of Cell Biology,journal_of_cell_biology_v119_i2,journal_issue,1992,119,2,21,
The Journal of Cell Biology,journal_of_cell_biology_v119_i3,journal_issue,1992,119,3,18,
The Journal of Cell Biology,journal_of_cell_biology_v119_i4,journal_issue,1992,119,4,26,
The Journal of Cell Biology,journal_of_cell_biology_v119_i5,journal_issue,1992,119,5,28,
The Journal of Cell Biology,journal_of_cell_biology_v119_i6,journal_issue,1992,119,6,28,
The Journal of Cell Biology,journal_of_cell_biology_v120_i1,journal_issue,1993,120,1,25,
The Journal of Cell Biology,journal_of_cell_biology_v120_i2,journal_issue,1993,120,2,25,
The Journal of Cell Biology,journal_of_cell_biology_v120_i3,journal_issue,1993,120,3,22,
The Journal of Cell Biology,journal_of_cell_biology_v120_i4,journal_issue,1993,120,4,19,
The Journal of Cell Biology,journal_of_cell_biology_v120_i5,journal_issue,1993,120,5,20,
The Journal of Cell Biology,journal_of_cell_biology_v120_i6,journal_issue,1993,120,6,22,
The Journal of Cell Biology,journal_of_cell_biology_v121_i1,journal_issue,1993,121,1,20,
The Journal of Cell Biology,journal_of_cell_biology_v121_i2,journal_issue,1993,121,2,20,
