source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
The Lancet,lancet_v385_i,journal_issue,2015,385,,1,
The Lancet,lancet_v385_i9965,journal_issue,2015,385,9965,1,
The Lancet,lancet_v385_i9979,journal_issue,2015,385,9979,1,
The Lancet,lancet_v385_i9980,journal_issue,2015,385,9980,2,
The Lancet,lancet_v385_i9982,journal_issue,2015,385,9982,1,
The Lancet,lancet_v386_i,journal_issue,2015,386,,1,
The Lancet,lancet_v386_i10002,journal_issue,2015,386,10002,3,
The Lancet,lancet_v386_i10003,journal_issue,2015,386,10003,1,
The Lancet,lancet_v386_i10006,journal_issue,2015,386,10006,1,
The Lancet,lancet_v386_i10008,journal_issue,2015,386,10008,2,
The Lancet,lancet_v386_i10009,journal_issue,2015,386,10009,3,
The Lancet,lancet_v386_i10011,journal_issue,2015,386,10011,1,
The Lancet,lancet_v386_i10012,journal_issue,2015,386,10012,3,
The Lancet,lancet_v386_i9988,journal_issue,2015,386,9988,2,
The Lancet,lancet_v386_i9989,journal_issue,2015,386,9989,1,
The Lancet,lancet_v386_i9991,journal_issue,2015,386,9991,2,
The Lancet,lancet_v386_i9993,journal_issue,2015,386,9993,1,
The Lancet,lancet_v386_i9996,journal_issue,2015,386,9996,1,
The Lancet,lancet_v386_i9997,journal_issue,2015,386,9997,1,
The Lancet,lancet_v387_i10014,journal_issue,2015,387,10014,2,
The Lancet,lancet_v387_i10015,journal_issue,2015,387,10015,1,
The Lancet,lancet_v387_i10016,journal_issue,2015,387,10016,3,
The Lancet,lancet_v387_i10017,journal_issue,2015,387,10017,1,
The Lancet,lancet_v387_i10019,journal_issue,2015,387,10019,2,
The Lancet,lancet_v387_i10020,journal_issue,2016,387,10020,1,
The Lancet,lancet_v387_i10021,journal_issue,2016,387,10021,1,
The Lancet,lancet_v387_i10025,journal_issue,2016,387,10025,1,
The Lancet,lancet_v387_i10026,journal_issue,2016,387,10026,1,
The Lancet,lancet_v387_i10027,journal_issue,2016,387,10027,2,
The Lancet,lancet_v387_i10031,journal_issue,2016,387,10031,1,
The Lancet,lancet_v387_i10034,journal_issue,2016,387,10034,2,
The Lancet,lancet_v388_i10039,journal_issue,2016,388,10039,1,
The Lancet,lancet_v388_i10040,journal_issue,2016,388,10040,1,
The Lancet,lancet_v388_i10041,journal_issue,2016,388,10041,1,
The Lancet,lancet_v388_i10042,journal_issue,2016,388,10042,1,
The Lancet,lancet_v388_i10044,journal_issue,2016,388,10044,1,
The Lancet,lancet_v388_i10045,journal_issue,2016,388,10045,3,
The Lancet,lancet_v388_i10048,journal_issue,2016,388,10048,1,
The Lancet,lancet_v388_i10051,journal_issue,2016,388,10051,2,
The Lancet,lancet_v388_i10053,journal_issue,2016,388,10053,2,
The Lancet,lancet_v388_i10056,journal_issue,2016,388,10056,1,
The Lancet,lancet_v388_i10058,journal_issue,2016,388,10058,1,
