source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
Nature Materials,nature_materials_v14_i10,2015,14,10,10.1038/nmat4384,,https://openalex.org/W3100477776,Epitaxial growth of two-dimensional stanene,Fengfeng Zhu et al.,article,green,https://arxiv.org/pdf/1506.01601,https://arxiv.org/pdf/1506.01601,https://doi.org/10.1038/nmat4384
Nature Materials,nature_materials_v14_i10,2015,14,10,10.1038/nmat4351,,https://openalex.org/W1505457697,Pressure-induced superconductivity in the iron-based ladder material BaFe2S3,Hiroki Takahashi et al.,article,green,https://arxiv.org/pdf/1507.05864,https://arxiv.org/pdf/1507.05864,https://doi.org/10.1038/nmat4351
Nature Materials,nature_materials_v14_i10,2015,14,10,10.1038/nmat4359,,https://openalex.org/W2108817071,Time-domain separation of optical properties from structural transitions in resonantly bonded materials,Lutz Waldecker et al.,article,green,https://arxiv.org/pdf/1412.0901,https://arxiv.org/pdf/1412.0901,https://doi.org/10.1038/nmat4359
Nature Materials,nature_materials_v14_i11,2015,14,11,10.1038/nmat4392,,https://openalex.org/W3104919791,Conductivity in organic semiconductors hybridized with the vacuum field,Emanuele Orgiu et al.,article,green,https://arxiv.org/pdf/1409.1900,https://arxiv.org/pdf/1409.1900,https://doi.org/10.1038/nmat4392
Nature Materials,nature_materials_v14_i11,2015,14,11,10.1038/nmat4419,,https://openalex.org/W2194211979,Magnetically assisted slip casting of bioinspired heterogeneous composites,Hortense Le Ferrand; Florian Bouville; Tobias P. Niebel; André R. Studart,article,green,https://arxiv.org/pdf/1605.07461,https://arxiv.org/pdf/1605.07461,https://doi.org/10.1038/nmat4419
Nature Materials,nature_materials_v14_i11,2015,14,11,10.1038/nmat4387,PMC4894651,https://openalex.org/W1780327926,Orientational order of motile defects in active nematics,Stephen J. DeCamp; Gabriel S. Redner; Aparna Baskaran; Michael F. Hagan; Zvonimir Dogic,article,green,https://arxiv.org/pdf/1501.06228,https://arxiv.org/pdf/1501.06228,https://doi.org/10.1038/nmat4387
Nature Materials,nature_materials_v14_i3,2015,14,3,10.1038/nmat4205,,https://openalex.org/W2167267527,Light-emitting diodes by band-structure engineering in van der Waals heterostructures,Freddie Withers et al.,article,green,https://arxiv.org/pdf/1412.7621,https://arxiv.org/pdf/1412.7621,https://doi.org/10.1038/nmat4205
Nature Materials,nature_materials_v14_i3,2015,14,3,10.1038/nmat4215,,https://openalex.org/W1989542841,Dirac mass generation from crystal symmetry breaking on the surfaces of topological crystalline insulators,Ilija Zeljkovic et al.,article,green,https://arxiv.org/pdf/1403.4906,https://arxiv.org/pdf/1403.4906,https://doi.org/10.1038/nmat4215
Nature Materials,nature_materials_v14_i4,2015,14,4,10.1038/nmat4176,,https://openalex.org/W2106081122,Epitaxy of semiconductor–superconductor nanowires,P. Krogstrup et al.,article,green,https://arxiv.org/pdf/1411.6254,https://arxiv.org/pdf/1411.6254,https://doi.org/10.1038/nmat4176
Nature Materials,nature_materials_v14_i4,2015,14,4,10.1038/nmat4168,,https://openalex.org/W2087670974,"Experimental demonstration of hybrid improper ferroelectricity and the presence of abundant charged walls in (Ca,Sr)3Ti2O7 crystals",Yoon Seok Oh; Xuan Luo; Fei-Ting Huang; Yazhong Wang; Sang‐Wook Cheong,article,green,https://arxiv.org/pdf/1411.6315,https://arxiv.org/pdf/1411.6315,https://doi.org/10.1038/nmat4168
