source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
Nature Materials,nature_materials_v14_i10,journal_issue,2015,14,10,3,
Nature Materials,nature_materials_v14_i11,journal_issue,2015,14,11,3,
Nature Materials,nature_materials_v14_i3,journal_issue,2015,14,3,2,
Nature Materials,nature_materials_v14_i4,journal_issue,2015,14,4,3,
Nature Materials,nature_materials_v14_i5,journal_issue,2015,14,5,2,
Nature Materials,nature_materials_v14_i6,journal_issue,2015,14,6,2,
Nature Materials,nature_materials_v14_i7,journal_issue,2015,14,7,2,
Nature Materials,nature_materials_v14_i8,journal_issue,2015,14,8,1,
Nature Materials,nature_materials_v14_i9,journal_issue,2015,14,9,1,
Nature Materials,nature_materials_v15_i1,journal_issue,2015,15,1,3,
Nature Materials,nature_materials_v15_i11,journal_issue,2016,15,11,5,
Nature Materials,nature_materials_v15_i12,journal_issue,2016,15,12,3,
Nature Materials,nature_materials_v15_i2,journal_issue,2015,15,2,2,
Nature Materials,nature_materials_v15_i3,journal_issue,2015,15,3,3,
Nature Materials,nature_materials_v15_i4,journal_issue,2016,15,4,2,
Nature Materials,nature_materials_v15_i5,journal_issue,2016,15,5,1,
Nature Materials,nature_materials_v15_i6,journal_issue,2016,15,6,3,
Nature Materials,nature_materials_v15_i7,journal_issue,2016,15,7,3,
Nature Materials,nature_materials_v15_i8,journal_issue,2016,15,8,2,
Nature Materials,nature_materials_v15_i9,journal_issue,2016,15,9,1,
Nature Materials,nature_materials_v16_i1,journal_issue,2016,16,1,2,
Nature Materials,nature_materials_v16_i10,journal_issue,2017,16,10,2,
Nature Materials,nature_materials_v16_i11,journal_issue,2017,16,11,4,
Nature Materials,nature_materials_v16_i12,journal_issue,2017,16,12,2,
Nature Materials,nature_materials_v16_i2,journal_issue,2016,16,2,2,
Nature Materials,nature_materials_v16_i3,journal_issue,2016,16,3,1,
Nature Materials,nature_materials_v16_i4,journal_issue,2016,16,4,3,
Nature Materials,nature_materials_v16_i6,journal_issue,2017,16,6,3,
Nature Materials,nature_materials_v16_i7,journal_issue,2017,16,7,5,
Nature Materials,nature_materials_v16_i8,journal_issue,2017,16,8,2,
Nature Materials,nature_materials_v16_i9,journal_issue,2017,16,9,2,
Nature Materials,nature_materials_v17_i1,journal_issue,2017,17,1,1,
Nature Materials,nature_materials_v17_i10,journal_issue,2018,17,10,3,
Nature Materials,nature_materials_v17_i11,journal_issue,2018,17,11,3,
Nature Materials,nature_materials_v17_i12,journal_issue,2018,17,12,2,
Nature Materials,nature_materials_v17_i2,journal_issue,2017,17,2,4,
Nature Materials,nature_materials_v17_i3,journal_issue,2018,17,3,1,
Nature Materials,nature_materials_v17_i4,journal_issue,2018,17,4,2,
Nature Materials,nature_materials_v17_i5,journal_issue,2018,17,5,3,
Nature Materials,nature_materials_v17_i6,journal_issue,2018,17,6,2,
Nature Materials,nature_materials_v17_i7,journal_issue,2018,17,7,3,
Nature Materials,nature_materials_v17_i8,journal_issue,2018,17,8,6,
Nature Materials,nature_materials_v17_i9,journal_issue,2018,17,9,5,
Nature Materials,nature_materials_v18_i1,journal_issue,2018,18,1,1,
Nature Materials,nature_materials_v18_i10,journal_issue,2019,18,10,3,
Nature Materials,nature_materials_v18_i11,journal_issue,2019,18,11,4,
Nature Materials,nature_materials_v18_i12,journal_issue,2019,18,12,3,
Nature Materials,nature_materials_v18_i2,journal_issue,2018,18,2,3,
Nature Materials,nature_materials_v18_i3,journal_issue,2019,18,3,3,
Nature Materials,nature_materials_v18_i4,journal_issue,2018,18,4,2,
Nature Materials,nature_materials_v18_i5,journal_issue,2019,18,5,3,
Nature Materials,nature_materials_v18_i6,journal_issue,2019,18,6,3,
Nature Materials,nature_materials_v18_i7,journal_issue,2019,18,7,5,
Nature Materials,nature_materials_v18_i8,journal_issue,2019,18,8,4,
Nature Materials,nature_materials_v18_i9,journal_issue,2019,18,9,4,
Nature Materials,nature_materials_v19_i1,journal_issue,2019,19,1,2,
Nature Materials,nature_materials_v19_i10,journal_issue,2020,19,10,3,
Nature Materials,nature_materials_v19_i11,journal_issue,2020,19,11,2,
Nature Materials,nature_materials_v19_i12,journal_issue,2020,19,12,6,
Nature Materials,nature_materials_v19_i2,journal_issue,2019,19,2,3,
Nature Materials,nature_materials_v19_i3,journal_issue,2020,19,3,2,
Nature Materials,nature_materials_v19_i4,journal_issue,2020,19,4,3,
Nature Materials,nature_materials_v19_i5,journal_issue,2020,19,5,6,
Nature Materials,nature_materials_v19_i6,journal_issue,2020,19,6,5,
Nature Materials,nature_materials_v19_i7,journal_issue,2020,19,7,3,
Nature Materials,nature_materials_v19_i8,journal_issue,2020,19,8,3,
Nature Materials,nature_materials_v19_i9,journal_issue,2020,19,9,1,
Nature Materials,nature_materials_v20_i1,journal_issue,2020,20,1,1,
Nature Materials,nature_materials_v20_i10,journal_issue,2021,20,10,2,
Nature Materials,nature_materials_v20_i11,journal_issue,2021,20,11,1,
Nature Materials,nature_materials_v20_i12,journal_issue,2021,20,12,4,
Nature Materials,nature_materials_v20_i2,journal_issue,2020,20,2,3,
Nature Materials,nature_materials_v20_i3,journal_issue,2020,20,3,2,
Nature Materials,nature_materials_v20_i4,journal_issue,2021,20,4,3,
Nature Materials,nature_materials_v20_i5,journal_issue,2021,20,5,5,
Nature Materials,nature_materials_v20_i6,journal_issue,2021,20,6,4,
Nature Materials,nature_materials_v20_i7,journal_issue,2021,20,7,5,
Nature Materials,nature_materials_v20_i8,journal_issue,2021,20,8,3,
Nature Materials,nature_materials_v20_i9,journal_issue,2021,20,9,2,
Nature Materials,nature_materials_v21_i1,journal_issue,2021,21,1,2,
Nature Materials,nature_materials_v21_i10,journal_issue,2022,21,10,3,
Nature Materials,nature_materials_v21_i11,journal_issue,2022,21,11,3,
Nature Materials,nature_materials_v21_i12,journal_issue,2022,21,12,1,
Nature Materials,nature_materials_v21_i2,journal_issue,2021,21,2,1,
Nature Materials,nature_materials_v21_i3,journal_issue,2021,21,3,1,
Nature Materials,nature_materials_v21_i4,journal_issue,2021,21,4,2,
Nature Materials,nature_materials_v21_i5,journal_issue,2022,21,5,3,
Nature Materials,nature_materials_v21_i6,journal_issue,2022,21,6,1,
Nature Materials,nature_materials_v21_i7,journal_issue,2022,21,7,2,
Nature Materials,nature_materials_v21_i8,journal_issue,2022,21,8,2,
Nature Materials,nature_materials_v21_i9,journal_issue,2022,21,9,1,
Nature Materials,nature_materials_v22_i1,journal_issue,2022,22,1,1,
Nature Materials,nature_materials_v22_i10,journal_issue,2023,22,10,1,
Nature Materials,nature_materials_v22_i3,journal_issue,2023,22,3,1,
Nature Materials,nature_materials_v22_i4,journal_issue,2023,22,4,1,
Nature Materials,nature_materials_v22_i5,journal_issue,2023,22,5,1,
Nature Materials,nature_materials_v22_i7,journal_issue,2023,22,7,1,
Nature Materials,nature_materials_v22_i8,journal_issue,2023,22,8,1,
Nature Materials,nature_materials_v22_i9,journal_issue,2023,22,9,1,
Nature Materials,nature_materials_v23_i12,journal_issue,2024,23,12,1,
Nature Materials,nature_materials_v23_i9,journal_issue,2024,23,9,1,
