page_index,source_url,requested_url,result_count,screened_cards,eligible_items_added_total,min_year_on_page,max_year_on_page,content_type
1,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=1&error=cookies_not_supported&code=99fa2af4-84d2-468b-97eb-5a214c318a15,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=1,20,20,0,2026,2026,"text/html; charset=""UTF-8"""
2,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=2&error=cookies_not_supported&code=7d9fc3ab-3afc-4cb7-9019-16ba0d25ce3b,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=2,20,20,0,2026,2026,"text/html; charset=""UTF-8"""
3,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=3&error=cookies_not_supported&code=c9a226db-28fe-42f1-9b37-1b85f04b3558,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=3,20,20,0,2026,2026,"text/html; charset=""UTF-8"""
4,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=4&error=cookies_not_supported&code=1cc557a7-0900-4a82-a68a-c1c9560fe31c,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=4,20,20,0,2026,2026,"text/html; charset=""UTF-8"""
5,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=5&error=cookies_not_supported&code=354faa9a-d77e-4b2a-9e33-c5c8c29beb8d,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=5,20,20,0,2026,2026,"text/html; charset=""UTF-8"""
6,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=6&error=cookies_not_supported&code=2dd2cd68-d93f-46b6-8394-4c1868fde462,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=6,20,20,0,2026,2026,"text/html; charset=""UTF-8"""
7,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=7&error=cookies_not_supported&code=f2a286c2-8c4b-401c-9560-dc0e99189935,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=7,20,20,0,2026,2026,"text/html; charset=""UTF-8"""
8,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=8&error=cookies_not_supported&code=4d9a3a4e-4c61-4d58-8dd9-14c61cb10354,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=8,20,20,0,2026,2026,"text/html; charset=""UTF-8"""
9,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=9&error=cookies_not_supported&code=4e1f0c63-f8b7-4d78-a380-3537cb04b7d0,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=9,20,20,0,2026,2026,"text/html; charset=""UTF-8"""
10,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=10&error=cookies_not_supported&code=106d46fa-29a3-4eb9-bbf3-3782b785b563,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=10,20,20,3,2025,2026,"text/html; charset=""UTF-8"""
