source,unit_id,unit_type,year,unit_date,unit_label,unit_url,landing_page_url,source_url,title,summary,authors,oa_marker,pdf_url,doi,openalex_id,source_item_id,paper_type,venue_section,concepts,referenced_works_count,cited_by_count
Nature Medicine,nature_medicine_2018_04,official_month_open_access_clinical_article_batch,2018,2018-04-16,2018-04,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=102,https://www.nature.com/articles/s41591-018-0001-2,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=102&error=cookies_not_supported&code=40d74172-1735-4f32-9d01-a86aee302c01,A single injection of crystallizable fragment domain–modified antibodies elicits durable protection from SHIV infection,Long-lived antibodies that can prevent viral infection of monkeys for 6 months may be a future alternative to an HIV vaccine.,Rajeev Gautam; Yoshiaki Nishimura; Malcolm A. Martin,publisher_card_open_access,https://www.nature.com/articles/s41591-018-0001-2.pdf,10.1038/s41591-018-0001-2,,s41591-018-0001-2,Article,Nature Medicine research-articles; publisher card: Open Access Article,,,
Nature Medicine,nature_medicine_2018_11,official_month_open_access_clinical_article_batch,2018,2018-11-05,2018-11,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=95,https://www.nature.com/articles/s41591-018-0224-2,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=95&error=cookies_not_supported&code=703936b8-c556-4662-a3c6-35ff780772f3,A patient-level pooled analysis of treatment-shortening regimens for drug-susceptible pulmonary tuberculosis,"Analysis of tuberculosis drug trials identifies features to stratify patients for longer or shorter treatment duration than the standard of care, in order to improve therapeutic outcomes.",Marjorie Z. Imperial; Payam Nahid; Rada M. Savic,publisher_card_open_access,https://www.nature.com/articles/s41591-018-0224-2.pdf,10.1038/s41591-018-0224-2,,s41591-018-0224-2,Article,Nature Medicine research-articles; publisher card: Open Access Article,,,
Nature Medicine,nature_medicine_2019_12,official_month_open_access_clinical_article_batch,2019,2019-12-02,2019-12,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=87,https://www.nature.com/articles/s41591-019-0654-5,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=87&error=cookies_not_supported&code=c4f83784-be77-446e-9454-481f5f3b18b3,Integrative molecular and clinical modeling of clinical outcomes to PD1 blockade in patients with metastatic melanoma,"Analysis of fully clinically annotated and sequenced melanoma tumor samples collected before anti-PD1 treatment suggests that determinants of response differ on the basis of previous anti-CTLA4 therapy, and that tumor mutational burden may not be a strong predictor of response across melanoma subtypes.",David Liu; Bastian Schilling; Dirk Schadendorf,publisher_card_open_access,https://www.nature.com/articles/s41591-019-0654-5.pdf,10.1038/s41591-019-0654-5,,s41591-019-0654-5,Article,Nature Medicine research-articles; publisher card: Open Access Article,,,
Nature Medicine,nature_medicine_2020_04,official_month_open_access_clinical_article_batch,2020,2020-04-20,2020-04,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=83,https://www.nature.com/articles/s41591-020-0807-6,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=83&error=cookies_not_supported&code=b7dda21b-5f12-4cc7-8081-ee129c23e4c5,Mapping local patterns of childhood overweight and wasting in low- and middle-income countries between 2000 and 2017,"Fine-scale geospatial mapping of overweight and wasting (two components of the double burden of malnutrition) in 105 LMICs shows that overweight has increased from 5.2% in 2000 to 6.0% in children under 5 in 2017. Although overall wasting decreased over the same period, most countries are not on track to meet the World Health Organization’s Global Nutrition Target of <5% in over half of LMICs by 2025.",Damaris K. Kinyoki; Jennifer M. Ross; Simon I. Hay,publisher_card_open_access,https://www.nature.com/articles/s41591-020-0807-6.pdf,10.1038/s41591-020-0807-6,,s41591-020-0807-6,Article,Nature Medicine research-articles; publisher card: Open Access Article,,,
Nature Medicine,nature_medicine_2020_05,official_month_open_access_clinical_article_batch,2020,2020-05-11,2020-05,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=82,https://www.nature.com/articles/s41591-020-0858-8,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=82&error=cookies_not_supported&code=d2a8a05f-417a-488a-900f-d266fd0d700c,T cell-inducing vaccine durably prevents mucosal SHIV infection even with lower neutralizing antibody titers,An HIV vaccine that elicits both antibodies and cellular immune responses confers long-lasting protection against viral challenge in nonhuman primates.,Prabhu S. Arunachalam; Tysheena P. Charles; Bali Pulendran,publisher_card_open_access,https://www.nature.com/articles/s41591-020-0858-8.pdf,10.1038/s41591-020-0858-8,,s41591-020-0858-8,Article,Nature Medicine research-articles; publisher card: Open Access Article,,,
Nature Medicine,nature_medicine_2020_06,official_month_open_access_clinical_article_batch,2020,2020-06-08,2020-06,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=81,https://www.nature.com/articles/s41591-020-0894-4,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=81&error=cookies_not_supported&code=ade6af20-d04f-41d3-b5a1-56100173906b,Cartography of opportunistic pathogens and antibiotic resistance genes in a tertiary hospital environment,Spatiotemporal characterization of microbial diversity and antibiotic resistance in a tertiary-care hospital reveals broad distribution and persistence of antibiotic-resistant organisms that could cause opportunistic infections in a healthcare setting.,Kern Rei Chng; Chenhao Li; Niranjan Nagarajan,publisher_card_open_access,https://www.nature.com/articles/s41591-020-0894-4.pdf,10.1038/s41591-020-0894-4,,s41591-020-0894-4,Article,Nature Medicine research-articles; publisher card: Open Access Article,,,
Nature Medicine,nature_medicine_2020_10,official_month_open_access_clinical_article_batch,2020,2020-10-23,2020-10,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=77,https://www.nature.com/articles/s41591-020-1132-9,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=77&error=cookies_not_supported&code=70ab71b0-6645-4cf6-abb5-f919b7be3d38,Modeling COVID-19 scenarios for the United States,"A modeling study using case and mortality data from the first 8 months of the COVID-19 pandemic in the United States explores five potential future scenarios of social distancing mandates and mask use at the state level, with projections of the course of the epidemic through winter 2021.",Robert C. Reiner Jr; Ryan M. Barber; Christopher J. L. Murray,publisher_card_open_access,https://www.nature.com/articles/s41591-020-1132-9.pdf,10.1038/s41591-020-1132-9,,s41591-020-1132-9,Article,Nature Medicine research-articles; publisher card: Open Access Article,,,
Nature Medicine,nature_medicine_2021_01,official_month_open_access_clinical_article_batch,2021,2021-01-25,2021-01,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=75,https://www.nature.com/articles/s41591-020-01214-4,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=75&error=cookies_not_supported&code=6a261fd9-c066-406c-81c7-b83d5f8f07ac,Life expectancy and mortality in 363 cities of Latin America,"City-level analysis of data from the SALURBAL project shows vast heterogeneity in life expectancy across cities within the same country, in addition to substantive differences in causes of death among nine Latin American countries, revealing modifiable factors that could be leveraged by municipal-level policies aimed toward improving health in urban environments.",Usama Bilal; Philipp Hessel; Andrea Bolinaga,publisher_card_open_access,https://www.nature.com/articles/s41591-020-01214-4.pdf,10.1038/s41591-020-01214-4,,s41591-020-01214-4,Article,Nature Medicine research-articles; publisher card: Open Access Article,,,
Nature Medicine,nature_medicine_2021_04,official_month_open_access_clinical_article_batch,2021,2021-04-20,2021-04,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=73,https://www.nature.com/articles/s41591-021-01329-2,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=73&error=cookies_not_supported&code=abbc06e1-dda6-4dc4-9eb0-7027e15ed1af,Single-cell multi-omics analysis of the immune response in COVID-19,Transcriptomic and proteomic profiling of blood samples from individuals with COVID-19 reveals immune cell and hematopoietic progenitor cell alterations that are differentially associated with disease severity.,Emily Stephenson; Gary Reynolds; Muzlifah Haniffa,publisher_card_open_access,https://www.nature.com/articles/s41591-021-01329-2.pdf,10.1038/s41591-021-01329-2,,s41591-021-01329-2,Article,Nature Medicine research-articles; publisher card: Open Access Article,,,
Nature Medicine,nature_medicine_2021_05,official_month_open_access_clinical_article_batch,2021,2021-05-10,2021-05,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=72,https://www.nature.com/articles/s41591-021-01336-3,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=72&error=cookies_not_supported&code=ce37d35f-b47c-4cce-90b5-c3972c05aaa8,"MDMA-assisted therapy for severe PTSD: a randomized, double-blind, placebo-controlled phase 3 study","Results from a phase 3, double-blind, randomized, placebo-controlled trial demonstrate that MDMA-assisted therapy is safe and effective in treating severe post-traumatic stress disorder.",Jennifer M. Mitchell; Michael Bogenschutz; Rick Doblin,publisher_card_open_access,https://www.nature.com/articles/s41591-021-01336-3.pdf,10.1038/s41591-021-01336-3,,s41591-021-01336-3,Article,Nature Medicine research-articles; publisher card: Open Access Article,,,
