page,card_index,year,date,title,paper_type,landing_page_url,open_access_marker,clinical_filter,screen_status,screen_reasons
1,1,2026,2026-06-15,Adaptive deep brain stimulation for dynamic gait control in Parkinson’s disease: a randomized feasibility trial,Article,https://www.nature.com/articles/s41591-026-04434-2,yes,matched_token:randomized,eligible,
1,2,2026,2026-06-15,Plasma proteomic signatures of cellular aging predict human disease,Article,https://www.nature.com/articles/s41591-026-04446-y,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
1,3,2026,2026-06-15,Activity-dependent adaptive deep brain stimulation improves gait in Parkinson’s disease,Article,https://www.nature.com/articles/s41591-026-04432-4,yes,matched_token:people with,eligible,
1,4,2026,2026-06-15,Long-term independent use of an intracortical brain–computer interface for speech and cursor control,Article,https://www.nature.com/articles/s41591-026-04414-6,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
1,5,2026,2026-06-12,Efficacy and target engagement of dopamine agonist pramipexole for anhedonic depression: a randomized placebo-controlled trial,Article,https://www.nature.com/articles/s41591-026-04465-9,yes,matched_token:randomized,eligible,
1,6,2026,2026-06-12,General-purpose large language models outperform specialized clinical AI tools on medical benchmarks,Brief Communication,https://www.nature.com/articles/s41591-026-04431-5,yes,matched_token:clinical,excluded,not_article_type
1,7,2026,2026-06-11,Clinical Profile and Genomic Characterization of the 2026 Bundibugyo Virus Index Case in Uganda,Brief Communication,https://www.nature.com/articles/s41591-026-04510-7,yes,matched_token:clinical,excluded,not_article_type
1,8,2026,2026-06-10,Dual-target gene therapy in Parkinson’s disease: a multicenter phase 1 trial,Article,https://www.nature.com/articles/s41591-026-04436-0,no,matched_token:therapy,excluded,no_publisher_open_access_marker
1,9,2026,2026-06-09,Adjuvanted inactivated rabies virus-vectored Lassa virus vaccine in healthy adults: a phase 1 trial,Article,https://www.nature.com/articles/s41591-026-04429-z,yes,matched_token:vaccine,eligible,
1,10,2026,2026-06-08,Effects of SGLT2 inhibition on incident heart failure in carriers of cardiomyopathy-associated genetic variants,Article,https://www.nature.com/articles/s41591-026-04439-x,yes,matched_token:therapy,eligible,
1,11,2026,2026-06-08,Post-adjuvant chemotherapy in ctDNA-positive patients with resected colorectal cancer: a randomized phase 3 trial,Article,https://www.nature.com/articles/s41591-026-04428-0,yes,matched_token:patients,eligible,
1,12,2026,2026-06-08,"Apitegromab for lean mass preservation during tirzepatide-induced weight loss: a randomized, double-blind, placebo-controlled phase 2 trial",Article,https://www.nature.com/articles/s41591-026-04440-4,yes,matched_token:randomized,eligible,
1,13,2026,2026-06-08,Electronic cigarette use after smoking cessation and lung cancer risk,Article,https://www.nature.com/articles/s41591-026-04469-5,no,matched_token:adults,excluded,no_publisher_open_access_marker
1,14,2026,2026-06-07,"Survodutide in adults with obesity and metabolic dysfunction-associated steatotic liver disease: SYNCHRONIZE-MASLD, a randomized, double-blind, placebo-controlled phase 3 trial",Article,https://www.nature.com/articles/s41591-026-04479-3,yes,matched_token:adults,eligible,
1,15,2026,2026-06-05,"Oral small molecule GLP-1 receptor agonist aleniglipron in people with overweight or obesity: a randomized, double-blind, placebo-controlled phase 2b trial",Article,https://www.nature.com/articles/s41591-026-04476-6,yes,matched_token:people with,eligible,
