source,archive_page_type,year,volume,page_url
Nature Methods,openalex_year_slice,2005,,"https://api.openalex.org/works?filter=primary_location.source.id:S127827428,publication_year:2005"
Nature Methods,openalex_year_slice,2006,,"https://api.openalex.org/works?filter=primary_location.source.id:S127827428,publication_year:2006"
Nature Methods,openalex_year_slice,2007,,"https://api.openalex.org/works?filter=primary_location.source.id:S127827428,publication_year:2007"
Nature Methods,openalex_year_slice,2008,,"https://api.openalex.org/works?filter=primary_location.source.id:S127827428,publication_year:2008"
Nature Methods,openalex_year_slice,2009,,"https://api.openalex.org/works?filter=primary_location.source.id:S127827428,publication_year:2009"
Nature Methods,openalex_year_slice,2010,,"https://api.openalex.org/works?filter=primary_location.source.id:S127827428,publication_year:2010"
Nature Methods,openalex_year_slice,2011,,"https://api.openalex.org/works?filter=primary_location.source.id:S127827428,publication_year:2011"
Nature Methods,openalex_year_slice,2012,,"https://api.openalex.org/works?filter=primary_location.source.id:S127827428,publication_year:2012"
Nature Methods,openalex_year_slice,2013,,"https://api.openalex.org/works?filter=primary_location.source.id:S127827428,publication_year:2013"
Nature Methods,openalex_year_slice,2014,,"https://api.openalex.org/works?filter=primary_location.source.id:S127827428,publication_year:2014"
