source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
Nature Methods,nature_methods_v10_i1,2012,10,1,10.1038/nmeth.2251,PMC3880119,https://openalex.org/W1990293955,Streaming fragment assignment for real-time analysis of sequencing experiments,Adam Roberts; Lior Pachter,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/3880119,https://pmc.ncbi.nlm.nih.gov/articles/PMC3880119/pdf/,https://doi.org/10.1038/nmeth.2251
Nature Methods,nature_methods_v10_i1,2012,10,1,10.1038/nmeth.2277,PMC4161287,https://openalex.org/W2155248955,Fast multicolor 3D imaging using aberration-corrected multifocus microscopy,Sara Abrahamsson et al.,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4161287,https://pmc.ncbi.nlm.nih.gov/articles/PMC4161287/pdf/,https://doi.org/10.1038/nmeth.2277
Nature Methods,nature_methods_v10_i1,2012,10,1,10.1038/nmeth.2255,PMC3531579,https://openalex.org/W2011747072,Conversion of human fibroblasts to angioblast-like progenitor cells,Leo Kurian et al.,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/3531579,https://pmc.ncbi.nlm.nih.gov/articles/PMC3531579/pdf/,https://doi.org/10.1038/nmeth.2255
Nature Methods,nature_methods_v10_i1,2012,10,1,10.1038/nmeth.2250,PMC3531578,https://openalex.org/W1965993410,Digestion and depletion of abundant proteins improves proteomic coverage,Bryan R. Fonslow et al.,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/3531578,https://pmc.ncbi.nlm.nih.gov/articles/PMC3531578/pdf/,https://doi.org/10.1038/nmeth.2250
Nature Methods,nature_methods_v10_i1,2012,10,1,10.1038/nmeth.2287,PMC3605797,https://openalex.org/W2056712032,Quantitative optical trapping on single organelles in cell extract,Pradeep Barak; Ashim Rai; Priyanka Rai; Roop Mallik,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/3605797,https://pmc.ncbi.nlm.nih.gov/articles/PMC3605797/pdf/,https://doi.org/10.1038/nmeth.2287
Nature Methods,nature_methods_v10_i10,2013,10,10,10.1038/nmeth.2600,PMC3911785,https://openalex.org/W2061650108,RNA-guided gene activation by CRISPR-Cas9–based transcription factors,Pablo Pérez‐Piñera et al.,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/3911785,https://pmc.ncbi.nlm.nih.gov/articles/PMC3911785/pdf/,https://doi.org/10.1038/nmeth.2600
Nature Methods,nature_methods_v10_i10,2013,10,10,10.1038/nmeth.2641,PMC3905680,https://openalex.org/W2060297895,Engineering the Caenorhabditis elegans genome using Cas9-triggered homologous recombination,Daniel J. Dickinson; Jordan D. Ward; David J. Reiner; Bob Goldstein,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/3905680,https://pmc.ncbi.nlm.nih.gov/articles/PMC3905680/pdf/,https://doi.org/10.1038/nmeth.2641
Nature Methods,nature_methods_v10_i10,2013,10,10,10.1038/nmeth.2611,PMC4003501,https://openalex.org/W2059386911,DeNovoGear: de novo indel and point mutation discovery and phasing,Avinash Ramu et al.,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4003501,https://pmc.ncbi.nlm.nih.gov/articles/PMC4003501/pdf/,https://doi.org/10.1038/nmeth.2611
Nature Methods,nature_methods_v10_i10,2013,10,10,10.1038/nmeth.2609,PMC6342250,https://openalex.org/W1968400039,A reversible gene trap collection empowers haploid genetics in human cells,Tilmann Bürckstümmer et al.,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/6342250,https://pmc.ncbi.nlm.nih.gov/articles/PMC6342250/pdf/,https://doi.org/10.1038/nmeth.2609
Nature Methods,nature_methods_v10_i10,2013,10,10,10.1038/nmeth.2605,PMC3828030,https://openalex.org/W2090390316,Recombinant antibodies to histone post-translational modifications,Takamitsu Hattori et al.,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/3828030,https://pmc.ncbi.nlm.nih.gov/articles/PMC3828030/pdf/,https://doi.org/10.1038/nmeth.2605
Nature Methods,nature_methods_v10_i11,2013,10,11,10.1038/nmeth.2687,PMC3898876,https://openalex.org/W2116113317,Instant super-resolution imaging in live cells and embryos via analog image processing,Andrew G. York et al.,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/3898876,https://pmc.ncbi.nlm.nih.gov/articles/PMC3898876/pdf/,https://doi.org/10.1038/nmeth.2687
Nature Methods,nature_methods_v10_i11,2013,10,11,10.1038/nmeth.2648,PMC4116791,https://openalex.org/W2092220359,Improved low-resolution crystallographic refinement with Phenix and Rosetta,Frank DiMaio; Nathaniel Echols; Jeffrey J. Headd; Thomas C. Terwilliger; Paul D. Adams; David Baker,article,green,https://www.ncbi.nlm.nih.gov/pmc/articles/4116791,https://pmc.ncbi.nlm.nih.gov/articles/PMC4116791/pdf/,https://doi.org/10.1038/nmeth.2648
