source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
Nature Methods,nature_methods_v12_i10,journal_issue,2015,12,10,9,
Nature Methods,nature_methods_v12_i11,journal_issue,2015,12,11,4,
Nature Methods,nature_methods_v12_i3,journal_issue,2015,12,3,5,
Nature Methods,nature_methods_v12_i4,journal_issue,2015,12,4,5,
Nature Methods,nature_methods_v12_i5,journal_issue,2015,12,5,5,
Nature Methods,nature_methods_v12_i6,journal_issue,2015,12,6,4,
Nature Methods,nature_methods_v12_i7,journal_issue,2015,12,7,5,
Nature Methods,nature_methods_v12_i8,journal_issue,2015,12,8,2,
Nature Methods,nature_methods_v12_i9,journal_issue,2015,12,9,6,
Nature Methods,nature_methods_v13_i10,journal_issue,2016,13,10,4,
Nature Methods,nature_methods_v13_i11,journal_issue,2016,13,11,3,
Nature Methods,nature_methods_v13_i12,journal_issue,2016,13,12,5,
Nature Methods,nature_methods_v13_i2,journal_issue,2016,13,2,1,
Nature Methods,nature_methods_v13_i3,journal_issue,2016,13,3,2,
Nature Methods,nature_methods_v13_i4,journal_issue,2016,13,4,3,
Nature Methods,nature_methods_v13_i5,journal_issue,2016,13,5,2,
Nature Methods,nature_methods_v13_i6,journal_issue,2016,13,6,3,
Nature Methods,nature_methods_v13_i8,journal_issue,2016,13,8,2,
Nature Methods,nature_methods_v13_i9,journal_issue,2016,13,9,1,
Nature Methods,nature_methods_v14_i1,journal_issue,2016,14,1,3,
Nature Methods,nature_methods_v14_i10,journal_issue,2017,14,10,1,
Nature Methods,nature_methods_v14_i12,journal_issue,2017,14,12,2,
Nature Methods,nature_methods_v14_i2,journal_issue,2016,14,2,3,
Nature Methods,nature_methods_v14_i3,journal_issue,2017,14,3,1,
Nature Methods,nature_methods_v14_i4,journal_issue,2017,14,4,5,
Nature Methods,nature_methods_v14_i5,journal_issue,2017,14,5,6,
Nature Methods,nature_methods_v14_i6,journal_issue,2017,14,6,3,
Nature Methods,nature_methods_v14_i7,journal_issue,2017,14,7,2,
Nature Methods,nature_methods_v14_i8,journal_issue,2017,14,8,3,
Nature Methods,nature_methods_v14_i9,journal_issue,2017,14,9,3,
Nature Methods,nature_methods_v15_i1,journal_issue,2017,15,1,2,
Nature Methods,nature_methods_v15_i11,journal_issue,2018,15,11,2,
Nature Methods,nature_methods_v15_i12,journal_issue,2018,15,12,4,
Nature Methods,nature_methods_v15_i2,journal_issue,2017,15,2,4,
Nature Methods,nature_methods_v15_i3,journal_issue,2018,15,3,2,
Nature Methods,nature_methods_v15_i5,journal_issue,2018,15,5,5,
Nature Methods,nature_methods_v15_i6,journal_issue,2018,15,6,2,
Nature Methods,nature_methods_v15_i7,journal_issue,2018,15,7,5,
Nature Methods,nature_methods_v15_i8,journal_issue,2018,15,8,3,
Nature Methods,nature_methods_v15_i9,journal_issue,2018,15,9,3,
Nature Methods,nature_methods_v16_i1,journal_issue,2018,16,1,6,
Nature Methods,nature_methods_v16_i10,journal_issue,2019,16,10,5,
Nature Methods,nature_methods_v16_i11,journal_issue,2019,16,11,3,
Nature Methods,nature_methods_v16_i12,journal_issue,2019,16,12,1,
Nature Methods,nature_methods_v16_i2,journal_issue,2019,16,2,2,
Nature Methods,nature_methods_v16_i3,journal_issue,2019,16,3,1,
Nature Methods,nature_methods_v16_i4,journal_issue,2019,16,4,5,
Nature Methods,nature_methods_v16_i5,journal_issue,2019,16,5,6,
Nature Methods,nature_methods_v16_i7,journal_issue,2019,16,7,5,
Nature Methods,nature_methods_v16_i8,journal_issue,2019,16,8,6,
Nature Methods,nature_methods_v16_i9,journal_issue,2019,16,9,4,
Nature Methods,nature_methods_v17_i1,journal_issue,2019,17,1,6,
Nature Methods,nature_methods_v17_i10,journal_issue,2020,17,10,8,
Nature Methods,nature_methods_v17_i11,journal_issue,2020,17,11,8,
Nature Methods,nature_methods_v17_i12,journal_issue,2020,17,12,8,
Nature Methods,nature_methods_v17_i2,journal_issue,2019,17,2,8,
Nature Methods,nature_methods_v17_i3,journal_issue,2020,17,3,7,
Nature Methods,nature_methods_v17_i4,journal_issue,2020,17,4,7,
Nature Methods,nature_methods_v17_i5,journal_issue,2020,17,5,2,
Nature Methods,nature_methods_v17_i6,journal_issue,2020,17,6,4,
Nature Methods,nature_methods_v17_i7,journal_issue,2020,17,7,2,
Nature Methods,nature_methods_v17_i8,journal_issue,2020,17,8,7,
Nature Methods,nature_methods_v17_i9,journal_issue,2020,17,9,5,
Nature Methods,nature_methods_v18_i1,journal_issue,2021,18,1,5,
Nature Methods,nature_methods_v18_i10,journal_issue,2021,18,10,1,
Nature Methods,nature_methods_v18_i11,journal_issue,2021,18,11,6,
Nature Methods,nature_methods_v18_i12,journal_issue,2021,18,12,2,
Nature Methods,nature_methods_v18_i3,journal_issue,2021,18,3,5,
Nature Methods,nature_methods_v18_i4,journal_issue,2021,18,4,4,
Nature Methods,nature_methods_v18_i5,journal_issue,2021,18,5,6,
Nature Methods,nature_methods_v18_i6,journal_issue,2021,18,6,9,
Nature Methods,nature_methods_v18_i7,journal_issue,2021,18,7,5,
Nature Methods,nature_methods_v18_i8,journal_issue,2021,18,8,6,
Nature Methods,nature_methods_v18_i9,journal_issue,2021,18,9,3,
Nature Methods,nature_methods_v19_i1,journal_issue,2021,19,1,1,
Nature Methods,nature_methods_v19_i10,journal_issue,2022,19,10,4,
Nature Methods,nature_methods_v19_i11,journal_issue,2022,19,11,7,
Nature Methods,nature_methods_v19_i12,journal_issue,2022,19,12,7,
Nature Methods,nature_methods_v19_i2,journal_issue,2022,19,2,4,
Nature Methods,nature_methods_v19_i3,journal_issue,2022,19,3,2,
Nature Methods,nature_methods_v19_i4,journal_issue,2022,19,4,3,
Nature Methods,nature_methods_v19_i5,journal_issue,2022,19,5,4,
Nature Methods,nature_methods_v19_i6,journal_issue,2022,19,6,6,
Nature Methods,nature_methods_v19_i7,journal_issue,2022,19,7,3,
Nature Methods,nature_methods_v19_i8,journal_issue,2022,19,8,4,
Nature Methods,nature_methods_v19_i9,journal_issue,2022,19,9,3,
Nature Methods,nature_methods_v20_i1,journal_issue,2022,20,1,5,
Nature Methods,nature_methods_v20_i10,journal_issue,2023,20,10,1,
Nature Methods,nature_methods_v20_i11,journal_issue,2023,20,11,4,
Nature Methods,nature_methods_v20_i12,journal_issue,2023,20,12,3,
Nature Methods,nature_methods_v20_i2,journal_issue,2023,20,2,1,
Nature Methods,nature_methods_v20_i3,journal_issue,2023,20,3,2,
Nature Methods,nature_methods_v20_i4,journal_issue,2023,20,4,4,
Nature Methods,nature_methods_v20_i5,journal_issue,2023,20,5,1,
Nature Methods,nature_methods_v20_i6,journal_issue,2023,20,6,2,
Nature Methods,nature_methods_v20_i7,journal_issue,2023,20,7,4,
Nature Methods,nature_methods_v20_i8,journal_issue,2023,20,8,3,
Nature Methods,nature_methods_v20_i9,journal_issue,2023,20,9,1,
Nature Methods,nature_methods_v21_i1,journal_issue,2023,21,1,3,
Nature Methods,nature_methods_v21_i10,journal_issue,2024,21,10,3,
Nature Methods,nature_methods_v21_i11,journal_issue,2024,21,11,4,
Nature Methods,nature_methods_v21_i12,journal_issue,2024,21,12,2,
Nature Methods,nature_methods_v21_i2,journal_issue,2024,21,2,4,
Nature Methods,nature_methods_v21_i3,journal_issue,2024,21,3,3,
Nature Methods,nature_methods_v21_i4,journal_issue,2023,21,4,3,
Nature Methods,nature_methods_v21_i5,journal_issue,2024,21,5,5,
Nature Methods,nature_methods_v21_i6,journal_issue,2024,21,6,5,
Nature Methods,nature_methods_v21_i7,journal_issue,2024,21,7,4,
Nature Methods,nature_methods_v21_i8,journal_issue,2024,21,8,6,
Nature Methods,nature_methods_v21_i9,journal_issue,2024,21,9,1,
Nature Methods,nature_methods_v22_i1,journal_issue,2024,22,1,3,
Nature Methods,nature_methods_v22_i10,journal_issue,2025,22,10,3,
Nature Methods,nature_methods_v22_i11,journal_issue,2025,22,11,1,
Nature Methods,nature_methods_v22_i12,journal_issue,2025,22,12,1,
Nature Methods,nature_methods_v22_i2,journal_issue,2024,22,2,2,
Nature Methods,nature_methods_v22_i3,journal_issue,2025,22,3,5,
Nature Methods,nature_methods_v22_i4,journal_issue,2025,22,4,2,
Nature Methods,nature_methods_v22_i5,journal_issue,2025,22,5,7,
