source,archive_page_type,year,volume,page_url
Nature Neuroscience,openalex_year_slice,2005,,"https://api.openalex.org/works?filter=primary_location.source.id:S2298632,publication_year:2005"
Nature Neuroscience,openalex_year_slice,2006,,"https://api.openalex.org/works?filter=primary_location.source.id:S2298632,publication_year:2006"
Nature Neuroscience,openalex_year_slice,2007,,"https://api.openalex.org/works?filter=primary_location.source.id:S2298632,publication_year:2007"
Nature Neuroscience,openalex_year_slice,2008,,"https://api.openalex.org/works?filter=primary_location.source.id:S2298632,publication_year:2008"
Nature Neuroscience,openalex_year_slice,2009,,"https://api.openalex.org/works?filter=primary_location.source.id:S2298632,publication_year:2009"
Nature Neuroscience,openalex_year_slice,2010,,"https://api.openalex.org/works?filter=primary_location.source.id:S2298632,publication_year:2010"
Nature Neuroscience,openalex_year_slice,2011,,"https://api.openalex.org/works?filter=primary_location.source.id:S2298632,publication_year:2011"
Nature Neuroscience,openalex_year_slice,2012,,"https://api.openalex.org/works?filter=primary_location.source.id:S2298632,publication_year:2012"
Nature Neuroscience,openalex_year_slice,2013,,"https://api.openalex.org/works?filter=primary_location.source.id:S2298632,publication_year:2013"
Nature Neuroscience,openalex_year_slice,2014,,"https://api.openalex.org/works?filter=primary_location.source.id:S2298632,publication_year:2014"
