source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
Nature Neuroscience,nature_neuroscience_v18_i10,journal_issue,2015,18,10,2,
Nature Neuroscience,nature_neuroscience_v18_i11,journal_issue,2015,18,11,2,
Nature Neuroscience,nature_neuroscience_v18_i12,journal_issue,2015,18,12,1,
Nature Neuroscience,nature_neuroscience_v18_i2,journal_issue,2015,18,2,1,
Nature Neuroscience,nature_neuroscience_v18_i3,journal_issue,2015,18,3,1,
Nature Neuroscience,nature_neuroscience_v18_i4,journal_issue,2015,18,4,1,
Nature Neuroscience,nature_neuroscience_v19_i1,journal_issue,2015,19,1,1,
Nature Neuroscience,nature_neuroscience_v19_i3,journal_issue,2016,19,3,2,
Nature Neuroscience,nature_neuroscience_v20_i10,journal_issue,2017,20,10,1,
Nature Neuroscience,nature_neuroscience_v21_i1,journal_issue,2017,21,1,1,
Nature Neuroscience,nature_neuroscience_v21_i10,journal_issue,2018,21,10,1,
Nature Neuroscience,nature_neuroscience_v21_i12,journal_issue,2018,21,12,2,
Nature Neuroscience,nature_neuroscience_v21_i8,journal_issue,2018,21,8,1,
Nature Neuroscience,nature_neuroscience_v22_i10,journal_issue,2019,22,10,1,
Nature Neuroscience,nature_neuroscience_v22_i11,journal_issue,2019,22,11,1,
Nature Neuroscience,nature_neuroscience_v22_i12,journal_issue,2019,22,12,1,
Nature Neuroscience,nature_neuroscience_v22_i2,journal_issue,2019,22,2,1,
Nature Neuroscience,nature_neuroscience_v22_i3,journal_issue,2019,22,3,2,
Nature Neuroscience,nature_neuroscience_v22_i4,journal_issue,2019,22,4,2,
Nature Neuroscience,nature_neuroscience_v22_i5,journal_issue,2019,22,5,2,
Nature Neuroscience,nature_neuroscience_v22_i7,journal_issue,2019,22,7,2,
Nature Neuroscience,nature_neuroscience_v22_i8,journal_issue,2019,22,8,1,
Nature Neuroscience,nature_neuroscience_v22_i9,journal_issue,2019,22,9,1,
Nature Neuroscience,nature_neuroscience_v23_i1,journal_issue,2019,23,1,2,
Nature Neuroscience,nature_neuroscience_v23_i11,journal_issue,2020,23,11,2,
Nature Neuroscience,nature_neuroscience_v23_i12,journal_issue,2020,23,12,2,
Nature Neuroscience,nature_neuroscience_v23_i2,journal_issue,2020,23,2,2,
Nature Neuroscience,nature_neuroscience_v23_i7,journal_issue,2020,23,7,1,
Nature Neuroscience,nature_neuroscience_v23_i8,journal_issue,2020,23,8,3,
Nature Neuroscience,nature_neuroscience_v24_i10,journal_issue,2021,24,10,1,
Nature Neuroscience,nature_neuroscience_v24_i11,journal_issue,2021,24,11,1,
Nature Neuroscience,nature_neuroscience_v24_i4,journal_issue,2021,24,4,1,
Nature Neuroscience,nature_neuroscience_v24_i5,journal_issue,2021,24,5,3,
Nature Neuroscience,nature_neuroscience_v24_i6,journal_issue,2021,24,6,1,
Nature Neuroscience,nature_neuroscience_v24_i7,journal_issue,2021,24,7,1,
Nature Neuroscience,nature_neuroscience_v24_i9,journal_issue,2021,24,9,1,
Nature Neuroscience,nature_neuroscience_v25_i10,journal_issue,2022,25,10,1,
Nature Neuroscience,nature_neuroscience_v25_i12,journal_issue,2022,25,12,3,
Nature Neuroscience,nature_neuroscience_v25_i3,journal_issue,2022,25,3,2,
Nature Neuroscience,nature_neuroscience_v25_i8,journal_issue,2022,25,8,1,
Nature Neuroscience,nature_neuroscience_v25_i9,journal_issue,2022,25,9,1,
Nature Neuroscience,nature_neuroscience_v26_i11,journal_issue,2023,26,11,1,
Nature Neuroscience,nature_neuroscience_v26_i12,journal_issue,2023,26,12,2,
Nature Neuroscience,nature_neuroscience_v26_i2,journal_issue,2022,26,2,1,
Nature Neuroscience,nature_neuroscience_v26_i3,journal_issue,2023,26,3,2,
Nature Neuroscience,nature_neuroscience_v26_i5,journal_issue,2023,26,5,3,
Nature Neuroscience,nature_neuroscience_v27_i2,journal_issue,2024,27,2,1,
Nature Neuroscience,nature_neuroscience_v28_i3,journal_issue,2025,28,3,1,
Nature Neuroscience,nature_neuroscience_v29_i2,journal_issue,2025,29,2,1,
