source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
New England Journal of Medicine,nejm_v372_i11,journal_issue,2015,372,11,1,
New England Journal of Medicine,nejm_v372_i12,journal_issue,2015,372,12,5,
New England Journal of Medicine,nejm_v372_i13,journal_issue,2015,372,13,1,
New England Journal of Medicine,nejm_v372_i15,journal_issue,2015,372,15,1,
New England Journal of Medicine,nejm_v372_i16,journal_issue,2015,372,16,1,
New England Journal of Medicine,nejm_v372_i17,journal_issue,2015,372,17,2,
New England Journal of Medicine,nejm_v372_i22,journal_issue,2015,372,22,2,
New England Journal of Medicine,nejm_v372_i23,journal_issue,2015,372,23,2,
New England Journal of Medicine,nejm_v372_i24,journal_issue,2015,372,24,1,
New England Journal of Medicine,nejm_v372_i26,journal_issue,2015,372,26,1,
New England Journal of Medicine,nejm_v372_i4,journal_issue,2015,372,4,1,
New England Journal of Medicine,nejm_v372_i6,journal_issue,2015,372,6,2,
New England Journal of Medicine,nejm_v372_i7,journal_issue,2015,372,7,1,
New England Journal of Medicine,nejm_v372_i9,journal_issue,2015,372,9,4,
New England Journal of Medicine,nejm_v373_i1,journal_issue,2015,373,1,2,
New England Journal of Medicine,nejm_v373_i10,journal_issue,2015,373,10,2,
New England Journal of Medicine,nejm_v373_i11,journal_issue,2015,373,11,1,
New England Journal of Medicine,nejm_v373_i12,journal_issue,2015,373,12,1,
New England Journal of Medicine,nejm_v373_i14,journal_issue,2015,373,14,1,
New England Journal of Medicine,nejm_v373_i16,journal_issue,2015,373,16,1,
New England Journal of Medicine,nejm_v373_i17,journal_issue,2015,373,17,1,
New England Journal of Medicine,nejm_v373_i18,journal_issue,2015,373,18,1,
New England Journal of Medicine,nejm_v373_i19,journal_issue,2015,373,19,2,
New England Journal of Medicine,nejm_v373_i20,journal_issue,2015,373,20,1,
New England Journal of Medicine,nejm_v373_i24,journal_issue,2015,373,24,3,
New England Journal of Medicine,nejm_v373_i26,journal_issue,2015,373,26,1,
New England Journal of Medicine,nejm_v373_i3,journal_issue,2015,373,3,2,
New England Journal of Medicine,nejm_v373_i4,journal_issue,2015,373,4,2,
New England Journal of Medicine,nejm_v373_i5,journal_issue,2015,373,5,2,
New England Journal of Medicine,nejm_v373_i6,journal_issue,2015,373,6,1,
New England Journal of Medicine,nejm_v373_i8,journal_issue,2015,373,8,2,
New England Journal of Medicine,nejm_v373_i9,journal_issue,2015,373,9,1,
New England Journal of Medicine,nejm_v374_i10,journal_issue,2016,374,10,3,
New England Journal of Medicine,nejm_v374_i11,journal_issue,2016,374,11,2,
New England Journal of Medicine,nejm_v374_i12,journal_issue,2016,374,12,1,
New England Journal of Medicine,nejm_v374_i13,journal_issue,2016,374,13,1,
New England Journal of Medicine,nejm_v374_i14,journal_issue,2016,374,14,4,
New England Journal of Medicine,nejm_v374_i15,journal_issue,2016,374,15,1,
New England Journal of Medicine,nejm_v374_i17,journal_issue,2015,374,17,3,
New England Journal of Medicine,nejm_v374_i19,journal_issue,2016,374,19,1,
New England Journal of Medicine,nejm_v374_i2,journal_issue,2015,374,2,2,
New England Journal of Medicine,nejm_v374_i20,journal_issue,2016,374,20,2,
New England Journal of Medicine,nejm_v374_i21,journal_issue,2016,374,21,1,
New England Journal of Medicine,nejm_v374_i22,journal_issue,2016,374,22,1,
New England Journal of Medicine,nejm_v374_i23,journal_issue,2016,374,23,2,
New England Journal of Medicine,nejm_v374_i25,journal_issue,2016,374,25,2,
New England Journal of Medicine,nejm_v374_i26,journal_issue,2016,374,26,2,
New England Journal of Medicine,nejm_v374_i4,journal_issue,2015,374,4,1,
New England Journal of Medicine,nejm_v374_i7,journal_issue,2016,374,7,4,
New England Journal of Medicine,nejm_v374_i9,journal_issue,2016,374,9,4,
New England Journal of Medicine,nejm_v375_i1,journal_issue,2016,375,1,4,
New England Journal of Medicine,nejm_v375_i11,journal_issue,2016,375,11,1,
