source,unit_id,unit_type,year,unit_date,unit_label,unit_url,n_items_total,n_items_main_conference
NeurIPS,neurips_2015,conference_year,2015,2015,NeurIPS 2015 accepted proceedings,https://papers.nips.cc/paper_files/paper/2015,403,403
NeurIPS,neurips_2016,conference_year,2016,2016,NeurIPS 2016 accepted proceedings,https://papers.nips.cc/paper_files/paper/2016,569,569
NeurIPS,neurips_2017,conference_year,2017,2017,NeurIPS 2017 accepted proceedings,https://papers.nips.cc/paper_files/paper/2017,679,679
NeurIPS,neurips_2018,conference_year,2018,2018,NeurIPS 2018 accepted proceedings,https://papers.nips.cc/paper_files/paper/2018,1009,1009
NeurIPS,neurips_2019,conference_year,2019,2019,NeurIPS 2019 accepted proceedings,https://papers.nips.cc/paper_files/paper/2019,1428,1428
NeurIPS,neurips_2020,conference_year,2020,2020,NeurIPS 2020 accepted proceedings,https://papers.nips.cc/paper_files/paper/2020,1898,1898
NeurIPS,neurips_2021,conference_year,2021,2021,NeurIPS 2021 accepted proceedings,https://papers.nips.cc/paper_files/paper/2021,2334,2334
NeurIPS,neurips_2022,conference_year,2022,2022,NeurIPS 2022 accepted proceedings,https://papers.nips.cc/paper_files/paper/2022,2834,2671
NeurIPS,neurips_2023,conference_year,2023,2023,NeurIPS 2023 accepted proceedings,https://papers.nips.cc/paper_files/paper/2023,3540,3218
NeurIPS,neurips_2024,conference_year,2024,2024,NeurIPS 2024 accepted proceedings,https://papers.nips.cc/paper_files/paper/2024,4493,4034
NeurIPS,neurips_2025,conference_year,2025,2025,NeurIPS 2025 accepted proceedings,https://papers.nips.cc/paper_files/paper/2025,5823,5286
