source,unit_id,unit_type,year,unit_date,unit_label,unit_url,landing_page_url,source_url,title,summary,authors,oa_marker,pdf_url,doi,openalex_id,source_item_id,paper_type,venue_section,concepts,referenced_works_count,cited_by_count
npj Computational Materials,npj_computational_materials_2015_v1_i1,journal_issue_or_year,2015,2015-11-23,"vol. 1, issue 1",https://doi.org/10.1038/npjcompumats.2015.3,https://doi.org/10.1038/npjcompumats.2015.3,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210232664%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26873012%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,An efficient descriptor model for designing materials for solar cells,,Fahhad H. Alharbi; Sergey N. Rashkeev; Fedwa El‐Mellouhi; Hans Peter Lüthi; Nouar Tabet; et al.,gold;is_oa,https://www.nature.com/articles/npjcompumats20153.pdf,10.1038/npjcompumats.2015.3,https://openalex.org/W2248765987,https://openalex.org/W2248765987,article,OpenAlex concept filter: Condensed matter physics,Organic solar cell; Solar cell; Photovoltaics; Photovoltaic system; Band gap; Work (physics); Absorption (acoustics); Diffusion; Heterojunction; Exciton; Polymer solar cell; Materials science; Solar energy; Computational physics; Computer science; Physics; Biological system; Optoelectronics; Optics; Condensed matter physics; Thermodynamics; Electrical engineering; Engineering; Biology,71,67
npj Computational Materials,npj_computational_materials_2015_v1_i1,journal_issue_or_year,2015,2015-11-23,"vol. 1, issue 1",https://doi.org/10.1038/npjcompumats.2015.1,https://doi.org/10.1038/npjcompumats.2015.1,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210232664%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26873012%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,The origin of electronic band structure anomaly in topological crystalline insulator group-IV tellurides,,Zhenyu Ye; Hui‐Xiong Deng; Huizhen Wu; Shu‐Shen Li; Su‐Huai Wei; et al.,gold;is_oa,https://www.nature.com/articles/npjcompumats20151.pdf,10.1038/npjcompumats.2015.1,https://openalex.org/W2593274141,https://openalex.org/W2593274141,article,OpenAlex concept filter: Condensed matter physics,Topological insulator; Band gap; Condensed matter physics; Electronic band structure; Point reflection; Semiconductor; Semimetal; Direct and indirect band gaps; Dipole; Electronic structure; Materials science; Topology (electrical circuits); Chemistry; Physics; Quantum mechanics; Optoelectronics; Mathematics; Combinatorics,46,49
npj Computational Materials,npj_computational_materials_2015_v1_i1,journal_issue_or_year,2015,2015-11-23,"vol. 1, issue 1",https://doi.org/10.1038/npjcompumats.2015.6,https://doi.org/10.1038/npjcompumats.2015.6,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210232664%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26873012%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Searching for new ferroelectrics and multiferroics: A user’s point of view,,J. F. Scott,gold;is_oa,https://www.nature.com/articles/npjcompumats20156.pdf,10.1038/npjcompumats.2015.6,https://openalex.org/W2301124283,https://openalex.org/W2301124283,article,OpenAlex concept filter: Condensed matter physics,Multiferroics; Antiferroelectricity; Phase boundary; Condensed matter physics; Antiferromagnetism; Perspective (graphical); Ferroelectricity; Theoretical physics; Physics; Materials science; Phase (matter); Computer science; Quantum mechanics; Artificial intelligence; Dielectric,117,24
npj Computational Materials,npj_computational_materials_2015_v1_i1,journal_issue_or_year,2015,2015-12-18,"vol. 1, issue 1",https://doi.org/10.1038/npjcompumats.2015.2,https://doi.org/10.1038/npjcompumats.2015.2,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210232664%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26873012%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Theory and experimental evidence of phonon domains and their roles in pre-martensitic phenomena,,Yongmei M. Jin; Yu U. Wang; Yang Ren,gold;is_oa,https://www.nature.com/articles/npjcompumats20152.pdf,10.1038/npjcompumats.2015.2,https://openalex.org/W2592090558,https://openalex.org/W2592090558,article,OpenAlex concept filter: Condensed matter physics,Phonon; Condensed matter physics; Martensite; Materials science; Diffusionless transformation; Instability; Physics; Quantum mechanics; Microstructure; Metallurgy,53,30
npj Computational Materials,npj_computational_materials_2016_v2_i1,journal_issue_or_year,2016,2016-01-14,"vol. 2, issue 1",https://doi.org/10.1038/npjcompumats.2015.13,https://doi.org/10.1038/npjcompumats.2015.13,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210232664%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26873012%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Quasiparticle approach to diffusional atomic scale self-assembly of complex structures: from disorder to complex crystals and double-helix polymers,,Mykola Lavrskyi; H. Zapolsky; A. G. Khachaturyan,gold;is_oa,https://www.nature.com/articles/npjcompumats201513.pdf,10.1038/npjcompumats.2015.13,https://openalex.org/W2236078695,https://openalex.org/W2236078695,article,OpenAlex concept filter: Condensed matter physics,Atomic units; Quasiparticle; Hamiltonian (control theory); Statistical physics; Polymer; Materials science; Chemical physics; Physics; Condensed matter physics; Quantum mechanics; Mathematics; Mathematical optimization; Composite material; Superconductivity,26,19
npj Computational Materials,npj_computational_materials_2016_v2_i1,journal_issue_or_year,2016,2016-05-13,"vol. 2, issue 1",https://doi.org/10.1038/npjcompumats.2016.6,https://doi.org/10.1038/npjcompumats.2016.6,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210232664%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26873012%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,First-principles calculations of lattice dynamics and thermal properties of polar solids,,Yi Wang; Shun‐Li Shang; Huazhi Fang; Zi‐Kui Liu; Long‐Qing Chen,gold;is_oa,https://www.nature.com/articles/npjcompumats20166.pdf,10.1038/npjcompumats.2016.6,https://openalex.org/W2377111693,https://openalex.org/W2377111693,article,OpenAlex concept filter: Condensed matter physics,Phonon; Lattice (music); Polar; Polarization (electrochemistry); Thermal; Condensed matter physics; Lattice vibration; Statistical physics; Periodic boundary conditions; Physics; Vibration; Electric field; Electric displacement field; Boundary value problem; Quantum mechanics; Chemistry; Thermodynamics; Physical chemistry; Acoustics,139,155
npj Computational Materials,npj_computational_materials_2016_v2_i1,journal_issue_or_year,2016,2016-05-27,"vol. 2, issue 1",https://doi.org/10.1038/npjcompumats.2016.9,https://doi.org/10.1038/npjcompumats.2016.9,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210232664%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26873012%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Predictive modelling of ferroelectric tunnel junctions,,Julian Velev; J. D. Burton; M. Ye. Zhuravlev; Evgeny Y. Tsymbal,gold;is_oa,https://www.nature.com/articles/npjcompumats20169.pdf,10.1038/npjcompumats.2016.9,https://openalex.org/W2395010464,https://openalex.org/W2395010464,article,OpenAlex concept filter: Condensed matter physics,Ferroelectricity; Quantum tunnelling; Materials science; Tunnel junction; Electric field; Engineering physics; Perspective (graphical); Optoelectronics; Nanotechnology; Condensed matter physics; Dielectric; Computer science; Physics; Quantum mechanics; Artificial intelligence,106,118
npj Computational Materials,npj_computational_materials_2016_v2_i1,journal_issue_or_year,2016,2016-06-10,"vol. 2, issue 1",https://doi.org/10.1038/npjcompumats.2016.11,https://doi.org/10.1038/npjcompumats.2016.11,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210232664%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26873012%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Multiple unpinned Dirac points in group-Va single-layers with phosphorene structure,,Yunhao Lu; Di Zhou; Guoqing Chang; Shan Guan; Weiguang Chen; et al.,gold;is_oa,https://www.nature.com/articles/npjcompumats201611.pdf,10.1038/npjcompumats.2016.11,https://openalex.org/W2343738452,https://openalex.org/W2343738452,article,OpenAlex concept filter: Condensed matter physics,Dirac fermion; Dirac (video compression format); Physics; Dirac spinor; Helical Dirac fermion; Homogeneous space; Topological insulator; Phosphorene; Dirac sea; Quantum mechanics; Lattice (music); Symmetry (geometry); Theoretical physics; Coupling (piping); Anisotropy; Condensed matter physics; Fermion; Spin (aerodynamics); Hexagonal lattice; Electronic band structure; Dirac algebra; Dirac equation; Quantum; Quantum anomalous Hall effect; Electronic structure; Two-body Dirac equations; Band gap,45,68
npj Computational Materials,npj_computational_materials_2016_v2_i1,journal_issue_or_year,2016,2016-06-10,"vol. 2, issue 1",https://doi.org/10.1038/npjcompumats.2016.12,https://doi.org/10.1038/npjcompumats.2016.12,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210232664%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26873012%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,"Mechanochemical spinodal decomposition: a phenomenological theory of phase transformations in multi-component, crystalline solids",,Shiva Rudraraju; Anton Van der Ven; Krishna Garikipati,gold;is_oa,https://www.nature.com/articles/npjcompumats201612.pdf,10.1038/npjcompumats.2016.12,https://openalex.org/W2266688862,https://openalex.org/W2266688862,article,OpenAlex concept filter: Condensed matter physics,Spinodal decomposition; Spinodal; Elasticity (physics); Thermodynamics; Materials science; Phenomenological model; Context (archaeology); Phase (matter); Density functional theory; Microstructure; Statistical physics; Strain energy; Nonlinear system; Solid solution; Elastic energy; Condensed matter physics; Relaxation (psychology); Phase transition; Phase diagram; Chemical physics; Martensite; Diffusionless transformation; Crystal (programming language); Diffusion; Function (biology); Finite strain theory; Energy functional; Crystal structure; Phenomenology (philosophy); Thermodynamic potential,36,62
npj Computational Materials,npj_computational_materials_2016_v2_i1,journal_issue_or_year,2016,2016-07-15,"vol. 2, issue 1",https://doi.org/10.1038/npjcompumats.2016.20,https://doi.org/10.1038/npjcompumats.2016.20,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS4210232664%2Cfrom_publication_date%3A2015-01-01%2Cto_publication_date%3A2025-12-31%2Ctype%3Aarticle%2Cconcepts.id%3Ahttps%3A%2F%2Fopenalex.org%2FC26873012%2Copen_access.is_oa%3Atrue&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Cbest_oa_location%2Clocations%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Amplitudon and phason modes of electrocaloric energy interconversion,,John Mangeri; Krishna Chaitanya Pitike; S. P. Alpay; Serge Nakhmanson,gold;is_oa,https://www.nature.com/articles/npjcompumats201620.pdf,10.1038/npjcompumats.2016.20,https://openalex.org/W2465075795,https://openalex.org/W2465075795,article,OpenAlex concept filter: Condensed matter physics,Polar; Electrocaloric effect; Electric field; Poling; Materials science; Uncorrelated; Phase transition; Condensed matter physics; Dielectric; Physics; Statistical physics; Optoelectronics; Ferroelectricity; Quantum mechanics; Mathematics; Statistics,54,16
