unit_id,unit_type,year,date,unit_label,unit_url
npj_computational_materials_2015_v1_i1,journal_issue_or_year,2015,2015-11-23,"vol. 1, issue 1",https://doi.org/10.1038/npjcompumats.2015.3
npj_computational_materials_2016_v2_i1,journal_issue_or_year,2016,2016-01-14,"vol. 2, issue 1",https://doi.org/10.1038/npjcompumats.2015.13
npj_computational_materials_2017_v3_i1,journal_issue_or_year,2017,2017-01-19,"vol. 3, issue 1",https://doi.org/10.1038/s41524-016-0002-y
npj_computational_materials_2018_v4_i1,journal_issue_or_year,2018,2018-01-11,"vol. 4, issue 1",https://doi.org/10.1038/s41524-017-0059-2
npj_computational_materials_2018_v5_i1,journal_issue_or_year,2018,2018-12-28,"vol. 5, issue 1",https://doi.org/10.1038/s41524-018-0138-z
npj_computational_materials_2019_v5_i1,journal_issue_or_year,2019,2019-01-08,"vol. 5, issue 1",https://doi.org/10.1038/s41524-018-0145-0
npj_computational_materials_2020_v6_i1,journal_issue_or_year,2020,2020-01-17,"vol. 6, issue 1",https://doi.org/10.1038/s41524-020-0271-3
npj_computational_materials_2021_v7_i1,journal_issue_or_year,2021,2021-01-04,"vol. 7, issue 1",https://doi.org/10.1038/s41524-020-00469-2
npj_computational_materials_2022_v8_i1,journal_issue_or_year,2022,2022-01-10,"vol. 8, issue 1",https://doi.org/10.1038/s41524-021-00691-6
npj_computational_materials_2023_v9_i1,journal_issue_or_year,2023,2023-01-13,"vol. 9, issue 1",https://doi.org/10.1038/s41524-022-00953-x
npj_computational_materials_2024_v10_i1,journal_issue_or_year,2024,2024-01-02,"vol. 10, issue 1",https://doi.org/10.1038/s41524-023-01162-w
npj_computational_materials_2025_v11_i1,journal_issue_or_year,2025,2025-01-06,"vol. 11, issue 1",https://doi.org/10.1038/s41524-024-01483-4
npj_computational_materials_2025_v12_i1,journal_issue_or_year,2025,2025-11-12,"vol. 12, issue 1",https://doi.org/10.1038/s41524-026-02107-9
